,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,-0.030751555748283862,,1.0,0.0,-0.030751555748283862
1,Cr__2,0.002236792535986751,,1.0,1.0,0.002236792535986751
2,Cr__3,0.07642600752413273,,1.0,2.0,0.07642600752413273
3,Cr__4,0.06850442819297314,,1.0,3.0,0.06850442819297314
4,Cr__5,0.09072492890059948,,1.0,4.0,0.09072492890059948
5,Cr__6,0.09759577468037606,,1.0,5.0,0.09759577468037606
6,Fe__1,0.016241378393024208,,1.0,6.0,0.016241378393024208
7,Fe__2,0.02705779764801264,,1.0,7.0,0.02705779764801264
8,Fe__3,0.01386219786480069,,1.0,8.0,0.01386219786480069
9,Fe__4,-0.025482986252754927,,1.0,9.0,-0.025482986252754927
10,Fe__5,-0.09019281998276713,,1.0,10.0,-0.09019281998276713
11,Fe__6,-0.1305302846431732,,1.0,11.0,-0.1305302846431732
12,Cd__1,0.508301545381546,,1.0,12.0,0.508301545381546
13,Cd__2,1.1308879935741425,,1.0,13.0,1.1308879935741425
14,Cd__3,1.916735464334488,,1.0,14.0,1.916735464334488
15,Cd__4,2.6232948923110957,,1.0,15.0,2.6232948923110957
16,Cd__5,3.3205262064933776,,1.0,16.0,3.3205262064933776
17,Cd__6,3.866670336723328,,1.0,17.0,3.866670336723328
18,Zn__1,0.02707481548190117,,1.0,18.0,0.02707481548190117
19,Zn__2,0.14040173083543778,,1.0,19.0,0.14040173083543778
20,Zn__3,0.2420928379893303,,1.0,20.0,0.2420928379893303
21,Zn__4,0.2956684222817421,,1.0,21.0,0.2956684222817421
22,Zn__5,0.3095545083284378,,1.0,22.0,0.3095545083284378
23,Zn__6,0.2930941742658615,,1.0,23.0,0.2930941742658615
24,Cu__1,-0.013531847484409807,,1.0,24.0,-0.013531847484409807
25,Cu__2,0.03309814620763064,,1.0,25.0,0.03309814620763064
26,Cu__3,0.053301590159535416,,1.0,26.0,0.053301590159535416
27,Cu__4,0.04390319932252169,,1.0,27.0,0.04390319932252169
28,Cu__5,0.04627288911491632,,1.0,28.0,0.04627288911491632
29,Cu__6,0.05205473311245441,,1.0,29.0,0.05205473311245441
30,Pb__1,0.01052350209094584,,1.0,30.0,0.01052350209094584
31,Pb__2,0.041569602377712726,,1.0,31.0,0.041569602377712726
32,Pb__3,0.055654349215328684,,1.0,32.0,0.055654349215328684
33,Pb__4,0.08335203818976879,,1.0,33.0,0.08335203818976879
34,Pb__5,0.11751575268805027,,1.0,34.0,0.11751575268805027
35,Pb__6,0.13899798154830936,,1.0,35.0,0.13899798154830936
