,yhfA
Cr_1,0.0001605453661235728
Cr_2,0.00422324626319505
Cr_3,0.0052758067713910995
Cr_4,0.005450166184312111
Cr_5,0.0034119717611188287
Cr_6,0.0047407475980104745
Fe_1,-0.01014309708712521
Fe_2,-0.02675667062269249
Fe_3,-0.04697133864910441
Fe_4,-0.0718991551814074
Fe_5,-0.0866049210655508
Fe_6,-0.0929513022811221
Cd_1,0.0013812517918741305
Cd_2,0.018104961296213532
Cd_3,0.007131509490189809
Cd_4,-0.0026785556305948138
Cd_5,-0.023777552607992667
Cd_6,-0.0074953613053400986
Zn_1,-0.002271135547791429
Zn_2,-0.002625258877234355
Zn_3,0.00360702399731033
Zn_4,0.0154646717936558
Zn_5,0.02834498550299414
Zn_6,0.0407333393876734
Cu_1,0.0010091553500811024
Cu_2,0.005809564904806977
Cu_3,0.0129299266632845
Cu_4,0.01597663610715785
Cu_5,0.0170110703961613
Cu_6,0.02266438061922116
Pb_1,0.008300157103669072
Pb_2,0.014391601275718088
Pb_3,0.020330709764063832
Pb_4,0.026202961707464032
Pb_5,0.0288133060330198
Pb_6,0.033468499467662165
