,yqeH
Cr_1,-0.0018208985770861805
Cr_2,-0.0013518619778777536
Cr_3,-0.00041343417866575126
Cr_4,0.001658822878287916
Cr_5,0.0043775831295305035
Cr_6,0.005337334961524813
Fe_1,-0.00477942361385837
Fe_2,-0.03227134723559789
Fe_3,-0.0487992663596133
Fe_4,-0.06455685915402166
Fe_5,-0.05668532218897221
Fe_6,-0.05604179960064775
Cd_1,0.003946415000308407
Cd_2,0.008686062883224188
Cd_3,0.011784899543025622
Cd_4,0.015255888866008744
Cd_5,0.012969930526008469
Cd_6,0.016366230831585397
Zn_1,0.002998895218839297
Zn_2,0.01115234300875194
Zn_3,0.03291208736297973
Zn_4,0.05130558205699054
Zn_5,0.06979776858957186
Zn_6,0.0830505026067034
Cu_1,-0.0018175970182223696
Cu_2,0.0011443352197519465
Cu_3,0.007675796542435324
Cu_4,0.009588517947496471
Cu_5,0.017196863619292343
Cu_6,0.022899234389245772
Pb_1,0.01075665046135745
Pb_2,0.02302651647662526
Pb_3,0.0337134227691043
Pb_4,0.048626248353264435
Pb_5,0.05856074363580446
Pb_6,0.07388207106284257
