,ilvL
Cr_1,0.002214228304595315
Cr_2,0.0051565048150642966
Cr_3,0.008491013727032431
Cr_4,0.012513295405811291
Cr_5,0.016297789751450374
Cr_6,0.018151121541462444
Fe_1,-0.00042791239976217157
Fe_2,-0.0006785481637887473
Fe_3,0.002341589563777537
Fe_4,0.0042998773725320865
Fe_5,0.0064312418949445315
Fe_6,0.006404430364317726
Cd_1,0.002675397296689886
Cd_2,-0.007857050706627953
Cd_3,-0.005089970022917297
Cd_4,-0.0076270290784801985
Cd_5,-0.015379383385021109
Cd_6,-0.010620370720610166
Zn_1,-0.0023115723013061073
Zn_2,0.002413752139442234
Zn_3,0.011184229545255784
Zn_4,0.01813864999568739
Zn_5,0.02251674467076029
Zn_6,0.02436856549725815
Cu_1,0.002459377951235892
Cu_2,0.004944059869219392
Cu_3,0.005101080479832106
Cu_4,0.005644997957224951
Cu_5,0.005773452781441619
Cu_6,0.008968186042901926
Pb_1,0.003394719766999103
Pb_2,0.005521523617307879
Pb_3,0.0037021183581803963
Pb_4,0.0016260526437013114
Pb_5,2.7035435233028628e-05
Pb_6,0.0018727027923166864
