,Value,list
TF,SigK,
reg_genes,178,"['S22' 'cotR' 'yosX' 'dapA' 'S1316' 'cgeB' 'yotK' 'csfB' 'surC' 'S497'
 'spoVK' 'spsK' 'S624' 'yfhP' 'yobW' 'cwlH' 'sigK' 'yfnE' 'S610' 'spsI'
 'yodU' 'yotM' 'sprB' 'S1178' 'yfnG' 'S379' 'S600' 'S762' 'yhjQ' 'yotE'
 'cgeD' 'yodI' 'S729' 'S422' 'S763' 'ykzQ' 'S599' 'spoIISB' 'xpaC' 'sigKC'
 'yppG' 'S296' 'yotJ' 'S657' 'yhcO' 'yisY' 'dapG' 'yaaN' 'S1317' 'yotG'
 'asd' 'cwlC' 'yjzB' 'S425' 'ftsY' 'spsL' 'spsF' 'ykvP' 'S622' 'yotI'
 'S393' 'spsE' 'yotB' 'ldt' 'spoVIF' 'cwlJ' 'cotU' 'yotD' 'cgeE' 'S945'
 'cotQ' 'spsG' 'S251' 'yaaO' 'yfnF' 'cotE' 'yfnD' 'yfnH' 'ykvQ' 'spoIISA'
 'S1075' 'S839' 'spsD' 'cgeC' 'S984' 'yotC' 'S349' 'lytH' 'yotH' 'S1191'
 'cgeA' 'spsJ']"
comp_genes,139,"['S530' 'yczN' 'S359' 'S1388' 'S268' 'yjnA' 'yqfX' 'S982' 'S81' 'yubC'
 'ykzV' 'S536' 'yqaN' 'S1188' 'yjzK' 'S962' 'S732' 'fadM' 'sspA' 'S1034'
 'S384' 'S1264' 'acoB' 'yqzO' 'S1266' 'S249' 'acoC' 'S453' 'S643' 'yueG'
 'S1395' 'yoyG' 'S1396' 'S447' 'yqaO' 'S873' 'S842' 'csfG' 'S1397' 'yngK'
 'yqfT' 'yhfA' 'yojB' 'yrzM' 'acoA' 'S872' 'S147' 'yqcI' 'S1234' 'yisJ'
 'yhdB' 'acoL' 'S1520']"
both_genes,86,"['S598' 'ytcB' 'yqfQ' 'cotD' 'cotM' 'cotW' 'S394' 'oxdD' 'cotB' 'S841'
 'gerPD' 'gerPA' 'S1562' 'S654' 'ytlA' 'S420' 'S28' 'ywrJ' 'sscA' 'yjqC'
 'cotX' 'yxeE' 'spsC' 'ytxO' 'S666' 'cotH' 'cotSA' 'pghL' 'cotP' 'yurS'
 'ytcA' 'yabG' 'spsB' 'cotY' 'cotT' 'ylbD' 'yeeK' 'cotC' 'gerE' 'gerPC'
 'lipC' 'yitB' 'S347' 'ydgB' 'yitA' 'cotG' 'spsA' 'spoVFA' 'ysnD' 'yodH'
 'ylbE' 'yhjR' 'yitC' 'S1387' 'S195' 'yrkC' 'S1386' 'yrzN' 'ymaG' 'ytlC'
 'S421' 'S698' 'ytcC' 'yisZ' 'cotS' 'S995' 'cotV' 'gerPB' 'ypqA' 'gerPF'
 'gerPE' 'gerT' 'S751' 'yitD' 'S1179' 'sspG' 'ytdA' 'S380' 'ytlD' 'cotF'
 'cotA' 'cotZ' 'ydgA' 'tgl' 'cotI' 'spoVFB']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,81,
comp_ops,65,
both_ops,45,
