,A,Zur,CueR,ZntR
R2,,0.019777874076321478,0.0006375695163081119,0.0
xmin,,-2.0800388494999997,-3.260627732,-0.8515653890000001
xmid,,,,
xmax,,1.9259646275,2.009821649,3.506143859
ystart,,6.559858523538552,3.0148801179964826,3.929491009928187
yend,,0.32926864817952595,4.840858125146032,3.929491009928187
control__wt_glc__1,-0.0167632050743273,-0.07593888650000036,-0.1509942259999999,-0.20454824199999955
control__wt_glc__2,0.0167632050742847,0.07593888650000036,0.1509942259999999,0.20454824200000046
fur__wt_dpd__1,0.150069428854617,-0.8500006155,1.4451215589999995,0.9394708980000006
fur__wt_dpd__2,0.1624133649767956,-0.3819216515000008,1.399832528,0.8788845199999997
fur__wt_fe__1,20.954512802432387,-0.5776457515000004,-0.14818736800000032,-0.13630858299999993
fur__wt_fe__2,20.86209490715429,-0.5452247195000002,-0.08800409200000026,-0.4520288679999993
fur__delfur_dpd__1,0.9121774414393454,-0.5836634175000013,1.557224284000001,0.7153509780000009
fur__delfur_dpd__2,4.707153626079371,-0.3671582265,1.5332954259999996,0.6015108720000004
fur__delfur_fe2__1,4.544531125507448,-0.3487539365000005,0.08724907500000079,0.31646561300000103
fur__delfur_fe2__2,5.38541690996366,-0.4750514465000002,-0.10496386400000013,0.4210600959999997
acid__wt_ph5__1,0.1718729225323235,-0.3485000195000003,0.7228549490000002,0.30519034400000056
acid__wt_ph5__2,0.5473731008223798,-0.4473045195000003,0.876165759,0.2371879450000005
acid__delgadx_ph5__2,-0.56708357760044,-0.4051564845,0.3484757280000004,0.20480751100000028
acid__delgadw_ph5__1,0.3357635977607024,-0.4551471684999999,0.7777941969999986,0.09555861800000097
acid__delgadw_ph5__2,0.251185554791276,-0.5225926794999989,0.8136383450000002,0.4664211950000006
acid__delgade_ph5__1,0.4658163068367834,-0.2461773945000001,0.8402734459999994,0.2853915259999997
acid__delgade_ph5__2,0.3763642393934047,-0.3601503534999999,0.8108316950000011,0.223184431
oxidative__wt_pq__1,19.14033025881496,-0.3303207525000005,0.8356758690000001,1.0384573209999999
oxidative__wt_pq__2,19.35598206725254,-0.33120145750000063,0.9364354229999998,1.0934352350000005
oxidative__deloxyr_pq__1,0.9749941405392814,0.00993283049999949,0.6339035119999998,1.2278312260000002
oxidative__deloxyr_pq__2,0.7561308880538253,0.018984871499999837,0.727391764,1.0334867230000002
oxidative__delsoxr_pq__1,20.00678064787499,-0.5133273905000006,0.870896353,1.116908456
oxidative__delsoxr_pq__2,19.805829308016587,-0.4360475284999996,0.944128752,1.1461818160000004
oxidative__delsoxs_pq__1,3.6404144617949816,-0.18318464750000096,1.2377641859999988,1.4842187510000002
oxidative__delsoxs_pq__2,3.157955711260401,-0.11306963849999985,1.2516071700000009,1.5596221750000003
nac_ntrc__wt_csn__1,-0.0559978405090697,-0.05545802150000068,0.9108092059999996,0.7929221120000003
nac_ntrc__wt_csn__2,-0.0238868953073528,-0.21664311450000007,0.9243399290000004,0.8699105810000001
nac_ntrc__wt_cytd__1,15.621808799317744,-0.4870616455000008,0.18678810599999984,-0.07264118500000016
nac_ntrc__wt_cytd__2,15.611184302995165,-0.3533196475000011,0.17198837499999975,0.045852389000000215
nac_ntrc__wt_gln__1,-0.0788942628974266,-0.5521471745000001,0.8234752350000011,0.5523894080000007
nac_ntrc__wt_gln__2,-0.5400742775649717,-0.3623415395,0.8625176029999997,0.8378874559999998
nac_ntrc__bw_delnac_csn__1,-0.1293538554287013,-0.19129243750000047,1.544721785999999,1.0542924680000008
nac_ntrc__bw_delnac_csn__2,-2.172317809904059,-0.04900874950000045,2.009821649,1.3310162870000006
nac_ntrc__bw_delnac_cytd__1,-0.3875042058446653,-0.4122430165000006,0.5421475309999995,0.39153912300000027
nac_ntrc__bw_delnac_cytd__2,-1.1264078340737265,-0.6266613365000007,0.4398358929999997,0.3425887560000005
nac_ntrc__bw_delnac_gln__1,-0.2544221436463865,-0.9360323755,1.2492705180000003,0.8053815940000001
nac_ntrc__bw_delnac_gln__2,0.6239401797834518,-0.8513231665000003,1.4427545450000006,0.6982640680000003
nac_ntrc__bw_delnac_nh4__1,0.9566958015647083,-0.5687745905000003,-0.1864879720000001,0.2374909430000009
nac_ntrc__bw_delnac_nh4__2,0.042750364364614,-0.8484441335000001,0.09588816099999953,0.4546042320000003
misc__wt_no_te__1,20.084215675451816,-0.7576039434999995,0.7692654759999993,0.2442750660000001
misc__wt_no_te__2,6.721029434457242,-0.4719790855000001,0.559663349,0.05945077199999992
misc__bw_delcbl__1,-0.7883523835906077,-0.4138512995000001,0.1022006159999993,0.014322029000000569
misc__bw_delcbl__2,-0.961850775006352,-0.30406709150000033,0.08507432700000006,-0.17381701299999985
misc__bw_delfabr__1,-0.0931994615152137,-0.6103355515000004,-0.02661243299999949,-0.33199666400000005
misc__bw_delfabr__2,-1.1542483142969302,-0.5826943275000005,-0.13735695999999908,-0.06762410699999942
misc__bw_delfadr__1,-1.389479757609572,-0.3825285765000004,0.06575450500000103,0.05036174999999954
