,A,Fnr,NarL
R2,,0.17365074955456128,0.007884407873457455
xmin,,-7.8525940196,-3.0560450505
xmid,,-1.8247153929778817,-0.22120459398873143
xmax,,4.4171410107,2.4694155805999998
ystart,,3.881741005352586,-0.26241284486524435
yend,,-11.215503958559337,2.015448935777432
aat__00m_00s__1,-0.8376886145,-0.0825740115,0.0834143878
aat__00m_30s__1,-0.6712792953000001,0.16485310350000001,0.0504933555
aat__01m_00s__1,-0.4398723625,0.7752711503,0.031696480900000004
aat__02m_00s__1,0.4568361481,0.9066270852,-0.0029696078000000002
aat__05m_00s__1,-3.9545063436000003,0.95171602,-0.3118176763
aat__10m_00s__1,-5.8862021543,1.0192587317,-1.1250431231
aat__00m_00s__2,-1.4164201090000001,0.1234264677,0.0253800388
aat__00m_30s__2,-1.5885884737,0.4334180231,-0.0159687598
aat__01m_00s__2,-0.2172950598,0.7979562918,0.11729304230000001
aat__02m_00s__2,-0.7182374594000001,0.8964971719,-0.0645860458
aat__05m_00s__2,-4.5468282989,0.9047534472000001,-0.4360385312
aat__10m_00s__2,-5.8525488812,0.9185125141,-0.7155510694
aat__00m_00s__3,2.2541087235,-0.040852456200000005,-0.10879442660000001
aat__00m_30s__3,1.8822262309000002,0.2208704434,0.004012204
aat__01m_00s__3,2.7810754728,0.7920547098,0.1317350897
aat__02m_00s__3,2.532254719,0.8818752216,0.0470774695
aat__05m_00s__3,-2.4352246446,0.9825066807,-0.5255995358000001
aat__10m_00s__3,-6.3825402654,0.9444446514,-0.9168248342
abx_mega__dmso-2__1,3.6102305867,0.0403637158,1.9154446272
abx_mega__ery_dmso__1,-11.1884356188,0.5459244040000001,-0.7280519322
abx_mega__nal_naoh__1,2.8245870672,-0.6791990309,1.1947183288
abx_mega__dmso-5__1,-0.6981712394,0.0078028844000000005,0.1780909309
abx_mega__rif_dmso__1,-1.6571719353,-1.3129271236,1.2955909793
abx_mega__novo_h2o__1,-7.4916655219,0.20689053170000002,-1.6319055235
abx_mega__rach_dmso__1,-4.6525383485,-0.045048951000000004,0.4734941154
abx_mega__metro_dmso__1,-3.1432282093,0.4656249649,-0.1664938681
abx_mega__dmso-6__1,-0.6836606563000001,-0.3784852643,0.5350788069
abx_mega__chl_h2o__1,-12.514956056900001,0.3019332691,-1.1516025581
abx_mega__cst_h2o__1,2.0457280566,0.0320312785,0.2589008747
abx_mega__tec_h2o__1,-2.5000420996,-2.6112045671,0.6985329095
abx_mega__str_h2o__1,-0.3519684618,0.2482154852,1.5091314717
abx_mega__ctx_h2o__1,2.4478874351,0.0230880885,0.0599282165
abx_mega__nal_naoh__2,-0.8243503894,0.3075812793,-0.3923176547
abx_mega__phos_h2o__1,2.9551260367000003,-0.7038356709,-0.4271510985
abx_mega__dmso-5__2,-0.6210666374,-0.2244639849,0.2821523801
abx_mega__polmyx_h2o__1,1.374520579,0.32801548280000004,0.07094828710000001
abx_mega__h2o-8b__1,3.5097620973,-0.0363903054,0.19399510790000002
abx_mega__h2o-6__1,0.1810338686,0.1539794799,0.0642121101
abx_mega__thio_dmso__1,-4.8403079342,-0.315089026,-0.07041621590000001
abx_mega__phos_h2o__2,4.0018524205,-0.19593564700000002,0.2387249998
abx_mega__ctx_h2o__2,1.2647685434,0.1826918599,0.4765491027
abx_mega__lzd_dmso__1,-6.3401786263,0.6125076868,-0.9480551533
abx_mega__naoh-9__1,2.4564099039,0.518483773,0.3874315129
abx_mega__dox_dmso__1,-2.5707874482,0.6077452839,-0.30677911280000003
abx_mega__phos_ethanol__1,1.9524653198,0.7489705412000001,0.45546757130000004
abx_mega__teix_dmso__1,-6.0198664309,-1.2905505804000001,0.8811496315
abx_mega__dmso-10__1,2.4721492086,0.4743514224,0.5259159415
abx_mega__van_dmso__1,-9.6408850756,0.8302627999000001,-1.1704676525
abx_mega__ramo_h2o__1,-3.2889867506,-0.8002749045,-0.1456506972
abx_mega__tec_h2o__2,-1.6299785615,-1.6551107114999999,-0.0240085228
abx_mega__h2o-7__1,2.2762962094,0.21844817860000001,0.5443759374
abx_mega__cro_h2o__1,3.026135815,0.0879280571,0.9783104235000001
abx_mega__tric_ethanol__1,-6.1665478493,0.8900785727,0.7166860521
abx_mega__nor_naoh__1,-0.2629462544,-0.0313845657,-0.0818044565
abx_mega__teix_dmso__2,-0.6948799286,-0.4150383489,0.2538442496
abx_mega__nal_naoh__3,-0.9441132792,0.2272209504,-0.32002223220000003
abx_mega__novo_h2o__2,-8.0078253627,0.16806743940000002,-1.4231800896
abx_mega__dmso-10__2,2.6506732695,0.40832126950000003,0.371962511
abx_mega__phos_h2o__3,1.0612614091,0.0877333852,0.040928029000000005
abx_mega__dmso-6__2,-1.076006994,-0.1654402185,0.3072546497
abx_mega__rfp_ethanol__1,-9.8043668626,-0.12067474560000001,0.3371132867
abx_mega__dmso-5__3,-1.3999413362,0.1613415464,0.3899857407
abx_mega__amyc-d_dmso__1,-11.3060519005,0.257224454,-1.9056921008
abx_mega__sxt_dmso__1,0.6399415219,0.047755995,1.3605355026
abx_mega__dmso-1__1,0.1307158631,-0.1308553567,-0.1621879518
abx_mega__pen_h2o__1,-0.8982673088,-0.3609283863,-0.4011629601
abx_mega__dmso-10__3,2.4939037278000002,0.20815252,0.6602530221
abx_mega__nal_naoh__4,1.6104031063000002,0.0028938907,-0.3741219792
abx_mega__cip_naoh__1,1.8599962188,0.11078089020000001,-0.3082369024
abx_mega__pen_h2o__2,-2.5522815838,-0.2836689398,-0.3006640419
abx_mega__ery_dmso__2,-12.0204373089,0.0804674744,-1.1971011775
abx_mega__dmso-2__2,4.5067265639,-0.2221077391,1.5801977473000002
abx_mega__van_dmso__2,-10.2057667795,0.6605546913,-0.884127384
abx_mega__h2o-1b__1,0.2431249939,0.030807355300000002,-0.452432223
abx_mega__ery_h2o__1,-7.5902271577,0.1635488437,-1.3563246039
abx_mega__bacit_h2o__1,-10.7135021988,-0.4774994905,-0.6817547788
abx_mega__chl_h2o__2,-9.8911996597,0.0987552064,-1.3195528967999999
abx_mega__str_h2o__2,0.3564117533,0.2741965069,1.3047365667
abx_mega__rfp_ethanol__2,-9.6064202676,0.12295077100000001,0.0825550003
abx_mega__polmyx_h2o__2,1.8565521892999999,-0.3737381984,-0.2047876144
abx_mega__tric_h2o__1,-3.4567820128,1.3424886167,0.6570030657
abx_mega__cip_naoh__2,-1.783533679,0.09932130680000001,-0.0042746708
abx_mega__novo_h2o__3,-5.6806943428,0.0559133562,-1.6268601596
abx_mega__bacit_dmso__1,-7.941504436,-0.2242105774,-0.2149626757
abx_mega__gen_h2o__1,-6.3254993726,0.41129122560000003,-0.0023401669
abx_mega__bacit_dmso__2,-9.5741500458,-0.2049744387,-0.1358000564
abx_mega__chl_dmso__1,-11.9473513231,0.1866328231,-1.2077453185
abx_mega__bacit_h2o__2,-5.3407176116,-0.8589924069,-0.4745572525
abx_mega__lvx_dmso__1,-0.8200846334,-0.18501779240000002,0.7236428398
abx_mega__bacit_h2o__3,-10.1501096395,-0.3986390476,-0.4942506949
abx_mega__nor_naoh__2,-0.9332976039,-0.11461450370000001,-0.1796711266
abx_mega__amyc-d_dmso__2,-9.4345652277,0.1534325597,-0.23408638040000002
abx_mega__polmyx_h2o__3,-0.33902577500000003,0.4256416268,1.4636209179000002
abx_mega__naoh-6__1,-0.025852842100000002,0.1918842788,-0.0738028359
abx_mega__cst_h2o__2,-2.8569070521,0.2575678173,-0.2211989576
abx_mega__h2o-1b__2,-1.0578763772,0.7809611414000001,-0.32526084780000003
abx_mega__rfp_h2o__1,-5.1211810981,-1.0905972262999999,0.9832435012
abx_mega__tet_h2o__1,-5.5845550294,0.0295461953,-1.741102497
abx_mega__flavo_dmso__1,-4.4114845857,-0.9098451584,0.3338762417
abx_mega__zeocin_h2o__1,2.6636328989,0.11093211330000001,0.356397116
abx_mega__nor_naoh__3,-1.2753139943,-0.2660034833,-0.2272100971
abx_mega__rach_dmso__2,-4.6727614663,0.1360391327,1.7463769081
abx_mega__thio_dmso__2,-12.9569317823,0.3253789217,-0.3890854292
abx_mega__amyc-d_dmso__3,-9.510977369799999,0.33467356740000004,-1.6884538489
abx_mega__rif_dmso__2,-1.1907362240000001,-0.7654036895,0.6145146939
abx_mega__amyc-d_dmso__4,-8.2518360641,0.0720316185,-0.335661769
abx_mega__teix_dmso__3,0.3950369554,-0.1127364899,-0.1154299023
abx_mega__valin_dmso__1,-7.0436389554,-0.1452747475,0.0956653423
abx_mega__teix_dmso__4,-0.2323120197,-0.2103049645,0.23881420290000002
abx_mega__ethanol-10__1,-0.2251767628,0.6194313426,0.6441814068
abx_mega__inh_h2o__1,3.92347669,-0.0340580552,0.44933268930000003
abx_mega__rif_dmso__3,0.46237477120000003,-1.5589165824,1.197837956
