,hyfR
Cr_1,0.00756884321063681
Cr_2,0.025554879972533397
Cr_3,0.08217980377198762
Cr_4,0.1633975716849745
Cr_5,0.2986695402279769
Cr_6,0.4093526904716874
Fe_1,-0.015608397633955494
Fe_2,-0.026943521752371632
Fe_3,-0.03210038932743449
Fe_4,-0.033858756599098365
Fe_5,-0.03806017333241712
Fe_6,-0.047900557214324416
Cd_1,0.0021515206972576363
Cd_2,0.00720476721527314
Cd_3,0.009486346863683404
Cd_4,0.014854140620102456
Cd_5,0.01677640752040091
Cd_6,0.026114796424813826
Zn_1,0.000103928449383608
Zn_2,0.009212821902811462
Zn_3,0.033316011279472244
Zn_4,0.0519672344990299
Zn_5,0.0740285280677992
Zn_6,0.08332698045096637
Cu_1,0.004942403418157861
Cu_2,0.007709511122356538
Cu_3,0.014028460009856565
Cu_4,0.020854190965314844
Cu_5,0.030123772711698832
Cu_6,0.039345903582854384
Pb_1,-0.0032897288547644363
Pb_2,0.0003263064670696786
Pb_3,0.004903698245103222
Pb_4,0.011551991900102244
Pb_5,0.011325510747335598
Pb_6,0.01847629872099842
