,yfeK
Cr_1,-0.0013808252815670592
Cr_2,-0.002053402253647458
Cr_3,-0.0039397055313791784
Cr_4,-0.010084724494781084
Cr_5,-0.003054473435205743
Cr_6,0.0016294390561660647
Fe_1,-0.016085657521133744
Fe_2,-0.03225283880595082
Fe_3,-0.04713941814586769
Fe_4,-0.07193780368916876
Fe_5,-0.09769431370530374
Fe_6,-0.11256470551837304
Cd_1,0.010406961065791335
Cd_2,0.02177808247534323
Cd_3,0.021998347688410698
Cd_4,0.02707783031632561
Cd_5,0.02717442715987652
Cd_6,0.0338382465574275
Zn_1,0.025300936831187244
Zn_2,0.004062298432402309
Zn_3,-0.07524419941932799
Zn_4,-0.17494781287960848
Zn_5,-0.020170583396397358
Zn_6,-0.05266215597375558
Cu_1,0.008562033622691688
Cu_2,0.017913638533581785
Cu_3,0.0285366495273832
Cu_4,0.03164418408722023
Cu_5,0.03992648790790065
Cu_6,0.04300119273786121
Pb_1,0.009833695473574542
Pb_2,0.020304573501420755
Pb_3,0.03940490274836923
Pb_4,0.04925647924741925
Pb_5,0.06570249345254138
Pb_6,0.08122105406857967
