,secE
Cr_1,0.004434246248568917
Cr_2,0.010984197059711407
Cr_3,0.01929060228872577
Cr_4,0.03011127765219813
Cr_5,0.03819168677287173
Cr_6,0.041821991974560935
Fe_1,-0.008958410493338566
Fe_2,-0.0008309193856770093
Fe_3,0.01947586521202564
Fe_4,0.02359163614572074
Fe_5,0.01987310270945496
Fe_6,0.005295554585796397
Cd_1,0.006256873264411601
Cd_2,0.013523313193498329
Cd_3,0.022450889652227333
Cd_4,0.027186247451828915
Cd_5,0.02648200294481534
Cd_6,0.03059921512487289
Zn_1,0.006779867024337574
Zn_2,0.012655520709273149
Zn_3,0.02312617078924915
Zn_4,0.02680429540393614
Zn_5,0.02583792327007415
Zn_6,0.01976369503774312
Cu_1,0.020622007639141245
Cu_2,0.03073895306762389
Cu_3,0.044568262151122584
Cu_4,0.06238451652549884
Cu_5,0.07812633811063753
Cu_6,0.09052781534644593
Pb_1,-0.00018572516063459086
Pb_2,0.004107670586670652
Pb_3,0.006374700097184219
Pb_4,0.0004909910248985789
Pb_5,0.00017132839417283518
Pb_6,0.0055116239054758395
