,racC
Cr_1,-0.0044616174563588285
Cr_2,-0.015799773480143782
Cr_3,-0.016702039723791702
Cr_4,-0.011257982382849438
Cr_5,-0.006168404012001707
Cr_6,-0.013789608720621209
Fe_1,-0.02972312296370432
Fe_2,-0.02304240089355253
Fe_3,-0.0024633266335212767
Fe_4,0.004270243182729928
Fe_5,0.011126736369314107
Fe_6,0.002165682809833635
Cd_1,0.005627483418314363
Cd_2,0.009576532170044965
Cd_3,0.01337454975502603
Cd_4,0.018681674788078747
Cd_5,0.02616676934274251
Cd_6,0.03673024552491543
Zn_1,0.034983465090851755
Zn_2,0.030622885591182283
Zn_3,0.1095978808953225
Zn_4,0.2578999456976058
Zn_5,0.3154432678011746
Zn_6,0.7349656705094245
Cu_1,0.005668708799886515
Cu_2,0.0073524516785156485
Cu_3,0.018863271752831336
Cu_4,0.029233396863617544
Cu_5,0.02882387661995853
Cu_6,0.0334703811569293
Pb_1,-0.00197638358738059
Pb_2,0.0049769761386887065
Pb_3,0.012154985794452152
Pb_4,0.021491218902438238
Pb_5,0.0383921874392892
Pb_6,0.053657478762446496
