,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A
0,algU_regulon__empty_vector,3.700743415417188e-17,2.0015809110628866,3.0,0.0,1.4707756477,2.0,-2.2793892452,4.0,0.8086135975000001,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,2.6249310416,2.9300998587918303,3.0,1.0,0.4366483397,3.0,1.4843354293,5.0,5.9538093558,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,3.254031564925,1.7719241611845697,4.0,6.0,1.049142027,20.0,3.3295496946,40.0,3.2498876429,63.0,5.3875468952,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,5.378971883875,0.29415957623553174,4.0,7.0,5.1618187954,33.0,5.4349202392,81.0,5.7728715562,82.0,5.1462769447,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,-3.231783360025,4.410941729163413,4.0,8.0,-2.8884757694000003,51.0,-5.5931130364,65.0,-7.2546346117,76.0,2.8090899774,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,-1.2053977326333332,10.29467985049244,3.0,9.0,0.4014556897,22.0,8.1913691712,49.0,-12.2090180588,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,-0.66576911785,1.1453538192505852,2.0,10.0,-1.4756565703,26.0,0.1441183346,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,-10.327114621766667,9.58638175443056,3.0,11.0,-7.9841341147,54.0,-2.1294241801,83.0,-20.8677855705,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,-5.0388109671,4.644186621232913,4.0,12.0,-7.979991724,48.0,-5.6044514607,64.0,-8.2646581713,78.0,1.6938574875999999,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,-0.24182617235,0.8615353709364731,4.0,13.0,-1.3915125448,38.0,0.697482302,67.0,-0.1204973482,72.0,-0.1527770984,,,,,,,,,,,,,,,,,,,,
10,co_culture__c_viol_30,3.575036172933333,0.6799037451776062,3.0,14.0,4.2938466769,41.0,3.4890403159,85.0,2.942221526,,,,,,,,,,,,,,,,,,,,,,
11,co_culture__c_viol_35,3.386301720625,0.6216941060383874,4.0,15.0,2.9253170752,52.0,3.7688853959,71.0,4.0569925922,80.0,2.7940118192,,,,,,,,,,,,,,,,,,,,
12,co_culture__b_thai_40,-5.7945887771,4.625026253593041,3.0,16.0,-9.1081667418,53.0,-7.7649224354,77.0,-0.5106771541,,,,,,,,,,,,,,,,,,,,,,
13,co_culture__b_thai_45,-11.132650215433335,0.6355633936855567,3.0,17.0,-11.0486425069,50.0,-11.8060397332,66.0,-10.5432684062,,,,,,,,,,,,,,,,,,,,,,
14,co_culture__b_thai_c_viol_40,1.4592460020999998,6.758732999008769,3.0,18.0,3.4191404369000002,25.0,-6.0628401702,62.0,7.0214377396,,,,,,,,,,,,,,,,,,,,,,
15,co_culture__mono_35,-0.630627527375,0.5665703664359293,4.0,19.0,-0.1848070902,28.0,-1.4459627407,56.0,-0.5707860774,73.0,-0.3209542012,,,,,,,,,,,,,,,,,,,,
16,co_culture__b_thai_c_viol_45,-4.901825624900001,9.326509932331085,4.0,21.0,0.2482021678,34.0,-4.2713123775,45.0,-18.2161956738,58.0,2.6320033839,,,,,,,,,,,,,,,,,,,,
17,co_culture__c_viol_25,3.4974349984749997,0.9635695896260404,4.0,23.0,4.6288135748,42.0,3.9194979707,70.0,2.4750985648,79.0,2.9663298836000003,,,,,,,,,,,,,,,,,,,,
18,co_culture__mono_45,-0.32492699030000005,1.4921862740573295,4.0,24.0,-0.3213572293,29.0,0.6178552086,68.0,0.8364027036,74.0,-2.4326086441,,,,,,,,,,,,,,,,,,,,
19,co_culture__mono_40,0.81661976525,0.9467613253450042,4.0,27.0,1.4165734128,31.0,1.6466601006000001,69.0,-0.45412819940000004,75.0,0.6573737470000001,,,,,,,,,,,,,,,,,,,,
20,co_culture__b_thai_c_viol_35,-2.2391484568249997,7.85692842777554,4.0,30.0,3.8563165045,32.0,-5.0651552496,59.0,4.3330794806,86.0,-12.0808345628,,,,,,,,,,,,,,,,,,,,
21,co_culture__b_thai_c_viol_25,-6.1375656625,,1.0,35.0,-6.1375656625,,,,,,,,,,,,,,,,,,,,,,,,,,
22,co_culture__b_thai_c_viol_30,-2.0183389863000007,8.5102541943976,4.0,36.0,-6.2146738746,44.0,-11.9709923991,60.0,5.5620246817,61.0,4.5502856468,,,,,,,,,,,,,,,,,,,,
23,co_culture__mono_12.5,-5.551115123125783e-17,1.0373298434796308,4.0,37.0,0.057126695400000004,46.0,-0.9367260180000001,57.0,-0.5502995853,84.0,1.4298989079,,,,,,,,,,,,,,,,,,,,
24,co_culture__c_viol_45,3.75404360615,0.7063257627255547,2.0,39.0,4.2534913427,43.0,3.2545958696,,,,,,,,,,,,,,,,,,,,,,,,
25,co_culture__b_thai_c_viol_12.5,10.44854911645,0.4291007807064886,2.0,47.0,10.7519691883,55.0,10.1451290446,,,,,,,,,,,,,,,,,,,,,,,,
26,immunity_2__WT_sid2,3.33333360913457e-11,1.2739183985165583,3.0,87.0,-1.3023978254,90.0,0.0590097417,93.0,1.2433880838,,,,,,,,,,,,,,,,,,,,,,
27,immunity_2__WT_pad4,0.33215204206666665,0.6530239742001529,3.0,88.0,-0.3709168458,91.0,0.4476548884,94.0,0.9197180836000001,,,,,,,,,,,,,,,,,,,,,,
28,immunity_2__WT_PS,2.6464057414,0.4647692824384749,3.0,89.0,2.1172560576,92.0,2.8334502989,95.0,2.9885108677,,,,,,,,,,,,,,,,,,,,,,
29,immunity_in_vitro__WT_MM,-2.7755575615628914e-17,1.3309535649253075,4.0,96.0,1.6293356149,97.0,-1.2525055145000001,98.0,-0.9024903627,99.0,0.5256602623000001,,,,,,,,,,,,,,,,,,,,
30,immunity_isolated__WT_DE,-0.43292414265,0.7185919003595985,2.0,100.0,-0.9410453483000001,104.0,0.07519706300000001,,,,,,,,,,,,,,,,,,,,,,,,
31,immunity_isolated__WT_DEPS,-1.2062339182000001,0.8446591311113886,2.0,101.0,-1.8034981176,105.0,-0.6089697188000001,,,,,,,,,,,,,,,,,,,,,,,,
