,A,QstR
R2,,0.8409813454597672
xmin,,-5.390760247499999
xmid,,0.6257621562428917
xmax,,10.3611310765
ystart,,-0.5686883227608015
yend,,32.777449751964774
Rich_TF_over_stress__BHIN_Growth_Late__1,-2.209019993984283,-4.0263800465
Rich_TF_over_stress__BHIN_Growth_Late__2,-1.6509398826380317,-3.8286667465
Rich_TF_over_stress__BHIN_Growth_Mid__1,-2.9367452661806364,-3.9930008535
Rich_TF_over_stress__BHIN_Growth_Mid__2,-2.5964143509969086,-5.390760247499999
Rich_TF_over_stress__BHIN_Growth_Stat__1,2.245531284396752,-4.1275616215
Rich_TF_over_stress__BHIN_Growth_Stat__2,1.2976908043582052,-4.2023642605
Rich_TF_over_stress__LBv2_Growth_Late__1,0.8049114328873966,-0.4288703245
Rich_TF_over_stress__LBv2_Growth_Late__2,1.6679833218316529,0.0280230614999998
Rich_TF_over_stress__LBv2_Growth_Mid__1,0.4441697671461969,0.1073352175000001
Rich_TF_over_stress__LBv2_Growth_Mid__2,-0.4441697671461792,-0.1073352175000001
Rich_TF_over_stress__LBv2_Growth_Stat__1,2.1509549651312296,-0.9178613454999996
Rich_TF_over_stress__LBv2_Growth_Stat__2,3.217270927717593,-0.9452454205
Rich_TF_over_stress__MHB_Rich_Mid__1,0.7772542153233073,-2.5845415215
Rich_TF_over_stress__MHB_Rich_Mid__2,-0.5878731476936592,-2.8963145605
Rich_TF_over_stress__NBO_Rich_Mid__1,-2.002223177056623,-2.1356934715
Rich_TF_over_stress__NBO_Rich_Mid__2,-2.407525452645108,-2.4472677605
Carbons__M9Na_Arabinose_Mid__1,-1.7591598613498294,-0.0981807894999997
Carbons__M9Na_Arabinose_Mid__2,-2.828673136881265,-0.5867425365000001
Carbons__M9Na_Galactose_Mid__1,0.4394545081361557,0.5257486615000002
Carbons__M9Na_Galactose_Mid__2,1.0464279136506525,0.6603573285000004
Carbons__M9Na_GlcNAcGrowth_Late__1,1.033963992390937,3.4369310765
Carbons__M9Na_GlcNAcGrowth_Late__2,0.4997097817763561,3.4592896455
Carbons__M9Na_GlcNAcGrowth_Mid__1,2.458920965494585,4.714012205500001
Carbons__M9Na_GlcNAcGrowth_Mid__2,2.485117482362535,4.0364713795
Carbons__M9Na_GlcNAcGrowth_Stat__1,-2.335647506272968,-2.0644372935
Carbons__M9Na_GlcNAcGrowth_Stat__2,-2.169564553836457,-2.6570590335
Carbons__M9Na_GlcNAc_Mid__1,-2.0081516140456745,-0.2992013674999998
Carbons__M9Na_GlcNAc_Mid__2,-0.8428486864638465,-0.4316409244999999
Carbons__M9Na_Gluconate_Mid__1,1.3186987464732025,0.3620924825
Carbons__M9Na_Gluconate_Mid__2,-2.420207215136978,-0.3389354614999997
Carbons__M9Na_Glucosamine_Mid__1,-2.6888712073389813,-1.3871494145
Carbons__M9Na_Glucosamine_Mid__2,-2.3770849246760206,-1.1070465394999998
Carbons__M9Na_Glycerol_Mid__1,1.6442806229370828,-0.1220028544999998
Carbons__M9Na_Glycerol_Mid__2,1.439199729615265,-0.5239412545
Carbons__M9Na_Maltose_Mid__1,-1.8148794786222189,-0.1710437714999999
Carbons__M9Na_Maltose_Mid__2,-1.4039920022583123,-0.2545430454999997
Carbons__M9Na_Mannitol_Mid__1,-0.6065771568933966,-0.0413102744999998
Carbons__M9Na_Mannitol_Mid__2,-0.6408032026931051,0.1268489005000002
Carbons__M9Na_Trehalose_Mid__1,1.1045940388394826,-0.4169548564999998
Carbons__M9Na_Trehalose_Mid__2,-0.0270211099952147,0.0436497624999998
Carbons__M9Na_ethanol_Mid__1,-1.701363877575953,-2.6370908815
Carbons__M9Na_ethanol_Mid__2,-3.09475055591434,-1.7996003285
Carbons__M9Na_fructose_Mid__1,2.61054766717487,-0.1350044735
Carbons__M9Na_fructose_Mid__2,3.061994636014054,-0.1532076044999999
Carbons__M9Na_fumarate_Mid__1,-1.2168600317509797,0.4052995815
Carbons__M9Na_fumarate_Mid__2,1.233379812405466,0.4416274425000002
Carbons__M9Na_glucoseGrowth_Late__1,0.2937342346226749,0.2483100364999999
Carbons__M9Na_glucoseGrowth_Late__2,-0.6059823723594292,0.1009681365000001
Carbons__M9Na_glucoseGrowth_Mid__1,-0.2343437929967065,-0.0719973624999998
Carbons__M9Na_glucoseGrowth_Mid__2,0.2343437929967174,0.0719973624999998
Carbons__M9Na_glucoseGrowth_Stat__1,-1.954711060781655,-0.5531683785000001
Carbons__M9Na_glucoseGrowth_Stat__2,-0.3927653007229832,2.4872851175000004
Carbons__M9Na_ribose_Mid__1,0.9904743522219596,0.5618529005000004
Carbons__M9Na_ribose_Mid__2,1.2820655045664362,0.7150832375000005
Carbons__M9Na_succinate_Mid__1,2.0322172598682786,0.1916313034999999
Carbons__M9Na_succinate_Mid__2,1.5049800558423387,-0.2395336805000001
Carbons__M9Na_sucrose_Mid__1,-1.9862867013949248,-0.2391698815
Carbons__M9Na_sucrose_Mid__2,-2.5461160244449585,-0.5870445205000001
Rich_TF_over_stress__LBv2_HapROver_Late__1,-5.750050746464684,-3.8515690475
Rich_TF_over_stress__LBv2_HapROver_Late__2,-5.024766635855361,-3.9155227955
Rich_TF_over_stress__LBv2_HapROver_Mid__1,-0.5534091971421087,-2.4579787215
Rich_TF_over_stress__LBv2_HapROver_Mid__2,-0.4238483055978694,-2.8344058105
