,rfaD
Cr_1,-0.002401938116179538
Cr_2,-0.003710517133886951
Cr_3,-0.004000784223626294
Cr_4,-0.005137981395450318
Cr_5,-0.003747184466543674
Cr_6,-0.0029769945420412016
Fe_1,-0.006096376344818576
Fe_2,-0.008688868751857814
Fe_3,-0.009180116497049176
Fe_4,-0.023878152595657964
Fe_5,-0.03433199720844705
Fe_6,-0.03744116906139168
Cd_1,0.011552755215798191
Cd_2,0.0339302567540248
Cd_3,0.057987009414966775
Cd_4,0.07570415352595668
Cd_5,0.08134985037896279
Cd_6,0.09017971605125001
Zn_1,0.003817524979077064
Zn_2,0.014812627546632156
Zn_3,0.031541600910165696
Zn_4,0.052589482481501734
Zn_5,0.0746842916096238
Zn_6,0.09665465441815436
Cu_1,0.0005073781392939824
Cu_2,-0.0011706430147449542
Cu_3,-0.0016554587025584214
Cu_4,-0.0024811540894385674
Cu_5,-0.004237976970570854
Cu_6,-0.005581531620305736
Pb_1,0.011964738164046269
Pb_2,0.02373960899709965
Pb_3,0.04152505776198039
Pb_4,0.05940834449454984
Pb_5,0.07492300182111915
Pb_6,0.09349451912176232
