,SP5448_05035
SRX1726505,-0.2889616421
SRX1726506,0.1505669174
SRX1726507,0.13839472460000002
SRX1726508,-2.1984964326
SRX1726509,-2.1113090575
SRX1726510,-1.3667725501
SRX1726511,-2.2591178826
SRX1726512,-2.1239812881
SRX1726513,-2.0014961278
SRX1081650,0.1954195535
SRX1081651,0.07898684
SRX1081652,0.3120684131
SRX1081653,-0.1871992248
SRX1081654,0.0752701942
SRX1081655,0.036505055200000004
SRX1081656,0.1745867637
SRX1081657,-0.18639908430000002
SRX1081658,-0.07554148990000001
SRX1081659,-0.18647117770000002
SRX1081660,-0.40662127540000004
SRX1081661,-0.2231565677
SRX1081662,0.3103407429
SRX1081663,0.056319175400000004
SRX1081664,0.057524121600000006
SRX1081665,-0.0931958234
SRX1081666,0.1306824928
SRX1081668,0.0830707648
SRX1081669,0.0082763048
SRX1081670,-0.09862825880000001
SRX1081671,-0.06183752
SRX1081672,-1.1471159147
SRX1081673,-2.0691759242
SRX1081674,-1.6958700000000002
SRX1081675,-1.611959055
SRX1081676,-1.0550025033
SRX1081677,-1.3679885741
SRX1081678,-0.8921609186
SRX1081679,-1.5765878617
SRX1081680,-1.1459448615
SRX1081681,-1.4868789387
SRX1081682,-1.7497356679
SRX1081683,-2.040868151
SRX1081684,-1.196972308
SRX1081685,-1.3349613179
SRX1081686,-1.6479124479
SRX1081687,-1.5390220361
SRX1081688,-1.0776845428
SRX1081689,-1.4424874006000001
SRX1081690,-0.3943203938
SRX1081691,-0.0946479278
SRX1081692,-1.2260897587
SRX1962715,-0.0207030268
SRX1962716,-0.0191159083
SRX1962717,0.0398189351
SRX1962718,-0.2944355892
SRX1962719,-0.3727145575
SRX1962720,-0.3852560298
SRX1962721,-0.34177035370000003
SRX4892146,0.0115049086
SRX4892147,0.014291527600000001
SRX4892148,-0.0267026887
SRX4892149,0.0009062525
SRX4892150,-0.09504351920000001
SRX4892151,-0.14997634840000001
SRX4892152,-0.1180942945
SRX4892153,-0.11273490010000001
SRX4892154,0.0225003023
SRX4892155,-0.023753613700000002
SRX4892156,-0.05092958
SRX4892157,-0.0845550139
SRX4892158,-0.1484656445
SRX4892159,-0.1127571675
SRX4892160,-0.1110605323
SRX4892161,-0.16556791810000002
SRX7620814,-0.2472047678
SRX7620815,-0.3543030405
SRX7620816,-0.3107699189
SRX7620817,-1.6370270244
SRX7620818,-1.5807527896
SRX7620819,-1.6749270699
SRX7620856,-0.0211197851
SRX7620857,-4.2309642996
SRX7620858,0.3324004994
SRX7620859,-4.1576929998
SRX7620860,-0.2312773058
SRX7620861,-4.3681343343
SRX7620862,-0.11683400790000001
SRX7620863,-1.9930351294
SRX7620864,0.40238516490000004
SRX7620865,-2.0269589301
SRX7620866,0.6267265702
SRX7620867,-2.5593136265
SRX2161502,-0.0280244699
SRX2161503,-0.0718922204
SRX2161504,0.09991669040000001
SRX2161505,-0.1622454854
SRX2161506,-0.1748806867
SRX2161507,-0.3246738308
SRX2161508,-0.13078189510000002
SRX2161509,0.19767926030000002
SRX2161510,-0.0404494914
SRX2161511,-0.1747362849
SRX2161512,-0.0668304499
SRX2161513,-0.1430022077
SRX2161514,-1.4000720442
SRX2161515,-1.5165593217
SRX2161516,-1.4468306965
SRX2161517,-0.9744078535
SRX2161518,-1.0414906015
SRX2161519,-1.1483115289999999
SRX2161520,-0.9118575082
SRX2161521,-1.0604131904
SRX2161522,-0.7597746734
SRX2161523,-1.1699853246
SRX2161524,-1.5325940413999999
SRX2161525,-1.6672931544
