,yhjX
Cr_1,0.0005383143593870384
Cr_2,0.00015380940657703872
Cr_3,-0.002393925592794373
Cr_4,-0.007001375810892682
Cr_5,-0.005073849761525698
Cr_6,0.0006935102256564733
Fe_1,-0.040965517797429365
Fe_2,-0.07618823779302067
Fe_3,-0.11464528684486887
Fe_4,-0.15985694188930366
Fe_5,-0.2154460010981167
Fe_6,-0.2652192511068993
Cd_1,0.003105132269337766
Cd_2,0.006866040424836424
Cd_3,0.010358679178603029
Cd_4,0.0099597602528009
Cd_5,0.0050687165974448965
Cd_6,0.002827267565800397
Zn_1,-0.0034800670364454524
Zn_2,-0.012401770668237215
Zn_3,-0.03341475263076632
Zn_4,-0.06287746323132172
Zn_5,-0.09581887426498199
Zn_6,-0.12215804899826885
Cu_1,0.0016827088274409855
Cu_2,0.004651888883948614
Cu_3,0.00669280482617245
Cu_4,0.006844802016620327
Cu_5,0.003731195753206757
Cu_6,0.0016850956772775725
Pb_1,-0.010762780056176896
Pb_2,-0.011780731918133669
Pb_3,-0.013220316919589263
Pb_4,-0.017978277502133846
Pb_5,-0.020016454812231004
Pb_6,-0.023273438252864948
