locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ppGpp,H-NS,link
b1600,0.4873642072,mdtJ,multidrug/spermidine efflux pump membrane subunit MdtJ,Inorganic ion transport and metabolism,mdtJI,"RpoD,ppGpp,H-NS",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6858
b1599,0.4706712295,mdtI,multidrug/spermidine efflux pump membrane subunit MdtI,Inorganic ion transport and metabolism,mdtJI,"RpoD,ppGpp,H-NS",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6857
