,A,hns
R2,,0.017941377410639614
xmin,,-11.2828757996
xmid,,
xmax,,2.8974495703
ystart,,2.708506803314328
yend,,-2.1777390475370066
aat__00m_00s__1,0.2800954315,-0.0832222629
aat__00m_30s__1,-1.1183612619,-0.0215977273
aat__01m_00s__1,-2.0239181696,0.014475031800000001
aat__02m_00s__1,-0.9366365911000001,-0.069698208
aat__05m_00s__1,-1.2540680106,-0.28960489710000004
aat__10m_00s__1,-0.949068714,-0.2321548066
aat__00m_00s__2,-0.6162403003,-0.0482583698
aat__00m_30s__2,-1.0585302149,-0.2218292502
aat__01m_00s__2,-1.2496383409,-0.0773807522
aat__02m_00s__2,-0.5456629063,-0.0678102107
aat__05m_00s__2,-1.1080811263,-0.1422065635
aat__10m_00s__2,-0.8205801459000001,0.2490992528
aat__00m_00s__3,0.3361448688,0.13148063270000002
aat__00m_30s__3,-1.3209841101,0.2910135497
aat__01m_00s__3,-1.3334673678,0.1734109775
aat__02m_00s__3,-1.276691759,0.28443055370000003
aat__05m_00s__3,-0.643538637,0.0742654028
aat__10m_00s__3,-1.3438997519,0.23033813420000002
abx_mega__dmso-2__1,-1.9640744968,-1.3295713452
abx_mega__ery_dmso__1,-0.7639276523,0.6661338201
abx_mega__nal_naoh__1,-4.7771006985,-1.732107911
abx_mega__dmso-5__1,-2.149246877,0.16751679260000002
abx_mega__rif_dmso__1,-6.1212553032,-0.3087090213
abx_mega__novo_h2o__1,-7.7649436891,-1.4290721084
abx_mega__rach_dmso__1,-2.1783429695,-0.1462527268
abx_mega__metro_dmso__1,-2.897694283,-0.641073463
abx_mega__dmso-6__1,-2.3065955585,-0.0725217448
abx_mega__chl_h2o__1,2.2242970155,0.4503702694
abx_mega__cst_h2o__1,-1.1508280888,0.1739432252
abx_mega__tec_h2o__1,-3.5161231648999998,-0.6767263614
abx_mega__str_h2o__1,-1.2025030341,-1.031702481
abx_mega__ctx_h2o__1,-1.4624717474,0.14700628870000002
abx_mega__nal_naoh__2,-0.8291968348000001,-0.41701238430000004
abx_mega__phos_h2o__1,-1.7049007831,-0.1614027818
abx_mega__dmso-5__2,-1.9288003969,0.3006681781
abx_mega__polmyx_h2o__1,-1.7248211426000002,-0.0815327794
abx_mega__h2o-8b__1,-1.6057920010000002,0.0328928135
abx_mega__h2o-6__1,-0.2645882752,-0.10642851340000001
abx_mega__thio_dmso__1,-1.1660500472,0.6464433037
abx_mega__phos_h2o__2,-0.6510956410000001,-0.0005954383
abx_mega__ctx_h2o__2,-2.2755050333,-0.7840740106
abx_mega__lzd_dmso__1,1.6494300904,0.7946358242
abx_mega__naoh-9__1,-0.0948062004,-0.3573271824
abx_mega__dox_dmso__1,1.0274029909,1.536242647
abx_mega__phos_ethanol__1,0.9599052035000001,-0.206662584
abx_mega__teix_dmso__1,-7.2177108395,0.48643795360000003
abx_mega__dmso-10__1,1.9362875984,-0.5867027299
abx_mega__van_dmso__1,-5.8123128202,1.5495831874000001
abx_mega__ramo_h2o__1,-3.0588131681,0.5062316505
abx_mega__tec_h2o__2,-1.2849533906000001,0.2590986018
abx_mega__h2o-7__1,-2.3009990447,0.0087843152
abx_mega__cro_h2o__1,-2.1579107591,-0.3992162387
abx_mega__tric_ethanol__1,-5.6166693026,0.8313039999
abx_mega__nor_naoh__1,-2.4904065514,-0.45174707410000003
