,ybhQ
Cr_1,0.0037131897968736742
Cr_2,0.009061752572038891
Cr_3,0.012995973716406622
Cr_4,0.0178318238665963
Cr_5,0.02025972728677427
Cr_6,0.019183908213378717
Fe_1,-0.0018311271900400728
Fe_2,-0.001226292452568126
Fe_3,-0.00025058233879781707
Fe_4,-0.004597420843273665
Fe_5,-0.007184351795289343
Fe_6,-0.007251964682460769
Cd_1,-0.0022143317907558553
Cd_2,-0.0005374770399553939
Cd_3,0.00018235579965597329
Cd_4,0.0013681904043320293
Cd_5,-0.002374178895016063
Cd_6,0.0006745295504824152
Zn_1,0.0045015599991883905
Zn_2,0.000303527214683788
Zn_3,-0.0096534207482483
Zn_4,-0.019689065140987
Zn_5,-0.02906753820828905
Zn_6,-0.03390131611728051
Cu_1,-0.00045793255567402717
Cu_2,0.0025964342133353263
Cu_3,0.01355358446228645
Cu_4,0.024824922866460444
Cu_5,0.03909644789132752
Cu_6,0.05281840092910957
Pb_1,-0.0017473366933537173
Pb_2,0.0032182401515067987
Pb_3,0.0058581415320162825
Pb_4,0.010266324694119785
Pb_5,0.017586373012166232
Pb_6,0.032546599098749004
