,new_3893312_3893440
M9exp_1,8.8588
M9exp_2,8.3937
M9exp_3,7.0402
M9tran_1,7.2970000000000015
M9tran_2,7.3782
M9tran_3,7.1016
M9stat_1,14.3411
M9stat_2,11.7989
M9stat_3,11.6034
MG-0.1_1,7.5251
MG-0.1_2,6.6187
MG-0.1_3,7.2818
MG-0.2_2,6.8103
MG-0.2_3,7.3281
MG+5_1,7.4836
MG+5_2,6.6806
MG+5_3,7.4549
MG+10_1,7.3812
MG+10_2,6.9399
MG+10_3,7.7985
MG+15_1,7.5781
MG+15_2,7.4879
MG+15_3,7.0849
MG+25_1,7.2992
MG+25_2,6.8411
MG+25_3,7.0993
MG+45_1,7.0966
MG+45_2,7.1645
MG+45_3,6.9338
MG+60_2,7.2918
MG+60_3,7.4941
MG+90_2,6.5027
MG+90_3,6.71
MG+120_1,7.2507
MG+120_2,6.9977
MG+120_3,6.8449
MG+150_1,7.2839
MG+150_3,7.1394
GM-0.1_1,7.4439
GM-0.1_2,6.7139
GM-0.1_3,7.4809
GM-0.2_1,8.0227
GM-0.2_2,7.5718
GM-0.2_3,6.6397
GM+5_1,7.3156
GM+5_2,6.8053
GM+5_3,6.994
GM+10_2,6.6273
GM+10_3,6.6994
GM+15_1,7.4139
GM+15_2,7.3162
GM+15_3,7.1392
GM+25_1,7.8521
GM+25_2,6.9588
GM+25_3,7.3222
GM+45_1,7.5958
GM+45_2,6.4416
GM+45_3,7.8763
GM+60_1,7.4105
GM+60_2,7.3122
GM+60_3,7.8007
GM+90_1,7.5929
GM+90_2,7.8059
GM+90_3,7.6294
GM+120_1,8.033999999999999
GM+120_3,8.0649
GM+150_1,7.5567
GM+150_2,7.2819
GM+150_3,7.1957
BT_1,15.8451
BT_2,14.0218
B36_1,16.2025
B36_2,16.1017
B60_1,15.4442
B60_2,15.6151
S0_1,6.5234
S0_2,7.1754
S0_3,7.1833
S1_1,6.9724
S1_2,7.0669
S1_3,6.8677
S2_1,9.6401
S2_2,10.0999
S2_3,9.6958
S3_1,16.0965
S3_2,15.9905
S4_1,16.185
S4_2,16.3286
S4_3,16.4084
S5_1,16.3548
S5_2,16.1411
S5_3,16.3971
S6_1,16.3731
S6_2,15.4907
S6_3,15.2923
S6/t_1,16.4219
S6/t_2,14.8269
S6_4,15.6619
S6_5,16.3135
S6_6,16.3433
S7_4,16.0758
S7_5,16.3135
S7_6,15.9636
S8_4,15.7149
S8_5,15.6051
G135_1,7.5269
G135_3,7.4957
G150_1,7.4502
G150_2,7.3482
