,gyrB
Cr_1,-0.00255802517774516
Cr_2,-0.005308979312926208
Cr_3,-0.008365983443047174
Cr_4,-0.01230130770351512
Cr_5,-0.015210064479001128
Cr_6,-0.01912443032585132
Fe_1,-0.010697850082394876
Fe_2,-0.017958064291746647
Fe_3,-0.03483650639736522
Fe_4,-0.05657319799976921
Fe_5,-0.07524131071271979
Fe_6,-0.08576565908707116
Cd_1,0.0016192414543694776
Cd_2,0.00510198007882004
Cd_3,0.008380039123994444
Cd_4,0.011669539984145114
Cd_5,0.012725835053445985
Cd_6,0.01956034304615532
Zn_1,0.0019442132758240261
Zn_2,-0.0006601033107909428
Zn_3,0.0007525157706798601
Zn_4,0.003984371822745432
Zn_5,0.007451404689303162
Zn_6,0.005643091273139625
Cu_1,0.006800138047239335
Cu_2,0.012425602724683424
Cu_3,0.013403336311865223
Cu_4,0.018477316465275128
Cu_5,0.01946733436054129
Cu_6,0.021372705524658992
Pb_1,0.004568750494228907
Pb_2,0.008158172428245644
Pb_3,0.01777976289856243
Pb_4,0.02194885165821094
Pb_5,0.02425777098681468
Pb_6,0.03156971582659441
