,priC
Cr_1,-0.011213409083986707
Cr_2,-0.013002176222841187
Cr_3,-0.018963840817809004
Cr_4,-0.02525871684635336
Cr_5,-0.014487372563565524
Cr_6,-0.008688630285974573
Fe_1,-0.020621775961069358
Fe_2,-0.01103686260537047
Fe_3,0.007630917772886845
Fe_4,0.031722243116205945
Fe_5,0.05176426579628779
Fe_6,0.0516846680770158
Cd_1,0.013836279202583264
Cd_2,0.02268316359252524
Cd_3,0.03985384692772875
Cd_4,0.04905891444469655
Cd_5,0.05722986407706849
Cd_6,0.06794153029329662
Zn_1,-0.041755821647484516
Zn_2,-0.027548396594682605
Zn_3,-0.007573298098626734
Zn_4,-0.061973811450060576
Zn_5,-0.08897589332982432
Zn_6,-0.08982131999516382
Cu_1,0.02772047581057337
Cu_2,0.04392884329630875
Cu_3,0.034246988392130966
Cu_4,0.030587342990621536
Cu_5,0.03253484141968194
Cu_6,0.037060242196140125
Pb_1,0.012578313361077308
Pb_2,0.005845879778847849
Pb_3,-0.0032378110576124874
Pb_4,-0.004289364811431056
Pb_5,0.0005004841646073634
Pb_6,0.010730800132172194
