,ycjG
Cr_1,-0.00046500408876656846
Cr_2,0.007079676078073463
Cr_3,0.021459954752402647
Cr_4,0.024612969866777808
Cr_5,0.0223491073607849
Cr_6,0.003699105270468054
Fe_1,-0.027563231231582986
Fe_2,-0.05644493023973405
Fe_3,-0.0867756578600787
Fe_4,-0.08775931410025949
Fe_5,-0.08661446593739522
Fe_6,-0.06626923023230732
Cd_1,-0.0003094007686321767
Cd_2,0.0009784797018382377
Cd_3,-0.0014285434572196437
Cd_4,0.010309295485232198
Cd_5,0.010852549374580592
Cd_6,0.003443846829651645
Zn_1,-0.007652667618160367
Zn_2,-0.0072101713427930375
Zn_3,0.0027359814041966997
Zn_4,0.023824190704859742
Zn_5,0.04317470052378889
Zn_6,0.09478002950722916
Cu_1,0.017990444588945206
Cu_2,0.04106946299052177
Cu_3,0.06115280056552504
Cu_4,0.08097831010390645
Cu_5,0.09505227613742613
Cu_6,0.11115397285174547
Pb_1,0.003890984373582276
Pb_2,0.00948894873762197
Pb_3,0.009845606619769636
Pb_4,0.02508190612656617
Pb_5,0.0427191816391142
Pb_6,0.04930856269176225
