locus,gene_weight,gene_name,gene_product,cog,operon,regulator,BfmR,link
ABUW_1487,0.3397748057,ABUW_1487,CsuA/B,Function unknown,Op767,"BfmR,AbaM",True,
ABUW_1490,0.25829258520000004,ABUW_1490,CsuC,Cell motility,Op768,"GacA,BfmR,AbaM",True,
ABUW_1488,0.2503131973,ABUW_1488,CsuA,Function unknown,Op768,"BfmR,AbaM",True,
ABUW_1491,0.2379157177,ABUW_1491,CsuD,Cell motility,Op768,"BfmR,AbaM",True,
ABUW_1489,0.2332990665,ABUW_1489,CsuB,Function unknown,Op768,"BfmR,GacA,AbaM",True,
ABUW_1492,0.2071699303,ABUW_1492,CsuE,Function unknown,Op768,"BfmR,AbaM",True,
