,A,BfmR
R2,,0.06058122950432843
xmin,,-2.4438248545
xmid,,0.8360195010365474
xmax,,2.188209214
ystart,,-0.49371997717989835
yend,,7.075835189467671
AB0057_PGcoculture__PGAB__1.0,0.9795870477,2.1398973964
AB0057_PGcoculture__PGAB__2.0,0.4984476457,1.2270503558
AB0057_PGcoculture__PGAB__3.0,13.0207448154,2.188209214
AB0057_PGcoculture__AB __1.0,0.3372067762,-0.1413260416
AB0057_PGcoculture__AB __2.0,-0.2674679712,-0.0069220597
AB0057_PGcoculture__AB __3.0,-0.3991225034,0.08962017900000001
AB0057_PGcoculture__AB __4.0,0.3293836983,0.0586279223
AB0057_PGcoculture__ABPG__1.0,2.7848292775,-0.781578878
AB0057_PGcoculture__ABPG__2.0,2.9863309028,-0.8495349328
AB0057_PGcoculture__ABPG__3.0,0.4326673126,-0.0351928289
AB0057_PGcoculture__ABPG__4.0,2.198217876,-0.6375417280000001
AB5075_AZI__AZI_000__1.0,-0.1973172374,0.034408371800000004
AB5075_AZI__preculture__1.0,2.6201819754,0.7259505352000001
AB5075_AZI__preculture__2.0,2.3374887529,0.6198843188000001
AB5075_AZI__AZI_040__1.0,0.6538822819,-1.7877670329000002
AB5075_AZI__AZI_028__1.0,2.4609424812,-0.0004429173
AB5075_AZI__AZI_003__1.0,-0.4017036404,-0.1631466192
AB5075_AZI__AZI_000__2.0,0.1973172374,-0.034408371800000004
AB5075_AZI__AZI_040__2.0,0.5978484043,-1.7514656098999999
AB5075_AZI__AZI_028__2.0,1.8271009434,-0.0509441452
AB5075_AZI__AZI_003__2.0,-0.5523279235,-0.0120967377
AB5075_VIR-O_AV-T__AV-T/vector__1.0,-2.5013561287,-0.9496249545000001
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,1.3551780322,-0.5971855056
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,0.1545804675,0.2494153299
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,-1.5097584997,0.3477701757
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,-0.1600515917,-1.249169119
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,-1.6029320088999999,-0.8160113784
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,0.0473447696,-0.5201006417
AB5075_VIR-O_AV-T__AV-T/vector__2.0,-0.32874607380000004,-0.5282748057000001
AB5075_VIR-O_AV-T__AV-T/vector__3.0,-0.0651019619,-0.8021365401
AB5075_VIR-O_LSO__VIR-O__1.0,-0.0972321781,0.0854102892
AB5075_VIR-O_LSO__LSO__1.0,-2.2046690205,0.3278302457
AB5075_VIR-O_LSO__VIR-O__2.0,0.9826515335,-0.0254512002
AB5075_VIR-O_LSO__LSO__2.0,-2.5911675559000003,-0.0517171711
AB5075_VIR-O_LSO__VIR-O__3.0,-0.8854193554,-0.05995908900000001
AB5075_VIR-O_LSO__LSO__3.0,0.09847030550000001,0.49700018020000003
AB5075_Zinc__Control__1.0,3.4048222278,0.1188119743
AB5075_Zinc__Control__2.0,-4.1269310265,-0.07785166040000001
AB5075_Zinc__Control__3.0,0.7221087986,-0.0409603139
AB5075_Zinc__Zinc__1.0,3.3614969996,-0.6657476251000001
AB5075_Zinc__Zinc__2.0,-13.4867617375,-0.6979613450000001
AB5075_biofilm+abx__planktonic__1.0,-11.3134310998,0.5751784955
AB5075_biofilm+abx__planktonic__2.0,5.0554984904,0.0016840834
AB5075_biofilm+abx__biofilm__1.0,9.2275779055,-1.9632310351000002
AB5075_biofilm+abx__planktonic__3.0,6.2579326094,-0.5768625789
AB5075_biofilm+abx__biofilm__2.0,-2.5478030474,-2.2594045312
AB5075_biofilm+abx__biofilm__3.0,-1.5454377175,-1.4263867055000001
AB5075_biofilm+abx__cip_biofilm__1.0,11.5263056868,-0.2936369383
AB5075_biofilm+abx__cip_biofilm__2.0,5.1908883134,-1.0188666776
AB5075_biofilm+abx__tet_biofilm__1.0,-5.2025617557,-2.0131576534
AB5075_biofilm+abx__cip_biofilm__3.0,1.9420616089,-0.43577130300000005
AB5075_biofilm+abx__tet_biofilm__2.0,-5.9200043013,-2.4438248545
AB5075_biofilm+abx__tet_biofilm__3.0,5.0498985553,-1.8807047276
AB5075_gigAB__kan_gigB__1.0,-0.9378550979,-0.6032759796
AB5075_gigAB__kan_gigB__2.0,-2.5656473888,-0.3004181098
AB5075_gigAB__kan_gigB__3.0,-1.896974496,-0.5752008862
AB5075_gigAB__gigB__1.0,1.4616790154000001,-0.7970866261
AB5075_gigAB__gigB__2.0,0.5126838066,-1.2375093244
AB5075_gigAB__gigB__3.0,0.6109036044,-1.4655952622
AB5075_gigAB__kan_gigA__1.0,-0.38790314670000003,-0.3976907404
AB5075_gigAB__kan_gigA__2.0,-0.046634634800000005,-0.6183663664
AB5075_gigAB__kan_gigA__3.0,-3.0134444468,-0.9187482739
AB5075_gigAB__gigA__1.0,1.0611693553000001,-2.0729386617
AB5075_gigAB__gigA__2.0,1.8946059752000002,-2.0878522685
AB5075_gigAB__gigA__3.0,1.8357376913,-2.0573510884
AB5075_gigAB__kan_WT__1.0,-1.2041297163,0.5080227599
AB5075_gigAB__kan_WT__2.0,-1.6482275307,0.5225179082
AB5075_gigAB__kan_WT__3.0,-2.4361686302,0.6794674756
AB5075_gigAB__WT__1.0,-0.30638634330000003,-0.0393567121
AB5075_gigAB__WT__2.0,0.18953276630000002,0.0764364902
AB5075_gigAB__WT__3.0,0.11685357700000001,-0.0370797781
AB5075_med__CA-MHB__1.0,0.0324727644,0.3873513443
AB5075_med__CA-MHB__2.0,-2.2410698971,0.5722324715
AB5075_med__CA-MHB_pH6__1.0,-1.0028349284,0.1372648944
AB5075_med__CA-MHB_pH6__2.0,-4.9901637923,0.1367224937
AB5075_med__RPMI+_pH7__1.0,-3.6123803648,-0.577736718
AB5075_med__RPMI+_pH7__2.0,-6.9306974357,-0.4166371351
AB5075_med__RPMI+_pH6__1.0,-6.0979557893,-0.5049069658
AB5075_med__RPMI+_pH6__2.0,-0.6401421395,0.5328420547
AB5075_med__RPMI+_-HCO3__1.0,-1.3075515324,0.5601230461
AB5075_med__RPMI+_-HCO3__2.0,-0.2602903706,0.5188480446
AB5075_med__LB__1.0,-0.0807312666,0.0015296794
AB5075_med__LB__2.0,0.0807312666,-0.0015296794
AB5075_med__M9+AA__1.0,0.9258414657,0.3519569832
AB5075_med__M9+AA__2.0,-0.9524838752,0.5013815052
AB5075_med__M9-AA__1.0,0.1117783611,0.5315841174
AB5075_med__M9-AA__2.0,-1.3367934914,0.4716286839
AYE_adeB__WT__1.0,0.3670120099,-0.1737826462
AYE_adeB__WT__2.0,-0.1350748461,-0.0900440361
AYE_adeB__WT__3.0,-0.2319371638,0.2638266823
AYE_adeB__adeB__1.0,0.9883047127000001,0.8679415957000001
AYE_adeB__adeB__2.0,3.4118868086,0.3968427425
AYE_adeB__adeB__3.0,2.9342483463,0.3632922299
COL__0ug/ml__1.0,1.2015176281,-0.619827007
COL__0ug/ml__2.0,-1.2015176281,0.619827007
COL__0.25ug/ml__1.0,0.0649834482,0.587555107
COL__0.25ug/ml__2.0,1.7890449349000002,0.08084503300000001
COL__1ug/ml__1.0,-0.24527346090000002,0.705382897
COL__1ug/ml__2.0,-1.6461988712,0.718266407
H2O2__0ug/ml__1.0,0.1678984051,0.45848933890000004
H2O2__0ug/ml__2.0,-0.1678984051,-0.45848933890000004
H2O2__1.25ug/ml__1.0,-1.8116065312,0.13896587870000002
H2O2__1.25ug/ml__2.0,-1.983676783,-0.5929236151
H2O2__2.5ug/ml__1.0,-1.3729840786,-0.0559742997
H2O2__2.5ug/ml__2.0,-2.3358152691000003,-0.5073257371000001
H2O2__5ug/ml__1.0,-5.0592196814,-0.4422071343
H2O2__5ug/ml__2.0,-5.2437623773,-0.4512705577
MRP__0ug/ml__1.0,0.0875123389,0.7578466451
