,wcaJ
Cr_1,0.002604584042997348
Cr_2,-0.003793780955432197
Cr_3,-0.0096032811969869
Cr_4,-0.014087279977320719
Cr_5,-0.018221087129559558
Cr_6,-0.027359009152986332
Fe_1,-0.03033085532488714
Fe_2,-0.06149664463701045
Fe_3,-0.07501487780859767
Fe_4,-0.08741005019806627
Fe_5,-0.08890191261807627
Fe_6,-0.08651738721010302
Cd_1,0.0026113984961639285
Cd_2,0.007292353282726344
Cd_3,0.014445623626591691
Cd_4,0.019264638727833468
Cd_5,0.02101743214601666
Cd_6,0.026627383424575785
Zn_1,0.060489915378119125
Zn_2,0.06278461121091762
Zn_3,0.03672969768657478
Zn_4,0.13845555392739614
Zn_5,0.17928988789120587
Zn_6,0.21122817213816397
Cu_1,0.005447120101849582
Cu_2,0.008023551501526815
Cu_3,0.014402360411118838
Cu_4,0.014945616538367913
Cu_5,0.02904907798879897
Cu_6,0.032310827379651304
Pb_1,-0.008035241729555024
Pb_2,-0.005191021561627265
Pb_3,0.011399354478877893
Pb_4,0.009415824910038782
Pb_5,0.012961894277494702
Pb_6,0.013224793304550566
