,zupT
Cr_1,0.0030591607047262635
Cr_2,0.005117236175861558
Cr_3,0.005497871390233071
Cr_4,-0.0013202927889133088
Cr_5,-0.0036759299207511273
Cr_6,-0.006029345524259071
Fe_1,0.0022799928467898637
Fe_2,0.010830822889420768
Fe_3,0.018137432731900324
Fe_4,0.015989404997727247
Fe_5,0.02147416122529197
Fe_6,0.02557827746643135
Cd_1,0.0028432447890734468
Cd_2,0.006375089404534597
Cd_3,0.010838389318913856
Cd_4,0.013467600830742171
Cd_5,0.014041449544389632
Cd_6,0.022193963619297086
Zn_1,-0.0014757477924657466
Zn_2,0.010901823515483858
Zn_3,0.031589417751937486
Zn_4,0.059729926843826275
Zn_5,0.08970491665457657
Zn_6,0.11487965284190657
Cu_1,0.004483500688339283
Cu_2,0.015044743005853276
Cu_3,0.021554768011902342
Cu_4,0.03181263172861375
Cu_5,0.049292889702878255
Cu_6,0.06804541914961097
Pb_1,0.006627390378535361
Pb_2,0.016385129154272118
Pb_3,0.025735505185488915
Pb_4,0.030553413239043974
Pb_5,0.032925554297164136
Pb_6,0.03118334946829392
