,yhaK
Cr_1,0.0021414097603254228
Cr_2,0.0034142067876209697
Cr_3,0.008000404364683869
Cr_4,0.01262996677194256
Cr_5,0.018194574774278764
Cr_6,0.023015836693735636
Fe_1,0.005129412851522884
Fe_2,0.005424660389358453
Fe_3,0.013145468569288169
Fe_4,0.01811556824114953
Fe_5,0.018647166287944928
Fe_6,0.0008326459128220237
Cd_1,0.0036827267521321438
Cd_2,0.008759474951549415
Cd_3,0.013346852149449868
Cd_4,0.01438778619777269
Cd_5,0.010606979293545676
Cd_6,0.012793141733374931
Zn_1,0.017273790203805345
Zn_2,0.032440217239251244
Zn_3,0.0420817613341025
Zn_4,0.057790101106893886
Zn_5,0.08256214101772084
Zn_6,0.11114961690227956
Cu_1,-0.0013060115292547626
Cu_2,-0.0005103888761499464
Cu_3,0.009781416795644787
Cu_4,0.017344057500379942
Cu_5,0.02904479126219565
Cu_6,0.040268569698209834
Pb_1,-2.642351435800663e-05
Pb_2,0.005517974429425479
Pb_3,0.01036576052577096
Pb_4,0.015796959443566082
Pb_5,0.022963400359149923
Pb_6,0.03212273136110273
