,argP
Cr_1,0.002863335859203061
Cr_2,0.0063274678720059326
Cr_3,0.018663133078879443
Cr_4,0.022645311850919992
Cr_5,0.03214536828471048
Cr_6,0.040099834875555164
Fe_1,-0.01453000390369396
Fe_2,-0.0293254365551381
Fe_3,-0.03351095747405132
Fe_4,-0.03479407514458488
Fe_5,-0.029101715643073338
Fe_6,-0.01669835339569567
Cd_1,-0.0054914358016521095
Cd_2,-0.00838483644413837
Cd_3,-0.007052323363066142
Cd_4,-0.000925208022105691
Cd_5,0.00329689497297953
Cd_6,0.01393631875441366
Zn_1,0.005510677353351388
Zn_2,-0.003131686558102112
Zn_3,0.002000076104281895
Zn_4,0.002044072789748048
Zn_5,0.007292128013497305
Zn_6,0.01989698703119468
Cu_1,0.002452030404739538
Cu_2,0.008143633261776775
Cu_3,0.011957400766586957
Cu_4,0.01268648065206544
Cu_5,0.0208125788016988
Cu_6,0.03800436388492359
Pb_1,0.001037108507576242
Pb_2,0.009092810867528778
Pb_3,0.01765415794106936
Pb_4,0.013208910655030964
Pb_5,0.010792515316937978
Pb_6,0.01454160369723111
