,Value,list
TF,arcA,
reg_genes,454,"['lspA' 'astA' 'ypdA' 'yqcC' 'mntH' 'caiB' 'ugpE' 'hybB' 'ddpB' 'mhpF'
 'hisM' 'feoC' 'phnJ' 'nuoB' 'dppF' 'rmf' 'infA' 'uxaC' 'yeiQ' 'citB'
 'fabD' 'fdoI' 'pepQ' 'betA' 'fsaA' 'rhlB' 'sucC' 'phnN' 'mhpE' 'citA'
 'rstB' 'rimP' 'rplD' 'rpsS' 'dhaM' 'pldA' 'feaB' 'putA' 'clpS' 'acnB'
 'leuD' 'dhaR' 'ybiU' 'gatZ' 'puuC' 'rhaT' 'mhpD' 'trmJ' 'gabT' 'yecJ'
 'rutE' 'paaK' 'ndh' 'rutB' 'caiA' 'mhpA' 'potH' 'nrfC' 'thiC' 'ileS'
 'ddpA' 'cadB' 'yjiR' 'infB' 'putP' 'ompC' 'nrfG' 'phnC' 'dppB' 'ddpC'
 'gsiA' 'yhjE' 'hyaA' 'plsX' 'ribF' 'gapA' 'ybhK' 'ypdC' 'ybfA' 'iaaA'
 'rpsU' 'moeA' 'rpmB' 'rutD' 'ddpX' 'fabR' 'treB' 'rpmF' 'gatA' 'feoB'
 'grcA' 'nuoG' 'phnL' 'hybA' 'mutM' 'gatY' 'fiu' 'pncB' 'cydB' 'moeB'
 'hemG' 'yncE' 'rpsC' 'rutC' 'carA' 'yeaD' 'yieE' 'cydD' 'thrC' 'thiF'
 'xthA' 'fumB' 'rpsQ' 'ycjG' 'glcF' 'dnaG' 'dppA' 'icd' 'phnD' 'aceK'
 'mglC' 'leuA' 'puuE' 'glcD' 'gsiD' 'trxA' 'thiH' 'rplC' 'yigF' 'puuR'
 'lhgO' 'gatD' 'cirA' 'moaE' 'flhD' 'ompW' 'hcaF' 'moaA' 'caiT' 'nuoK'
 'betT' 'ugpQ' 'gltA' 'hcaB' 'nlpI' 'gltB' 'hybO' 'rplP' 'nudJ' 'nuoM'
 'fadB' 'cbdA' 'rutA' 'recF' 'cyoE' 'dnaN' 'mdh' 'glpE' 'gadE' 'rho'
 'nuoC' 'gabP' 'appA' 'nepI' 'nrfE' 'yqcA' 'rpoS' 'avtA' 'hyaF' 'gabD'
 'macA' 'hybF' 'phnI' 'hybD' 'feaR' 'hisJ' 'hybC' 'rimO' 'sucA' 'focA'
 'acpP' 'dsbB' 'gadX' 'fadA' 'rpsJ' 'nrfD' 'hisP' 'gadW' 'prmC' 'glcB'
 'nuoF' 'rplY' 'yncD' 'fdoH' 'caiC' 'uspC' 'truC' 'rutR' 'appY' 'mglB'
 'yfiF' 'fadH' 'dppD' 'paaJ' 'yrfF' 'rstA' 'cadA' 'aer' 'pntB' 'hyaE'
 'paaH' 'ispH' 'nudE' 'phnM' 'fnr' 'fadE' 'puuP' 'rbfA' 'rpsO' 'gltF'
 'hyaD' 'gcvA' 'fabF' 'leuB' 'yhiI' 'rplW' 'pnp' 'pflB' 'yghW' 'rplB'
 'fadJ' 'xseA' 'tpx' 'yiaG' 'yfcZ' 'fdhE' 'hyaC' 'yecR' 'mglA' 'thiE'
 'fadL' 'nuoJ' 'prfA' 'paaE' 'paaA' 'uxaB' 'ddpF' 'ydeA' 'yceD' 'hyaB'
 'gltD' 'yceJ' 'fumC' 'nuoL' 'rnpA' 'nuoH' 'nupC' 'nuoI' 'ubiC' 'gsiB'
 'yigZ' 'cycA' 'flhC' 'rpoD' 'ybiY' 'rplU' 'actP' 'ptsG' 'dnaA' 'treC'
 'potI' 'mcbA' 'rpmC' 'hisQ' 'hcaD' 'acnA' 'yeiG' 'uvrA' 'rpmH' 'yccA'
 'paaG' 'truB' 'aldA' 'guaA' 'paaB' 'yeiB' 'dppC' 'guaB' 'cydA' 'ddpD'
 'cbdB' 'leuC' 'fumA' 'dcuB' 'thiG' 'argT' 'astE' 'astB' 'pntA' 'exuT'
 'phnP' 'nuoE' 'ybdN' 'fabG' 'yhhJ' 'moaC' 'manA' 'glcG' 'lldD' 'sodA'
 'nuoN' 'kdpB' 'caiD' 'hcaC' 'nrfA' 'aceE' 'phnO' 'phnF' 'rcsD' 'oppF'
 'secG' 'kdpC' 'rbbA' 'gsiC' 'gadA' 'thrA' 'kdpA' 'folE' 'csiD' 'ypdB'
 'potG' 'rpmG' 'rutF' 'dhaK' 'yjiJ' 'hcaE' 'uxaA' 'oppC' 'feoA' 'rcsB'
 'rluE' 'pck' 'oppB' 'ackA' 'fadD' 'puuB' 'yhgE' 'lldR' 'glpG' 'oppA'
 'sstT' 'rutG' 'acs' 'thiS' 'glcE' 'clpA' 'osmY' 'moaD' 'betB' 'mhpC'
 'yhjX' 'nusA' 'lacI' 'ybiW' 'dhaL' 'fadI' 'glcA' 'rpmA' 'trkH' 'ssb'
 'citC' 'rplV' 'yfbM' 'arcA' 'hcaR' 'yffR' 'aceF' 'astD' 'suhB' 'xylR'
 'yjcH' 'cspA' 'nrfB' 'thrB' 'aceA' 'gatB' 'glpC' 'paaC' 'fkpB' 'carB'
 'betI' 'ugpC' 'argR' 'pepN' 'rpsT' 'oppD' 'lpd' 'paaF' 'fabH' 'cydC'
 'mhpB' 'citF' 'macB' 'moaB' 'paaD' 'ubiA' 'ybjX' 'hybE' 'nuoA' 'sucB'
 'yceI' 'aceB' 'yhcC' 'yijD' 'argG' 'hybG' 'sucD' 'hemA' 'dcuA' 'potF'
 'yacH']"
comp_genes,50,"['lsrG' 'kefG' 'borD' 'yqeI' 'fixB' 'prpR' 'trxC' 'mntS' 'yeaC' 'pdhR'
 'dadX' 'ylaC' 'ydcI' 'gcd' 'ybjM' 'dadA' 'yqeJ']"
both_genes,33,"['dcuC' 'mhpR' 'sthA' 'sdhC' 'sdhB' 'dctA' 'glpB' 'glpD' 'lldP' 'puuD'
 'cyoA' 'ynaJ' 'phoH' 'msrB' 'puuA' 'kgtP' 'astC' 'ugpA' 'cyoC' 'cyoB'
 'ndk' 'yigI' 'sdhD' 'bssR' 'glpA' 'cyoD' 'mqo' 'ugpB' 'sdhA' 'glcC'
 'fdoG' 'ydgC' 'yejG']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,209,
comp_ops,40,
both_ops,25,
