,bfd
Cr_1,0.001141398715919924
Cr_2,0.003379725470164816
Cr_3,0.006602532683519444
Cr_4,0.009325882917166859
Cr_5,0.013953901225715978
Cr_6,0.019894997912271183
Fe_1,0.0012870971806081088
Fe_2,-0.006492262926089477
Fe_3,-0.022412028220747882
Fe_4,-0.04051225389654458
Fe_5,-0.05563043683832517
Fe_6,-0.07113614894512076
Cd_1,0.0048358396374724435
Cd_2,0.011240688628196195
Cd_3,0.017379928351851873
Cd_4,0.02290850651651123
Cd_5,0.02631873517709129
Cd_6,0.035082148647159465
Zn_1,-0.0010183948685166236
Zn_2,-0.0004889311511037256
Zn_3,0.018388424553079114
Zn_4,0.02822357418682378
Zn_5,0.027523245581166277
Zn_6,0.026182461046882058
Cu_1,0.0007688187698345043
Cu_2,0.006956878791376373
Cu_3,0.01989784689314733
Cu_4,0.02354960498337706
Cu_5,0.030213031127524718
Cu_6,0.03224780534749545
Pb_1,0.003043941621714193
Pb_2,0.013593202725757092
Pb_3,0.02662821611112466
Pb_4,0.033213357230580144
Pb_5,0.041770452922829014
Pb_6,0.0515018370841956
