gene_id,USA300HOU_RS04310
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,hypothetical protein
cog,<i> Not Available </i>
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN002805000"">AureoWiki</a>"
