,hisL
Cr_1,-0.005608815733186575
Cr_2,-0.00610311224601435
Cr_3,-0.00018568583903400245
Cr_4,0.0041317873789481156
Cr_5,0.017415781166689175
Cr_6,0.03570526367662818
Fe_1,-0.004581083736616042
Fe_2,-0.011770136386503522
Fe_3,-0.017231423416108112
Fe_4,-0.02146014306097651
Fe_5,-0.019200687392020275
Fe_6,-0.017242229272301308
Cd_1,-7.500428611625279e-05
Cd_2,0.001685515511803999
Cd_3,0.0029743363985311835
Cd_4,0.0031132675286682236
Cd_5,0.001374939434695846
Cd_6,0.003880042384323408
Zn_1,-0.004244806395192817
Zn_2,-0.005296828544579814
Zn_3,-0.0015076279424351975
Zn_4,0.00312739434438331
Zn_5,0.006758241731146732
Zn_6,0.008866471321433839
Cu_1,0.003867195093710603
Cu_2,0.009092775513201196
Cu_3,0.01061385495325454
Cu_4,0.015474351355237812
Cu_5,0.02215166622551518
Cu_6,0.02749997870092176
Pb_1,0.003407168884457784
Pb_2,0.0060747808146357435
Pb_3,0.009359199920426685
Pb_4,0.010280576837577764
Pb_5,0.011607258014980372
Pb_6,0.013630856082411873
