,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A
0,control__wt_glc,0.0,0.2816967985595519,2.0,0.0,-0.1991897165,1.0,0.1991897165,,,,,,,,
1,fur__wt_dpd,0.7446860796000001,0.21777229111224594,2.0,2.0,0.8986743434000001,3.0,0.5906978158,,,,,,,,
2,fur__wt_fe,-0.38954861760000004,0.0023404951614562253,2.0,4.0,-0.3912035976,5.0,-0.3878936376,,,,,,,,
3,fur__delfur_dpd,0.28544651275,0.20068384213750445,2.0,6.0,0.1435416071,7.0,0.4273514184,,,,,,,,
4,fur__delfur_fe2,-0.28236730695,0.023188582242820055,2.0,8.0,-0.29876411070000003,9.0,-0.2659705032,,,,,,,,
5,acid__wt_ph5,-0.27695719915,0.25461375048318546,2.0,10.0,-0.4569963087,11.0,-0.09691808960000001,,,,,,,,
6,acid__delgadx_ph5,0.1501286567,,1.0,12.0,0.1501286567,,,,,,,,,,
7,acid__delgadw_ph5,0.026138693650000003,0.22988053498403146,2.0,13.0,-0.1364113915,14.0,0.1886887788,,,,,,,,
8,acid__delgade_ph5,-0.31966106920000004,0.10795098835272239,2.0,15.0,-0.3959939451,16.0,-0.2433281933,,,,,,,,
9,oxidative__wt_pq,0.81249006585,0.1561406105662454,2.0,17.0,0.9228981504,18.0,0.7020819813,,,,,,,,
10,oxidative__deloxyr_pq,0.14446507535,0.21677493106880724,2.0,19.0,-0.008817948400000001,20.0,0.2977480991,,,,,,,,
11,oxidative__delsoxr_pq,-0.29555069105000004,0.2544801903158773,2.0,21.0,-0.47549535930000003,22.0,-0.1156060228,,,,,,,,
12,oxidative__delsoxs_pq,0.5412486051500001,0.15133928608410283,2.0,23.0,0.4342355697,24.0,0.6482616406,,,,,,,,
13,nac_ntrc__wt_csn,-0.30389616475000003,0.21770936829608323,2.0,25.0,-0.4578399354,26.0,-0.1499523941,,,,,,,,
14,nac_ntrc__wt_cytd,-0.029223931350000003,0.016904949532433385,2.0,27.0,-0.0172703269,28.0,-0.041177535800000005,,,,,,,,
15,nac_ntrc__wt_gln,0.28410569915,0.8635250679188602,2.0,29.0,-0.3264987321,30.0,0.8947101304,,,,,,,,
16,nac_ntrc__bw_delnac_csn,-1.84372482195,0.5185826194944376,2.0,31.0,-1.4770315351,32.0,-2.2104181088,,,,,,,,
17,nac_ntrc__bw_delnac_cytd,-2.2277909969,0.01351177213145585,2.0,33.0,-2.2373452626,34.0,-2.2182367312,,,,,,,,
18,nac_ntrc__bw_delnac_gln,-2.50842494515,0.4213580559219623,2.0,35.0,-2.2104798065,36.0,-2.8063700838,,,,,,,,
19,nac_ntrc__bw_delnac_nh4,-1.6388827191,0.3742677129413376,2.0,37.0,-1.3742354813,38.0,-1.9035299569,,,,,,,,
20,misc__wt_no_te,-0.026819786499999998,0.30763198881359904,2.0,39.0,0.19070887890000002,40.0,-0.2443484519,,,,,,,,
21,misc__bw_delcbl,-1.81099069355,0.2674239872692053,2.0,41.0,-2.0000880084,42.0,-1.6218933787,,,,,,,,
22,misc__bw_delfabr,-1.42871893035,0.15350781528053753,2.0,43.0,-1.3201725132,44.0,-1.5372653475,,,,,,,,
23,misc__bw_delfadr,-2.02521777605,0.11661504505957444,2.0,45.0,-2.1076770652,46.0,-1.9427584869,,,,,,,,
24,misc__nitr_031,-0.34765333730000003,,1.0,47.0,-0.34765333730000003,,,,,,,,,,
25,omics__wt_glu,-0.0980003911,0.07068860380058103,2.0,48.0,-0.1479847822,49.0,-0.048015999999999996,,,,,,,,
26,omics__wt_gly,0.09472316835,0.25909847299522054,2.0,50.0,-0.08848711890000001,51.0,0.2779334556,,,,,,,,
27,omics__wt_thr,4.3948809121500005,1.0049242700764514,2.0,52.0,5.1054696781,53.0,3.6842921462,,,,,,,,
28,omics__bw_ac,-1.4969815202499999,0.1341406236987797,2.0,54.0,-1.4021297756,55.0,-1.5918332649,,,,,,,,
29,omics__bw_fum,-0.8398239218000001,0.14182865200601466,2.0,56.0,-0.7395359202,57.0,-0.9401119234,,,,,,,,
30,omics__bw_glc,-1.7325113702000001,0.10551200071197864,2.0,58.0,-1.8071196214,59.0,-1.6579031190000002,,,,,,,,
31,omics__bw_pyr,-1.24037575835,0.19180917473653605,2.0,60.0,-1.1047461902,61.0,-1.3760053265,,,,,,,,
32,ompr__wt_nacl,1.39348879485,0.3330317027293135,2.0,62.0,1.1579998195,63.0,1.6289777702000001,,,,,,,,
33,ompr__bw_delompr_nacl,-0.36412242240000003,0.21059574658599392,2.0,64.0,-0.2152087419,65.0,-0.5130361029,,,,,,,,
34,minspan__wt_ade,-0.40369574820000004,,1.0,66.0,-0.40369574820000004,,,,,,,,,,
35,minspan__wt_glc,-0.8907756757666666,0.7493231836642897,3.0,67.0,-0.7854380846,68.0,-0.1996950327,69.0,-1.68719391,,,,,,
36,minspan__wt_glc_anaero,-0.8674430507,1.198942097510928,2.0,70.0,-0.0196629633,71.0,-1.7152231381,,,,,,,,
37,minspan__wt_trp,0.0502728838,,1.0,72.0,0.0502728838,,,,,,,,,,
38,minspan__bw_delcra_glc,-1.3855618826,,1.0,73.0,-1.3855618826,,,,,,,,,,
39,minspan__bw_delcra_trp,-1.492643773,,1.0,74.0,-1.492643773,,,,,,,,,,
40,minspan__bw_delmntr,-1.9271014565,,1.0,75.0,-1.9271014565,,,,,,,,,,
41,minspan__bw_delnac_ade,-1.6679333343,,1.0,76.0,-1.6679333343,,,,,,,,,,
42,minspan__bw_delnac_glc,-1.8733217423,,1.0,77.0,-1.8733217423,,,,,,,,,,
43,cra_crp__wt_ac,0.28610282470000004,0.1810866328917566,2.0,78.0,0.1580552386,79.0,0.41415041080000004,,,,,,,,
44,cra_crp__wt_fru,0.28518768215,0.020830786724012583,2.0,80.0,0.2704580916,81.0,0.2999172727,,,,,,,,
45,cra_crp__delcra_ac,0.0384847881,0.6131973444978314,2.0,82.0,0.4720807886,83.0,-0.3951112124,,,,,,,,
46,cra_crp__delcra_fru,-0.20412874445,0.47202175828369763,2.0,84.0,0.12964104170000001,85.0,-0.5378985306,,,,,,,,
47,cra_crp__delcra_glc,-0.23161938095,0.11447550936248888,2.0,86.0,-0.3125657899,87.0,-0.15067297200000002,,,,,,,,
48,rpoB__wt_031,0.1902822458,,1.0,88.0,0.1902822458,,,,,,,,,,
49,rpoB__wt_044,0.033094515500000005,,1.0,89.0,0.033094515500000005,,,,,,,,,,
50,rpoB__wt_lb,0.8974308149000001,0.0135330424691196,2.0,90.0,0.907000121,91.0,0.8878615088,,,,,,,,
51,rpoB__rpoBE546V_031,-0.3682388553,,1.0,92.0,-0.3682388553,,,,,,,,,,
52,rpoB__rpoBE546V_044,-0.043790160200000004,,1.0,93.0,-0.043790160200000004,,,,,,,,,,
53,rpoB__rpoBE546V_lb,0.8583361593500001,0.4392880512739022,2.0,94.0,1.1689597193,95.0,0.5477125994,,,,,,,,
54,rpoB__rpoBE546V_glc,0.5007069684000001,,1.0,96.0,0.5007069684000001,,,,,,,,,,
55,rpoB__rpoBE672K_glc,-0.53616510545,0.7071167368964731,2.0,97.0,-1.0361721452,98.0,-0.0361580657,,,,,,,,
56,rpoB__rpoBE672K_lb,0.1068292757,0.12933997471574515,2.0,99.0,0.1982864489,100.0,0.0153721025,,,,,,,,
57,crp__wt_fru,-0.34776051280000003,,1.0,101.0,-0.34776051280000003,,,,,,,,,,
58,crp__wt_glyc,-0.8494329156,0.20634758495054845,2.0,102.0,-0.9953426922,103.0,-0.7035231390000001,,,,,,,,
59,crp__delar1_glyc,0.5001167059,0.17301446932061673,2.0,104.0,0.6224564104,105.0,0.37777700140000003,,,,,,,,
60,crp__delar1ar2_glyc,0.1307009785,0.18900173555621624,3.0,106.0,-0.0773611917,107.0,0.2917781506,108.0,0.17768597660000002,,,,,,
61,crp__delar2_glyc,0.7960028347666667,0.24581001548739675,3.0,109.0,0.5734984439,110.0,0.7546397926,111.0,1.0598702678,,,,,,
62,crp__delcrp_fru,-0.010263052433333327,0.21364430328127382,3.0,112.0,-0.1334804594,113.0,-0.1337407917,114.0,0.23643209380000002,,,,,,
63,crp__delcrp_glc,0.23451084813333334,0.38973026937587185,3.0,115.0,-0.051173622700000004,116.0,0.6784809139,117.0,0.07622525320000001,,,,,,
64,crp__delcrp_glyc,0.030913273066666674,0.34794815952773545,3.0,118.0,0.40825448950000004,119.0,-0.0382662204,120.0,-0.2772484499,,,,,,
65,glu__glu_ale3,0.4228610906,,1.0,121.0,0.4228610906,,,,,,,,,,
66,glu__glu_ale4,-0.078840807,,1.0,122.0,-0.078840807,,,,,,,,,,
67,glu__glu_ale5,-0.7147051668000001,,1.0,123.0,-0.7147051668000001,,,,,,,,,,
68,glu__glu_ale6,0.5293410705,,1.0,124.0,0.5293410705,,,,,,,,,,
69,glu__glu_ale8,-0.1726574179,,1.0,125.0,-0.1726574179,,,,,,,,,,
70,glu__glu_ale9,-0.2923006061,,1.0,126.0,-0.2923006061,,,,,,,,,,
71,glu__glu_ale10,-0.6906738382000001,,1.0,127.0,-0.6906738382000001,,,,,,,,,,
72,42c__wt_42c,-0.6268017401,,1.0,128.0,-0.6268017401,,,,,,,,,,
73,42c__42c_ale1,0.7366649128,,1.0,129.0,0.7366649128,,,,,,,,,,
74,42c__42c_ale2,0.3126451885,,1.0,130.0,0.3126451885,,,,,,,,,,
75,42c__42c_ale3,0.350345666,,1.0,131.0,0.350345666,,,,,,,,,,
76,42c__42c_ale4,0.8427393902,,1.0,132.0,0.8427393902,,,,,,,,,,
77,42c__42c_ale5,-0.22610933760000002,,1.0,133.0,-0.22610933760000002,,,,,,,,,,
78,42c__42c_ale6,1.2329846184,,1.0,134.0,1.2329846184,,,,,,,,,,
79,42c__42c_ale8,0.5397766655,,1.0,135.0,0.5397766655,,,,,,,,,,
80,42c__42c_ale9,-0.271735451,,1.0,136.0,-0.271735451,,,,,,,,,,
81,42c__42c_ale10,0.8549011860000001,,1.0,137.0,0.8549011860000001,,,,,,,,,,
82,ssw__wt_ac,1.0854607647,,1.0,138.0,1.0854607647,,,,,,,,,,
83,ssw__wt_glc,-0.730444729,,1.0,139.0,-0.730444729,,,,,,,,,,
84,ssw__wt_glyc,0.2513375276,,1.0,140.0,0.2513375276,,,,,,,,,,
85,ssw__wt_xyl,-0.9494728222000001,,1.0,141.0,-0.9494728222000001,,,,,,,,,,
86,ssw__glc_ale1,-0.7099580503,,1.0,142.0,-0.7099580503,,,,,,,,,,
87,ssw__glc_ale2,-0.0002478208,,1.0,143.0,-0.0002478208,,,,,,,,,,
88,ssw__glc_ale3,-0.48879903700000005,,1.0,144.0,-0.48879903700000005,,,,,,,,,,
89,ssw__glyc_ale1,-0.6003954355000001,,1.0,145.0,-0.6003954355000001,,,,,,,,,,
90,ssw__glyc_ale2,-0.4052237121,,1.0,146.0,-0.4052237121,,,,,,,,,,
91,ssw__xyl_ale1,3.0739630378,,1.0,147.0,3.0739630378,,,,,,,,,,
92,ssw__xyl_ale2,0.5699630889,,1.0,148.0,0.5699630889,,,,,,,,,,
93,ssw__xyl_ale3,2.1193928282,,1.0,149.0,2.1193928282,,,,,,,,,,
94,ssw__glc_ac_ac2,-0.19491432390000002,,1.0,150.0,-0.19491432390000002,,,,,,,,,,
95,ssw__glc_ac_glc1,1.3422110925,,1.0,151.0,1.3422110925,,,,,,,,,,
96,ssw__glc_glyc_glc,-0.3213578592,,1.0,152.0,-0.3213578592,,,,,,,,,,
97,ssw__glc_glyc_glyc,2.6146117663,,1.0,153.0,2.6146117663,,,,,,,,,,
98,ssw__glc_xyl_glc,-0.4119737867,,1.0,154.0,-0.4119737867,,,,,,,,,,
99,ssw__glc_xyl_xyl,0.9500419891,,1.0,155.0,0.9500419891,,,,,,,,,,
100,ica__wt_glc,-0.28382622051666667,0.3006827434104355,6.0,156.0,0.044501963900000004,157.0,-0.1237255699,158.0,-0.010082176200000001,159.0,-0.7200983715,180.0,-0.4357286886,181.0,-0.45782448080000004
101,ica__arg_sbt,1.20514455395,2.1218079370309164,2.0,160.0,2.7054893346,161.0,-0.2952002267,,,,,,,,
102,ica__cytd_rib,1.98024813145,1.1061970543366089,2.0,162.0,1.198048693,163.0,2.7624475699,,,,,,,,
103,ica__gth,0.37208134945000004,0.013204331790359083,2.0,164.0,0.38141822200000003,165.0,0.3627444769,,,,,,,,
104,ica__leu_glcr,-0.18780606455,0.2878607762867717,2.0,166.0,0.015742242400000002,167.0,-0.3913543715,,,,,,,,
105,ica__met_glc,0.16137867390000002,0.09069786191610649,2.0,168.0,0.22551174710000002,169.0,0.0972456007,,,,,,,,
106,ica__no3_anaero,-0.72112278115,0.8454918843329202,2.0,170.0,-0.1232697363,171.0,-1.318975826,,,,,,,,
107,ica__phe_acgam,-0.30409452810000004,0.11940569535808931,2.0,172.0,-0.2196619512,173.0,-0.38852710500000004,,,,,,,,
108,ica__thm_gal,0.5167062025,0.11392492681914701,2.0,174.0,0.4361491142,175.0,0.5972632908000001,,,,,,,,
109,ica__tyr_glcn,0.0621484354,0.06857008260992539,2.0,176.0,0.013662065000000001,177.0,0.1106348058,,,,,,,,
110,ica__ura_pyr,-0.30161521755,0.41100531374104865,2.0,178.0,-0.592239862,179.0,-0.0109905731,,,,,,,,
111,ica__bw_delpurR_cytd,-0.6372999525,0.5489142465140656,2.0,182.0,-1.0254409385,183.0,-0.2491589665,,,,,,,,
112,ica__ade_glc,-0.93462013255,0.7732838144084292,2.0,184.0,-0.3878259036,185.0,-1.4814143615,,,,,,,,
113,ytf__wt_glc,0.36714677120000005,0.04433170397177967,2.0,186.0,0.39849401970000004,187.0,0.3357995227,,,,,,,,
114,ytf__delyafC,-0.49123012904999996,0.04507762518768841,2.0,188.0,-0.4593554346,189.0,-0.5231048235,,,,,,,,
115,ytf__delyeiE,-0.88255775685,0.3663088607570092,2.0,190.0,-0.6235382774,191.0,-1.1415772363,,,,,,,,
116,ytf__delyiaJ,-0.09286813985,0.267362104536407,2.0,192.0,0.0961854173,193.0,-0.281921697,,,,,,,,
117,ytf__delyieP,-0.5007571167,0.158137332543131,2.0,194.0,-0.3889371365,195.0,-0.6125770969000001,,,,,,,,
118,ytf__wt_ph5,0.14555804860000002,0.32291153567619607,2.0,196.0,-0.082774888,197.0,0.3738909852,,,,,,,,
119,ytf__wt_ph8,-0.6427157678500001,0.1065083290866237,2.0,198.0,-0.7180285296000001,199.0,-0.5674030061,,,,,,,,
120,ytf__delybaO,-0.16562306095,0.5012341324958897,2.0,200.0,0.1888029931,201.0,-0.5200491150000001,,,,,,,,
121,ytf__delybaQ,-0.5560142886,0.14127977267077663,2.0,202.0,-0.4561144033,203.0,-0.6559141739000001,,,,,,,,
122,ytf__delybiH,-0.022311990699999992,0.2146514634540852,2.0,204.0,0.1294695147,205.0,-0.1740934961,,,,,,,,
