,A,RhaS,Crp
R2,,0.9478196415532322,0.0003873150590351093
xmin,,-2.226677481,-9.852476477
xmid,,4.390426233021907,
xmax,,10.324971899,1.6003325529999999
ystart,,0.13089009069056345,0.03547717162290143
yend,,24.590337332318313,2.3907922324501714
control__wt_glc__1,-0.1991897165,-0.228111788,0.012478646000000001
control__wt_glc__2,0.1991897165,0.228111788,-0.012478646000000001
fur__wt_dpd__1,0.8986743434000001,-0.147401839,0.077574131
fur__wt_dpd__2,0.5906978158,0.18324716700000002,-0.090682171
fur__wt_fe__1,-0.3912035976,-0.25099629300000004,-0.030513673
fur__wt_fe__2,-0.3878936376,-0.18575664900000002,0.05819072
fur__delfur_dpd__1,0.1435416071,-0.23689832400000002,-0.105981984
fur__delfur_dpd__2,0.4273514184,-0.146297633,-0.22346684100000003
fur__delfur_fe2__1,-0.29876411070000003,0.16824983200000002,0.436429913
fur__delfur_fe2__2,-0.2659705032,-0.34486365100000005,0.367563393
acid__wt_ph5__1,-0.4569963087,0.282871775,0.345522573
acid__wt_ph5__2,-0.09691808960000001,-0.336121732,0.343136463
acid__delgadx_ph5__2,0.1501286567,-0.148062721,0.33938771300000004
acid__delgadw_ph5__1,-0.1364113915,-0.162639259,0.383863793
acid__delgadw_ph5__2,0.1886887788,0.203635646,0.33986178300000003
acid__delgade_ph5__1,-0.3959939451,-0.214399097,0.43240872300000005
acid__delgade_ph5__2,-0.2433281933,-0.016616612,0.482436193
oxidative__wt_pq__1,0.9228981504,0.449308607,0.17662370300000002
oxidative__wt_pq__2,0.7020819813,0.573065924,0.24038529300000003
oxidative__deloxyr_pq__1,-0.008817948400000001,0.276300835,0.513155013
oxidative__deloxyr_pq__2,0.2977480991,0.380283702,0.536337303
oxidative__delsoxr_pq__1,-0.47549535930000003,-0.295918322,0.334672533
oxidative__delsoxr_pq__2,-0.1156060228,-0.065903369,0.387059873
oxidative__delsoxs_pq__1,0.4342355697,-0.075273408,0.513462963
oxidative__delsoxs_pq__2,0.6482616406,0.200484557,0.5104807530000001
nac_ntrc__wt_csn__1,-0.4578399354,0.31255709200000004,-0.07279683
nac_ntrc__wt_csn__2,-0.1499523941,0.42148511,-0.093243951
nac_ntrc__wt_cytd__1,-0.0172703269,0.16020815,-0.043119613
nac_ntrc__wt_cytd__2,-0.041177535800000005,0.16756859200000002,-0.07348926
nac_ntrc__wt_gln__1,-0.3264987321,0.201894327,0.16383650300000002
nac_ntrc__wt_gln__2,0.8947101304,0.186330078,0.11651884600000001
nac_ntrc__bw_delnac_csn__1,-1.4770315351,0.8659230550000001,0.16921202300000002
