sample,new_257545_257726
LBexp_1,9.7979
LBexp_2,9.7255
LBexp_3,9.3314
LBtran_1,8.6326
LBtran_2,8.9093
LBtran_3,9.1645
LBstat_1,9.1396
LBstat_2,9.2304
LBstat_3,8.9955
LBGexp_1,8.7923
LBGexp_2,8.853
LBGexp_3,9.4812
LBGtran_2,8.3867
LBGtran_3,8.3873
LBGstat_1,8.6821
LBGstat_2,9.1945
LBGstat_3,8.4862
S0_1,9.6199
S0_2,9.7188
S0_3,9.5861
S1_1,9.2136
S1_2,9.4974
S1_3,8.5355
S2_1,9.0999
S2_2,8.9182
S2_3,8.9453
S3_1,9.1985
S3_2,8.9138
S4_1,9.0818
S4_2,8.5627
S4_3,8.235
S5_1,8.4943
S5_2,8.8482
S5_3,8.5099
S6_1,8.3336
S6_2,8.0996
S6_3,8.3648
S6/t_1,8.4827
S6/t_2,8.1321
S6_4,8.291
S6_5,8.3497
S6_6,8.2994
S7_4,8.8871
S7_5,9.1276
S7_6,9.3437
S8_4,9.0177
S8_5,9.2736
G135_1,9.5115
G135_3,8.3679
G150_1,9.4585
G150_2,9.5206
G150_3,9.861
G180_1,9.1272
G180_2,9.714
G180_3,8.6077
C30_1,9.8939
C30_2,9.6564
C90_1,9.3503
C90_2,8.0888
BI_1,8.8768
BI_2,9.2689
BC_2,8.667
BC/t_1,8.4576
BC/t_2,9.2303
BC_1,8.6849
Sw_1,8.571
Sw_2,8.9572
BT_1,8.799
BT_2,8.3623
B36_1,8.475
B36_2,8.2192
B60_1,9.6781
B60_2,9.6245
M9exp_1,9.3218
M9exp_2,9.0856
M9exp_3,9.0693
M9tran_1,9.0886
M9tran_2,9.2286
M9tran_3,9.3873
M9stat_1,8.8303
M9stat_2,9.1279
M9stat_3,8.8956
M+G_1,10.1538
M+G_2,9.1184
M+G_3,9.145
Glu_1,9.6854
Glu_2,9.6328
Glu_3,9.6692
Fru_1,9.5777
Fru_2,10.0465
Fru_3,9.4074
Mal_1,9.0147
Mal_2,9.5141
Mal_3,9.8324
G+S_2,8.9547
G+S_3,9.4206
Pyr_1,9.0492
Pyr_2,9.1419
Pyr_3,9.3257
Gly_1,8.9789
Gly_2,9.4994
Gly_3,8.8014
Glucon_1,9.8341
Glucon_2,9.7288
Glucon_3,9.3645
aero_1,9.6405
aero_2,8.7491
aero_3,9.7673
nit_1,8.8967
nit_2,9.2229
nit_3,8.8503
ferm_1,9.0772
ferm_2,8.5212
ferm_3,9.2255
T-5.40H_1,9.6754
T-4.40H_1,9.374
T-3.40H_1,9.4166
T-2.40H_1,9.3532
T-1.40H_1,9.1708
T-1.10H_1,9.2824
T-0.40H_1,9.1698
T0.0H_1,9.5392
T0.30H_1,9.7347
T1.0H_1,9.4835
T1.30H_1,9.625
T2.0H_1,9.4004
T2.30H_1,9.8803
T3.0H_1,9.3253
T3.30H_1,9.5138
T4.0H_1,9.473
T5.0H_1,8.8822
HPh_1,9.5721
HPh_2,9.302
HPh_3,9.4253
LPh_1,9.3539
LPh_2,9.7891
LPh_3,9.5196
LPhT_1,8.4111
LPhT_2,8.4512
LPhT_3,8.8715
SMMPr_1,8.8987
SMMPr_2,9.196
SMMPr_3,9.525
HiTm_1,8.9721
HiTm_2,9.1174
HiTm_3,8.8502
LoTm_1,8.4355
LoTm_2,8.225
LoTm_3,8.1487
HiOs_1,8.6393
HiOs_2,8.6254
HiOs_3,8.6986
BMM_1,9.0229
BMM_2,8.736
BMM_3,9.2529
Heat_1,9.4628
Heat_2,9.2945
Heat_3,9.4884
Cold_1,9.1208
Cold_2,9.0253
Cold_3,8.5362
Etha_1,7.7356
Etha_2,8.0045
Etha_3,7.6402
SMM_1,9.34
SMM_2,9.316
SMM_3,9.207
Salt_1,8.8451
Salt_2,8.7191
Salt_3,8.7974
Mt0_1,9.5493
Mt0_3,9.7994
M0t45_1,9.1027
M0t45_2,9.7958
M0t45_3,9.911
M0t90_1,8.3502
M0t90_2,9.3116
M0t90_3,8.7589
M40t45_1,9.2624
M40t45_2,9.3524
M40t45_3,10.0423
M40t90_1,8.5123
M40t90_2,9.0143
M40t90_3,9.1776
dia0_1,9.2791
dia0_2,9.5465
dia0_3,9.624
dia5_1,8.6572
dia5_2,9.1309
dia5_3,9.1001
dia15_1,10.7657
dia15_2,10.7356
dia15_3,9.0192
Diami_1,8.6712
Diami_2,8.7227
Diami_3,8.9795
Paraq_1,9.4356
Paraq_2,9.4519
Paraq_3,8.8656
H2O2_1,10.532
H2O2_2,10.7134
H2O2_3,10.2569
Oxctl_1,9.2906
Oxctl_2,9.4617
Oxctl_3,9.7079
GM-0.1_1,8.7334
GM-0.2_1,8.7904
GM+5_1,8.8666
GM+15_1,8.6179
GM+25_1,9.2909
GM+45_1,8.7826
GM+60_1,8.8852
GM+90_1,8.8765
GM+120_1,8.447000000000001
GM+150_1,9.1424
GM-0.1_2,9.5961
GM-0.2_2,9.6222
GM+5_2,9.0692
GM+10_2,9.0725
GM+15_2,8.6961
GM+25_2,9.0489
GM+45_2,8.3
GM+60_2,8.2336
GM+90_2,9.0769
GM+150_2,8.4695
GM-0.1_3,9.5052
GM-0.2_3,9.1173
GM+5_3,9.2466
GM+10_3,8.3863
GM+15_3,8.6805
GM+25_3,8.7629
GM+45_3,8.7352
GM+60_3,8.5658
GM+90_3,9.3137
GM+120_3,9.325
GM+150_3,8.9227
MG-0.1_1,9.1398
MG+5_1,8.6835
MG+10_1,8.3882
MG+15_1,8.3417
MG+25_1,8.875
MG+45_1,8.9776
MG+120_1,8.7053
MG+150_1,9.4019
MG-0.1_2,8.8742
MG-0.2_2,9.4727
MG+5_2,7.9907
MG+10_2,8.3542
MG+15_2,9.0335
MG+25_2,8.5857
MG+45_2,8.4064
MG+60_2,9.0722
MG+90_2,8.2639
MG+120_2,8.9795
MG-0.1_3,9.7554
MG-0.2_3,9.5706
MG+5_3,8.5449
MG+10_3,8.3069
MG+15_3,9.0993
MG+25_3,9.2712
MG+45_3,9.6961
MG+60_3,9.0483
MG+90_3,9.3099
MG+120_3,9.2193
MG+150_3,9.5204
