,yjjY
Cr_1,0.006612226191807682
Cr_2,0.010107867494648705
Cr_3,0.014242049873278984
Cr_4,0.018108653755371948
Cr_5,0.024264635934933124
Cr_6,0.027896444667239246
Fe_1,-0.010912456922464965
Fe_2,-0.03405351813094281
Fe_3,-0.07851181930510748
Fe_4,-0.13296583609277646
Fe_5,-0.17626531698654804
Fe_6,-0.20727332147630906
Cd_1,0.0014684424700404269
Cd_2,0.006458977770688159
Cd_3,0.009580037625450665
Cd_4,0.0133123518017908
Cd_5,0.00997848836185011
Cd_6,0.01525784539883104
Zn_1,-0.004768818732017563
Zn_2,-0.009361021132578768
Zn_3,-0.010796609850139546
Zn_4,-0.006217337734645936
Zn_5,-0.004343567672674394
Zn_6,0.0013042845816626301
Cu_1,0.00509883709343227
Cu_2,0.008684796792183935
Cu_3,0.01828568799070918
Cu_4,0.02613906152647857
Cu_5,0.03000691152297695
Cu_6,0.0358217719650984
Pb_1,0.0005666593590973112
Pb_2,-0.0022957991007476943
Pb_3,0.001249138763168159
Pb_4,-0.0007533130181258927
Pb_5,0.007201477225238147
Pb_6,0.015059212712319955
