,ybhA
Cr_1,0.00105270616363013
Cr_2,0.012685857775419768
Cr_3,0.02243171249202336
Cr_4,0.020943192898127128
Cr_5,0.01720985321330793
Cr_6,0.013986389229488892
Fe_1,-0.012039530513576818
Fe_2,-0.013024867283394392
Fe_3,0.0036406285018454852
Fe_4,0.010552356275174786
Fe_5,0.016766871196076567
Fe_6,0.020605435001029914
Cd_1,0.0043314014138771395
Cd_2,0.0018152889112120051
Cd_3,0.0045049260816732856
Cd_4,0.012099118172108169
Cd_5,0.019306988924265547
Cd_6,0.02548548811875818
Zn_1,0.0018953029972061204
Zn_2,0.002914242597109798
Zn_3,0.011136143411001586
Zn_4,0.005925567416318421
Zn_5,0.0046575441354536435
Zn_6,0.010413285371417787
Cu_1,0.00901335999382248
Cu_2,0.0218853206634696
Cu_3,0.032261568583327134
Cu_4,0.039804359552425374
Cu_5,0.039933091688014455
Cu_6,0.04391924523718143
Pb_1,-0.005243486511637689
Pb_2,-0.005735837704190039
Pb_3,0.005056651559915707
Pb_4,0.025546046208439317
Pb_5,0.02311035352238797
Pb_6,0.03694776827474479
