,ghrA
Cr_1,0.003718863872550113
Cr_2,0.0072000276959942565
Cr_3,0.0138347772572823
Cr_4,0.019897255185976258
Cr_5,0.023680012613250992
Cr_6,0.02665461089431337
Fe_1,0.008953601420043594
Fe_2,0.057532204995932826
Fe_3,0.0709445423862925
Fe_4,0.039049644755270334
Fe_5,0.047796945190168014
Fe_6,0.01658884660498526
Cd_1,-0.0002789824279980231
Cd_2,0.0010140916202202174
Cd_3,0.0008905162587057651
Cd_4,0.00025492406270554417
Cd_5,-0.007620213665356451
Cd_6,-0.01187586185029393
Zn_1,-0.0001388139185745533
Zn_2,0.0025538286448809127
Zn_3,0.010761342682898856
Zn_4,0.01199365580504413
Zn_5,0.026594169211634797
Zn_6,0.03563232376189498
Cu_1,-0.005615908867128221
Cu_2,-0.011840208401696157
Cu_3,-0.013962120301925984
Cu_4,-0.016047958618368774
Cu_5,-0.01903017259889192
Cu_6,-0.022285077628399628
Pb_1,0.008684277938068908
Pb_2,0.005584458989025111
Pb_3,0.00677863533304069
Pb_4,0.004458681224828175
Pb_5,0.011595488018181426
Pb_6,0.010172338201589085
