,bolA
Cr_1,0.002807615993966525
Cr_2,0.007390981518591169
Cr_3,0.017457859663963085
Cr_4,0.030988717920171133
Cr_5,0.0394485429054609
Cr_6,0.045761255183555186
Fe_1,-0.031571720668919355
Fe_2,-0.07002275255592008
Fe_3,-0.1096475412144302
Fe_4,-0.1661697633433986
Fe_5,-0.23485939270532905
Fe_6,-0.2818107989753677
Cd_1,0.00846699030058018
Cd_2,0.022858668605035527
Cd_3,0.03636838437815793
Cd_4,0.0454197695349827
Cd_5,0.0483294258325371
Cd_6,0.057891784729053423
Zn_1,0.0031756564800066505
Zn_2,0.0046630050642942475
Zn_3,0.006725217092426852
Zn_4,0.009974308914204042
Zn_5,0.016147108885587496
Zn_6,0.017343993700922163
Cu_1,0.007822545047716062
Cu_2,0.015431045985028868
Cu_3,0.02240585419513692
Cu_4,0.026453322770502552
Cu_5,0.031641389133829044
Cu_6,0.0369784060786638
Pb_1,-0.00785726140717258
Pb_2,-0.0020719204836151467
Pb_3,0.00210823246906342
Pb_4,0.008940285743377917
Pb_5,0.021721252083463014
Pb_6,0.0324711104481831
