,thiI
Cr_1,0.013148360727187464
Cr_2,0.021421248353830767
Cr_3,0.02873206763835108
Cr_4,0.03447572057285534
Cr_5,0.04475124112761617
Cr_6,0.056708925412152326
Fe_1,-0.005287336772164801
Fe_2,-0.009406747411853615
Fe_3,-0.008614579961148415
Fe_4,-0.004335163335668188
Fe_5,0.0006519976058575215
Fe_6,0.0027680935980332953
Cd_1,-0.00946056896522563
Cd_2,-0.01297343618025102
Cd_3,-0.007868653944351345
Cd_4,-0.0035842094953403678
Cd_5,-0.0005555680897914723
Cd_6,0.010944071804886456
Zn_1,0.005641290879621609
Zn_2,0.014835957446252502
Zn_3,0.032633025258203434
Zn_4,0.0467193011052617
Zn_5,0.05786440549422262
Zn_6,0.060489183895496776
Cu_1,0.005159043130719553
Cu_2,0.008891917375456072
Cu_3,0.015380230996053469
Cu_4,0.01902866702515295
Cu_5,0.021471392370926125
Cu_6,0.024122705824292504
Pb_1,0.00378007893151293
Pb_2,0.010005386317559286
Pb_3,0.015226204867092485
Pb_4,0.018629073170111216
Pb_5,0.026916251253986626
Pb_6,0.03526455464382965
