,ydfO
Cr_1,-1.0111985795519556e-05
Cr_2,0.0010091277952251362
Cr_3,0.0007829108019438537
Cr_4,0.0009746771285996929
Cr_5,-0.0003918091629677134
Cr_6,-0.004601412506754832
Fe_1,-0.0022377719854782077
Fe_2,-0.008263251278885402
Fe_3,-0.01066575562146925
Fe_4,-0.01768269045834673
Fe_5,-0.010351520445453751
Fe_6,0.0005568466505927602
Cd_1,-0.0015640925247342131
Cd_2,-0.0007773082559596772
Cd_3,0.0012693597008472206
Cd_4,0.003430141557864345
Cd_5,0.001498615822881457
Cd_6,0.002716515924042773
Zn_1,-0.016371299502990228
Zn_2,-0.02815668544288082
Zn_3,-0.029018184200932967
Zn_4,-0.023085134699853092
Zn_5,-0.012321764133077168
Zn_6,-0.0005609998875719276
Cu_1,0.0026367386174824033
Cu_2,0.002968808082841937
Cu_3,8.0657957297726e-05
Cu_4,-0.0008592055798862295
Cu_5,-0.0003366681199396166
Cu_6,0.0019286549236607476
Pb_1,0.0042980508849696465
Pb_2,0.011286070767898232
Pb_3,0.019957068839477853
Pb_4,0.02969159173081648
Pb_5,0.03887696388687945
Pb_6,0.048947211159599116
