,rrlG
Cr_1,0.004412996849894
Cr_2,0.009971129041353504
Cr_3,0.01867253229596164
Cr_4,0.026201080271816925
Cr_5,0.032333532810119976
Cr_6,0.03608965433040784
Fe_1,-0.005768606126714307
Fe_2,-0.018872386857892942
Fe_3,-0.027178222171125747
Fe_4,-0.04161087865384986
Fe_5,-0.044798785463288485
Fe_6,-0.03924898441116436
Cd_1,-0.0013988628135953533
Cd_2,0.000351439285619248
Cd_3,-0.0013556828932091366
Cd_4,-0.0010387687357236279
Cd_5,-0.005537484699455067
Cd_6,-0.004475165443947103
Zn_1,0.00164296598857233
Zn_2,0.0026952840875750198
Zn_3,0.007865850705497925
Zn_4,0.009391164360302429
Zn_5,0.007795041809924521
Zn_6,0.004762199259600817
Cu_1,0.0036560933627369408
Cu_2,0.009551015332412278
Cu_3,0.014808804626953012
Cu_4,0.019591153891259844
Cu_5,0.025822658903182458
Cu_6,0.0328896370704821
Pb_1,-0.002046853064353393
Pb_2,-0.0013181606682605663
Pb_3,0.0006170016671066911
Pb_4,0.0019603459532082103
Pb_5,0.004583678782421159
Pb_6,0.0027006727019308423
