,-0.11643756475565074,-0.10350005756057844,-0.09056255036550613,-0.07762504317043382,-0.06468753597536152,-0.05175002878028921,-0.038812521585216905,-0.0258750143901446,-0.012937507195072293,1.3877787807814457e-17,0.01293750719507232,0.025875014390144627,0.03881252158521693,0.05175002878028924,0.06468753597536155,0.07762504317043385,0.09056255036550616,0.10350005756057847,0.11643756475565077,0.12937507195072306
thresh,-0.1229063183531869,0.1229063183531869,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,1,24,228,1381,2569,999,229,89,33,9,2,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
