,A,BasR
R2,,0.3171287424151267
xmin,,-5.443452185
xmid,,
xmax,,2.1124702330000003
ystart,,-8.249850465915012
yend,,4.046858882680636
control__wt_glc__1,-0.1436880201138581,0.12579705700000066
control__wt_glc__2,0.1436880201138494,-0.12579705699999974
fur__wt_dpd__1,1.5041871146716723,0.6384633020000008
fur__wt_dpd__2,1.382792780135611,0.7819862500000001
fur__wt_fe__1,0.6883076513596845,-0.3135341889999994
fur__wt_fe__2,0.2607369044921533,-0.44303303800000027
fur__delfur_dpd__1,1.8579627518142785,0.5803484229999993
fur__delfur_dpd__2,1.0411029445431152,0.4650984410000003
fur__delfur_fe2__1,0.3024495724527047,0.1611498710000001
fur__delfur_fe2__2,0.0408328125203976,0.2129334710000004
acid__wt_ph5__1,1.8391443675012733,0.3530058550000001
acid__wt_ph5__2,1.710569949230134,0.21607295399999948
acid__delgadx_ph5__2,2.376938731494656,0.1506038520000006
acid__delgadw_ph5__1,3.357619609071366,0.2891713310000004
acid__delgadw_ph5__2,3.5254805778074565,0.5012949640000004
acid__delgade_ph5__1,1.864858765064429,0.1612895029999999
acid__delgade_ph5__2,1.5962755913721862,0.20872923299999968
oxidative__wt_pq__1,1.835388449406797,1.4831563710000015
oxidative__wt_pq__2,1.4088772743264668,1.4566623070000002
oxidative__deloxyr_pq__1,1.015759377544896,1.60976741
oxidative__deloxyr_pq__2,1.2180750798928546,1.5240321280000002
oxidative__delsoxr_pq__1,1.2909980074574965,1.0399435730000004
oxidative__delsoxr_pq__2,1.4962090644827546,0.9555797129999996
oxidative__delsoxs_pq__1,0.663487842838676,1.6838340779999994
oxidative__delsoxs_pq__2,0.5653824071957385,1.7641095350000002
nac_ntrc__wt_csn__1,2.3786456077720475,0.4000987770000002
nac_ntrc__wt_csn__2,2.101416361135815,0.4768714570000006
nac_ntrc__wt_cytd__1,2.4213995737196203,0.7161680120000007
nac_ntrc__wt_cytd__2,2.3633606924640085,0.5965698739999999
nac_ntrc__wt_gln__1,5.133811115974659,1.3198489689999997
nac_ntrc__wt_gln__2,5.352868676490399,1.1405782789999996
nac_ntrc__bw_delnac_csn__1,1.8882388572865163,0.4810123520000005
nac_ntrc__bw_delnac_csn__2,1.8588788137333496,0.5346290170000003
nac_ntrc__bw_delnac_cytd__1,2.492903308290203,0.06739537099999993
nac_ntrc__bw_delnac_cytd__2,2.511478243983028,0.3087533450000004
nac_ntrc__bw_delnac_gln__1,4.423627489611538,0.5002348950000002
nac_ntrc__bw_delnac_gln__2,3.8769696097888273,0.6220128990000005
nac_ntrc__bw_delnac_nh4__1,-0.3064987420877285,-0.6078434220000002
nac_ntrc__bw_delnac_nh4__2,-0.8925265394198679,-0.8332628239999993
misc__wt_no_te__1,1.1242471644334209,0.4677562350000004
misc__wt_no_te__2,-0.5300832532280144,-0.06929304500000022
misc__bw_delcbl__1,-0.0452272886274352,-0.20148512899999996
misc__bw_delcbl__2,-0.4555943062338072,0.0036497670000006366
misc__bw_delfabr__1,-1.8251749248832343,-0.5109368830000003
misc__bw_delfabr__2,-1.7481323121362766,-0.41646381600000026
misc__bw_delfadr__1,-0.1083712028106633,-0.08216362399999966
misc__bw_delfadr__2,0.4082049388179537,-0.07012762799999983
misc__nitr_031__1,1.499636426944888,0.1655959410000003
omics__wt_glu__1,1.2157710538298296,-0.1830289039999995
omics__wt_glu__2,1.5500586309249635,-0.3305183289999993
omics__wt_gly__1,0.3114237093301517,-0.3838511980000003
omics__wt_gly__2,0.7150380920983477,-0.3796729540000001
omics__wt_thr__1,1.8317013280837835,0.5509600970000008
omics__wt_thr__2,1.957480765344347,0.4699414870000007
omics__bw_ac__1,1.6368943039140769,0.6052646289999997
omics__bw_ac__2,0.7605375488682207,0.6235125120000005
omics__bw_fum__1,-0.5261291125966183,-0.2641907349999997
omics__bw_fum__2,-0.1349515795036355,-0.11727796600000052
omics__bw_glc__1,-0.3309041933325645,0.1521307700000003
omics__bw_glc__2,-0.1652250469913959,-0.04613214100000018
omics__bw_pyr__1,0.996002135670996,0.09228230899999977
omics__bw_pyr__2,0.5745358205981649,0.4924323399999997
ompr__wt_nacl__1,6.4001864019198536,0.5277788989999994
ompr__wt_nacl__2,6.369229805092978,0.6219691770000004
ompr__bw_delompr_nacl__1,8.34426425712995,0.19733920700000065
ompr__bw_delompr_nacl__2,8.655789626833268,0.3119036189999997
minspan__wt_ade__1,2.3071963622262985,-0.242053093
minspan__wt_glc__2,0.925382125590306,-0.403368489
minspan__wt_glc__3,1.2142376081488857,-0.7764904530000001
minspan__wt_glc__4,0.3092644491695733,-0.4595559319999998
minspan__wt_glc_anaero__1,-0.4475907428709372,-0.5296581270000003
minspan__wt_glc_anaero__2,0.4749400305266993,-0.1026883810000001
minspan__wt_trp__1,1.1144985804736216,0.02181893100000032
minspan__bw_delcra_glc__2,0.7428625596899745,0.17672961100000162
minspan__bw_delcra_trp__1,2.0763955043702835,0.22355768899999973
minspan__bw_delmntr__1,-1.5578242634350457,0.1360213270000008
minspan__bw_delnac_ade__1,1.5066471501449368,-0.36029177300000015
minspan__bw_delnac_glc__1,0.9714083008925982,-0.5539128209999999
cra_crp__wt_ac__1,1.258225369791786,-0.2491151599999997
cra_crp__wt_ac__2,0.8660035136212136,-0.1977044189999999
cra_crp__wt_fru__1,1.5750232677306792,-0.08447435099999989
cra_crp__wt_fru__2,1.3520450468031655,-0.0035425079999997773
cra_crp__delcra_ac__1,-1.2231882316708296,-0.06903731299999905
cra_crp__delcra_ac__2,-0.8105863358169861,-0.11546951800000027
cra_crp__delcra_fru__1,0.8197060745267606,0.1536997910000002
cra_crp__delcra_fru__2,0.6290857065750567,-0.027984962999999752
cra_crp__delcra_glc__1,0.0690431158610469,-0.15148707500000036
cra_crp__delcra_glc__2,0.0399548380337118,-0.09895999899999984
rpoB__wt_031__1,0.2292529763865696,0.07415584600000003
rpoB__wt_044__1,0.5438182254514738,-0.4890929110000002
rpoB__wt_lb__1,3.296897644968078,0.7639581350000002
rpoB__wt_lb__2,3.00084910631203,0.7574840690000002
rpoB__rpoBE546V_031__1,0.2133203431682975,-0.046955443999999964
rpoB__rpoBE546V_044__1,0.2930356686779453,0.29884145200000045
rpoB__rpoBE546V_lb__1,1.8332524706584088,0.6333458830000005
rpoB__rpoBE546V_lb__2,3.407456312988058,0.6522298120000007
rpoB__rpoBE546V_glc__1,-0.0964699363175586,-0.30671468300000004
rpoB__rpoBE672K_glc__1,-1.7216953076827084,-0.3242273229999997
rpoB__rpoBE672K_glc__2,-0.4849563388107417,-0.5045167179999996
rpoB__rpoBE672K_lb__1,5.225558580947611,-0.16156482199999989
rpoB__rpoBE672K_lb__2,4.813347095902942,0.2987871140000005
crp__wt_fru__1,-0.4596075329437344,-0.2458470430000004
crp__wt_glyc__1,-0.8076162636474622,-0.518070013
crp__wt_glyc__2,-0.3819529387102587,-0.3022637699999997
crp__delar1_glyc__1,-0.7356952316661882,1.1432890650000005
crp__delar1_glyc__2,-0.7921873698591477,1.1983022070000002
crp__delar1ar2_glyc__1,1.3015958347629593,0.2861439689999985
crp__delar1ar2_glyc__2,1.453601457383189,0.5984677039999999
crp__delar1ar2_glyc__3,1.2955450246763045,0.35391393000000004
crp__delar2_glyc__1,0.0732350739555998,0.6108991470000005
