,0
gene_id,new_1124979_1125122_c
name,S371
operon,<i>Not Available</i>
gene_product,3'UTR of glcP
COG,No COG category
regulator,"SigA,NtdR"
link,"<a href=""http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1124979_1125122_c"">SubtiWiki</a>"
