,yadC
Cr_1,-0.02097589449093975
Cr_2,-0.046439366731739685
Cr_3,-0.053528760935311705
Cr_4,-0.05785803851751298
Cr_5,-0.06960854743816071
Cr_6,-0.07406046349888326
Fe_1,-0.034391519377698104
Fe_2,-0.04282721568616634
Fe_3,-0.04454252777388629
Fe_4,-0.03700171562644952
Fe_5,-0.029145477457512156
Fe_6,-0.01062800795792577
Cd_1,0.00011489406192122938
Cd_2,-0.002596276911758479
Cd_3,-0.007472814302381464
Cd_4,-0.01089977363959708
Cd_5,-0.017727948477268704
Cd_6,-0.02090474289130443
Zn_1,0.5549673573127494
Zn_2,1.0870877649755786
Zn_3,1.6051639492531524
Zn_4,1.9439639844066865
Zn_5,2.1908031684739577
Zn_6,2.360821970667974
Cu_1,0.010413372964255187
Cu_2,0.0193534781217871
Cu_3,0.02642472772711381
Cu_4,0.031427121151089685
Cu_5,0.037779898686361314
Cu_6,0.046009862022822784
Pb_1,0.0053600466213305845
Pb_2,0.015060481225800709
Pb_3,0.020369522829785672
Pb_4,0.037642122437102014
Pb_5,0.04100476522317808
Pb_6,0.04676596029420179
