,brnQ
Cr_1,8.964797611011135e-05
Cr_2,0.0007829854739183343
Cr_3,-0.0006350191333988388
Cr_4,-0.00312090510770478
Cr_5,-0.0018631627592712663
Cr_6,-0.0009952808370223732
Fe_1,-0.006972812345409431
Fe_2,-0.017672391818595697
Fe_3,-0.026396678574014454
Fe_4,-0.03515045053718509
Fe_5,-0.03815049579278566
Fe_6,-0.03737918090428316
Cd_1,-0.002690046332654029
Cd_2,-0.004584285833610554
Cd_3,-0.005717446822244334
Cd_4,-0.004598357514496171
Cd_5,-0.006632432523420604
Cd_6,-0.0025760349975517995
Zn_1,-0.0010558173232735235
Zn_2,3.7047134359474593e-06
Zn_3,0.010420637884988348
Zn_4,0.02851234727505725
Zn_5,0.04979167977006982
Zn_6,0.07109970826349213
Cu_1,0.0009139241023672146
Cu_2,0.004220908100412299
Cu_3,0.009924029094649066
Cu_4,0.015557753135973197
Cu_5,0.0217235550095511
Cu_6,0.030832981480348017
Pb_1,0.005153090649877011
Pb_2,0.012654557065048037
Pb_3,0.017621832273422556
Pb_4,0.0243046367941473
Pb_5,0.03176034274634372
Pb_6,0.041844282996650495
