,A,GlpP
R2,,0.07461091672273956
xmin,,-4.143519097332273
xmid,,
xmax,,2.3715105303009043
ystart,,6.324091584230015
yend,,-6.623350609937386
SRX8138083,-2.226111063404389,-0.20515516386263769
SRX8138084,0.6565722844018216,0.025106016950703136
SRX8138085,1.5695387790025588,0.18004914691193452
SRX8138086,-1.678750270606287,-0.2548341044514668
SRX8138087,0.2444804670908817,-0.0010343841538249519
SRX8138088,2.0718143369324062,0.2627645805429353
ERX4111143,-0.2486773202107597,-0.038694989176304866
ERX4111144,-0.09324588735740076,-0.07703542342029658
ERX4111145,-1.52657900730379,-0.00017383321306319033
ERX4111146,-2.382852318277159,-0.2286406774355392
ERX4111148,0.7552145207264324,-0.014396300403446638
ERX4111149,-1.6602714004517716,-0.019220391281569604
ERX4111150,-1.5258375752970286,0.006086221603919917
ERX4111151,0.24867732021074698,0.038694989176304866
ERX4111152,0.15988156700697867,0.07259526509439862
ERX4111153,-1.3500864339063618,0.12303838817957136
ERX4111154,-2.2230508197884964,-0.35149101917444003
ERX4111156,0.3435816704717357,-0.015383714304300078
ERX4111157,-1.6533639658337478,-0.03693124800482472
ERX4111158,-1.4643605868971978,0.08705923869838106
SRX5577041,-0.20929807739100334,-0.06275712227239437
SRX5577042,0.04806234671217163,-0.0066080408482376285
SRX5577043,0.12131977415584252,0.04647083735075608
SRX5577044,0.03991595652297631,0.022894325769879487
SRX5577045,-0.2282071056146607,-0.4612963729736501
SRX5577046,1.6638498174875105,-0.22955999538921826
SRX5577047,1.5444334462740184,-0.16283155135845195
SRX5577048,1.8348326410517812,-0.22533423964072075
SRX5577049,3.1509845107794634,-0.10312422870170668
SRX5577050,3.359838568670965,-0.21937351801301294
SRX5577051,2.7342096597901238,-0.10335178465493478
SRX5577052,2.2325574618665023,0.11347779546542468
SRX5577053,-3.4416480373798573,-0.2022292460796189
SRX5577054,-2.09671670511452,-0.2872701470650965
SRX5577055,-3.659544520783829,-0.12161422092741248
SRX5577056,-2.8805583235660337,-0.3215051684817407
SRX5577057,-4.480361928565125,-0.42605006781442256
SRX5577058,-1.8589726126599244,-0.4000822667379378
SRX5577059,-4.112838150398819,-0.6687771853645055
SRX5577060,-2.60531016347032,-0.5722945256228611
SRX5577061,-3.7944618739137965,0.16246395511705458
SRX5577062,-1.9955474260591808,-0.4126153508702055
SRX5577063,-1.441984757362811,-0.399509959775382
SRX5577064,-3.8609334289565913,-0.3449234671983463
SRX5577065,-1.088495739123185,-0.522474968568984
SRX5577066,-2.5706830536564063,-0.36981062469102177
SRX5577067,-2.707561649095291,-0.11183350853663487
SRX5577068,-2.0082310119869207,-0.326392424333422
SRX533166,0.3630455794797935,-0.2405985170419349
SRX533171,-0.3630455794798166,0.2405985170419358
SRX533786,-1.032225539448485,-0.11966168600296535
SRX533787,-0.9512712660190672,0.25189805253934505
SRX533789,-0.16403645886289647,-0.2926517375925455
SRX533791,-0.25758344582895104,0.23503527594358345
SRX533792,-1.3168972330926592,-0.2418494785503427
SRX533793,-0.7630949267574902,0.22799107461224466
SRX533794,-0.1932618113181359,0.02718116939068516
SRX533795,0.5011149564039963,-0.014136657638882609
SRX4703435,-0.7724800511782012,-0.04038656174003563
SRX4703436,0.2869706494274544,0.09797934332169687
SRX4703437,0.4855094017507557,-0.05759278158166125
SRX4703438,11.445960186634688,-0.6610363137335282
SRX4703439,10.395982589822903,-0.5192196576555181
SRX4703440,10.673439549169746,-0.4958009621074018
SRX6902408,1.0756780289159482,-0.2474509838717056
SRX6902409,0.23260942398586,0.09224463675706483
SRX6902410,0.7180096624487637,0.16409149942504264
SRX6902411,-2.132318910304308,-0.15926893525554142
SRX6902412,-1.3395275345663942,0.010586982956398929
SRX6902413,-1.3124039950797,-0.21291837065659625
SRX6902414,-0.4401205323398537,0.06328046553066269
SRX6902415,0.4401205323398623,-0.06328046553066269
SRX5278698,2.478512249212762,0.26846062195026565
SRX5278699,3.081287830832312,0.10057743028502486
SRX5278700,-5.559800080045091,-0.3690380522352932
SRX5278701,-6.098094418240675,0.3426651137202201
SRX5278702,-6.06348532295799,0.6158119843828489
SRX5278703,-16.766531004826525,0.029043612012270795
SRX5278704,-7.243187963814807,-0.8311142254590465
SRX5278705,-6.304976471698173,-0.04915469928810001
SRX5278707,-15.866136916784738,-0.27014872880835306
SRX5278708,-17.475496034115054,-0.1221902425391086
SRX5278709,-16.297604829820067,-0.34185159110849384
SRX5278710,-17.6303417250208,0.14300951028822073
SRX5278711,-18.2351454975798,0.3747212940873421
SRX5278713,-21.16633998509804,0.4108151832752052
SRX5278714,-20.67779095811324,0.2273291079216211
SRX5278715,-9.425475932013867,-0.15376807581698415
SRX5278716,-8.518156087367029,-0.7226409476127884
SRX5278717,0.526342964040478,-0.216112372594818
SRX5278718,-9.583478051587765,-0.8112190618579929
SRX5278719,-19.18795452293342,-0.13970766490181408
SRX5278720,-9.80547473248856,0.5392473934349793
SRX5278721,-16.150425253390644,0.0998965612849334
SRX1254783,-11.129211366170416,0.004535476209219347
SRX1254784,-11.610121929744782,0.857286018504456
SRX1254785,-12.892593417229044,1.2732392153587293
SRX1254786,-11.088246294735725,0.7381125224762181
SRX1473807,-0.3994002822222264,0.08221560307947318
SRX1473808,0.3014361984139549,-0.20179214038777094
SRX1473809,0.09796408380828953,0.11957653730829955
SRX7520944,-0.6086988210643584,0.0397915584498012
SRX7520945,-0.5092377681559723,-0.045758671087115836
SRX7520946,0.6932322807812575,0.1951146415273888
SRX7520947,0.4247043084390522,-0.18914752889007505
SRX7520948,3.0238108294823327,0.633978946822273
SRX7520949,3.2930055560393674,0.5336250280013504
SRX7520950,1.2833166665366198,0.5799904938446083
SRX7520951,0.7785773076430533,0.4735161014769584
SRX959206,-2.9004881423110684,0.10776676138746576
SRX959207,-2.017366950114197,0.2604082441109403
SRX959208,-1.9049080037188468,0.27887179200512424
SRX959209,-2.8628805973868623,-0.11166539231235628
SRX959210,-3.1388754818195785,-0.22105374546700496
SRX959211,-3.1027278631303266,-0.3764578546097237
SRX959212,0.35870023187230754,0.23246793193799495
SRX959213,0.8421298616231624,0.03379082194438165
SRX959214,0.02284732876437052,-0.07725179111413016
SRX959215,-0.438365628340764,0.010623518595534344
SRX959216,-0.2404676865675115,-0.14747641964382208
SRX959217,-0.5448441073515554,-0.052154061719956964
SRX3269802,1.2066547330144528,-0.16514766598170286
SRX3269803,-1.2066547330144284,0.16514766598170286
SRX3269804,-4.00633882875844,-0.21788401321340167
SRX3269805,-2.4464369023230623,-1.060776515959187
SRX3269806,0.6916640136576759,-0.4356545087285309
SRX3269807,-13.084852000638586,2.3715105303009043
SRX3269808,-12.908129978736714,1.717943972715705
SRX3269809,-11.290947112071194,1.447772830294106
SRX3269810,-15.068820579181551,0.6858288135608639
SRX3269811,-15.501557098527494,-0.21807965573050048
SRX2529102,-2.2234311960991904,-0.00413056457756511
SRX2529103,2.2234311960991824,0.00413056457756511
SRX2529104,-8.622214078436064,0.7698693669936745
SRX2529105,-5.7421338729408005,0.9316443870366332
ERX1981712,-10.717142710278416,1.9262081022411468
ERX1981713,-10.58970882058642,1.9142614250961527
ERX1981714,-10.266427442994337,2.127553167462012
ERX1981715,0.9448631856903492,-0.25190861736122105
ERX1981716,-1.0965012005669732,0.14800236202848627
ERX1981717,0.15163801487662396,0.1039062553327348
ERX2274784,8.579617811393474,-0.2500553697029595
ERX2274785,-2.272351166849893,-0.02973464659279479
ERX2274786,-4.710748133655325,-0.124506444305041
ERX2274787,-5.684902437933201,1.1099625847336156
ERX2274788,-7.184739821274841,1.1842918354249
ERX2274789,-1.8682635919483133,0.6405979913383222
ERX2274790,9.602392326999407,-0.17973971044955306
ERX2274791,-2.1370940232934323,-0.07462753575619363
ERX2274792,-4.148595979262029,0.013695786648836084
ERX2274793,-5.3936561166225525,1.0694920252322433
ERX2274794,1.6255910422938076,1.0247593249525335
ERX2274795,-6.136876959731837,1.2439125826772033
ERX2274796,9.698377770492362,-0.2604190708482248
ERX2274797,-6.817818191197128,-0.04983312450997879
ERX2274798,-2.8805595792952263,0.31025219535820714
