,somA
Cr_1,-0.00640550644397276
Cr_2,-0.0039686486186985975
Cr_3,-0.003851610420724735
Cr_4,0.0014762760837882935
Cr_5,0.009004757105116902
Cr_6,0.014705346084588929
Fe_1,-0.015113424556022074
Fe_2,-0.0310327451628114
Fe_3,-0.029071293306173838
Fe_4,-0.015445434678490768
Fe_5,0.015400006798178968
Fe_6,0.045014700420020974
Cd_1,0.008510441667975245
Cd_2,0.016954865393776008
Cd_3,0.02278693653675509
Cd_4,0.02950654897912989
Cd_5,0.03514586579190139
Cd_6,0.04510597431389631
Zn_1,-0.019279068832626416
Zn_2,-0.028906397687478224
Zn_3,-0.031002450393832537
Zn_4,-0.03876371433692858
Zn_5,-0.03528365649650314
Zn_6,-0.029991111939238143
Cu_1,0.0057329661810780795
Cu_2,0.0046799165529678045
Cu_3,0.0020794383052469127
Cu_4,0.000888880738718665
Cu_5,0.0003795599239488589
Cu_6,0.0004112925188732753
Pb_1,0.006388303649730389
Pb_2,0.008625069174300344
Pb_3,0.014121245345969154
Pb_4,0.011000785663082891
Pb_5,0.011014654359457459
Pb_6,0.007408467195348291
