,ycgF
Cr_1,0.0018516476385938574
Cr_2,0.0036459835342581353
Cr_3,0.009873130644060105
Cr_4,0.013587314320249979
Cr_5,0.01494568994349134
Cr_6,0.017338198133988673
Fe_1,-0.002918899985152522
Fe_2,-0.0057245067063961185
Fe_3,-0.0012488161372419696
Fe_4,0.002824241300524461
Fe_5,0.01439191187840932
Fe_6,0.030778378077057782
Cd_1,0.0011672030639299626
Cd_2,0.001216815783388158
Cd_3,0.0028028929820348744
Cd_4,0.004544184486676468
Cd_5,0.0007374065326417102
Cd_6,0.003161635854000443
Zn_1,-0.005128232534020696
Zn_2,-0.0018524030925205926
Zn_3,0.02010164919307258
Zn_4,0.045709472267273316
Zn_5,0.06862579367001334
Zn_6,0.08723600528133879
Cu_1,0.004341994757633786
Cu_2,0.009107624240433407
Cu_3,0.014936213212621018
Cu_4,0.01936125980081956
Cu_5,0.026356785806845768
Cu_6,0.0362940249082569
Pb_1,0.0064473650157617956
Pb_2,0.01649520072077809
Pb_3,0.028242723331763243
Pb_4,0.043334792474864714
Pb_5,0.05723587699819922
Pb_6,0.07433992571207709
