,A,PrpR,Cra,Crp,RpoN
R2,,0.15648523508659307,0.02264365605484575,0.012143967206858619,0.009517726126890391
xmin,,-6.0381209046,-7.2746930645,-9.852476477,-2.3873792415
xmid,,-0.02280767646197578,-1.956966030217822,,
xmax,,5.9717219185,2.4360738119,2.5388323397,1.8751403472
ystart,,0.07697754920730616,2.0934332256562893,4.5804819583477565,2.380451102105966
yend,,9.9765334650525,-1.1800140195049713,-0.23583761928064906,-0.5325656922396851
SRX1125282,1.4325149565,0.6063357626,0.062006051900000005,0.0344951212,-0.1868415971
SRX1125283,-0.1388683826,-0.4306105585,-0.1314214465,0.1435731223,-0.20162633530000001
SRX1125284,0.019731016100000002,-1.2279803736,0.0314530619,0.2534372822,-0.1942665755
SRX1125285,0.42763598270000003,-0.197201058,-0.1295274102,0.283920339,-0.1859665862
SRX1125286,0.0979126154,0.08846058180000001,-0.2247240932,0.3175329239,-0.1681106608
SRX1125287,-0.1343310817,0.6399652976,-0.7116227439,0.17602055360000002,-0.3706350145
SRX1125288,-2.0912310537,-0.49821449770000004,-0.1377842684,0.005256366,0.3031607257
SRX1125289,1.0178521739,-0.0294598007,-0.0278778495,0.2819816342,0.039643016600000004
SRX1125290,0.1474721741,-0.12494864450000001,-0.0861555941,0.2801678667,-0.0013643723
SRX1125291,-0.10922602170000001,0.2064602773,-0.0825496888,0.4762089513,-0.0414927971
SRX1125292,0.2666216943,0.5095330794,-0.0984813253,0.5370175003000001,-0.0746450885
SRX1125293,1.5354921582999999,1.3226058749,-0.48781484950000004,0.5086233319,-0.23586419190000002
SRX1125294,0.6587160973,-0.1081212649,0.07577821650000001,-0.039751487200000005,-0.1163191286
SRX1125295,0.8808311665,-0.0419340573,-0.0035574465000000003,0.2905320638,-0.0736221406
SRX1125296,-0.0583148359,-0.7035158645,-0.16898320120000002,0.1859933018,-0.17730413120000002
SRX1125297,0.2725120395,0.1421078345,-0.3037351676,0.3699621097,0.020768331
SRX1125298,0.8339225647,0.8976440954,-0.012594644700000001,0.5483756585,-0.0944720948
