,-0.17405182187933743,-0.13537363923948467,-0.09669545659963191,-0.05801727395977915,-0.019339091319926394,0.019339091319926366,0.058017273959779125,0.09669545659963186,0.13537363923948464,0.17405182187933743,0.21273000451919016,0.2514081871590429,0.2900863697988957,0.32876455243874847,0.36744273507860115,0.40612091771845393,0.4447991003583067,0.4834772829981595,0.5221554656380123,0.560833648277865
thresh,-0.1933909131992638,0.1933909131992638,9,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,1877,1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cra,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN,0,0,0,0,40,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,0,236,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cra and RpoN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cra and Crp,0,0,0,1,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN and Crp,0,0,0,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrpR and Crp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cra, RpoN, PrpR, and Crp",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Cra_genes,[],[],[],[],"['tpiA' 'zwf' 'gpmM' 'sgrT' 'adhE' 'eda' 'fruA' 'envC' 'betB' 'fbaB'
 'yibQ' 'edd' 'ppc' 'fruK' 'glk']","['betT' 'eno' 'cydA' 'pfkA' 'cydB' 'yeaD' 'betA' 'fruB' 'icd' 'betI'
 'poxB' 'aroP' 'setA' 'pykF' 'pdeL' 'ppsA']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoN_genes,[],[],[],[],"['hypC' 'pspE' 'rutF' 'pspD' 'nikB' 'hycF' 'yhdX' 'yaaU' 'emrD' 'dcuD'
 'hycH' 'nikA' 'fhlA' 'gltK' 'rutG' 'glnK' 'yhdZ' 'hycI' 'ibpB' 'gltL'
 'rutD' 'yeaG' 'aslB' 'acrD' 'ygfK' 'ddpC' 'pspB' 'ymjE' 'hycE' 'nac'
 'rutA' 'hisJ' 'zraP' 'nikC' 'gltJ' 'hydN' 'rutB' 'hycA' 'ddpF' 'xdhA']","['hypE' 'ssnA' 'xapB' 'fdhF' 'pspA' 'hycD' 'potF' 'yeaH' 'glnP' 'norV'
 'yhjC' 'htpG' 'gnsA' 'yhdY' 'gltI' 'atoB' 'norW' 'hycG' 'radD' 'rutC'
 'hycC' 'rtcA' 'rutE' 'potI' 'puuP' 'nikR' 'hypD' 'potH' 'atoE' 'hycB'
 'hypA' 'hypB' 'xdhB' 'hisP' 'rtcR' 'astC' 'pspG' 'hisM' 'nikD' 'yhdW'
 'ddpB' 'rtcB' 'potG' 'pspC' 'hisQ' 'glnQ' 'ddpX' 'glnH' 'xdhC' 'astA'
 'nikE' 'chaC' 'atoD' 'atoA' 'ddpD' 'amtB' 'argT' 'yahE' 'ddpA' 'patA'
 'astD' 'astE' 'astB']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],[],[],[],"['proP' 'rhaS' 'srlA' 'csiD' 'ulaB' 'mdh' 'hofO' 'ansB' 'sgcE' 'ptsG'
 'rbsB' 'rhaR' 'sgcR' 'uidB' 'sodB' 'sgcA' 'rbsD' 'citX' 'galS' 'gabT'
 'fixB' 'ulaA' 'puuD' 'ompW' 'uxaA' 'chbF' 'uxuA' 'casB' 'uidA' 'puuR'
 'srlR' 'malE' 'paaF' 'ompR' 'glpA' 'fixA' 'melR' 'murP' 'bglG' 'casD'
 'dgoR' 'malX' 'ompF' 'ulaC' 'cstA' 'gabD' 'nupC' 'gltD' 'yiaM' 'paaA'
 'gadX' 'uxuB' 'nanE' 'ascB' 'preA' 'fixC' 'nanM' 'araC' 'gutQ' 'mglB'
 'cdd' 'nagA' 'ycdZ' 'ortT' 'sgcQ' 'argG' 'hofN' 'comR' 'gltB' 'hupA'
 'dcuB' 'fecA' 'tdcG' 'lgoD' 'glgS' 'uxaC' 'sfsA' 'sdhB' 'sgcX' 'dsdX'
 'tdcE' 'cspE' 'speC' 'caiC' 'uidC' 'csqR' 'tdcF' 'gadB' 'dgoK' 'hlyE'
 'xylR' 'cyaA' 'caiB' 'entE' 'malS' 'paaZ' 'mglC' 'nadC' 'dsdA' 'paaI'
 'lamB' 'araG' 'paaD' 'melB' 'trxA' 'ampD' 'rpsI' 'nagB' 'rbsA' 'feaB'
 'mglA' 'ampE' 'xylG' 'fecB' 'casC' 'glpG' 'nagC' 'caiF' 'rplI' 'xylA'
 'caiE' 'yiaO' 'citD' 'bglF' 'araE' 'rihA' 'hflX' 'chbC' 'chiP' 'murQ'
 'gntK' 'cas3' 'yhgH' 'rbfA' 'malF' 'rpsO' 'bglB' 'paaE' 'srlB' 'sdhC'
 'hpt' 'hflC' 'malI' 'ubiG' 'caiD' 'nfuA' 'nusA' 'mdtF' 'hicA' 'ebgA'
 'cas1' 'casA' 'lsrA' 'chbB' 'ulaF' 'fiu' 'envZ' 'yaeQ' 'glgC' 'gyrA'
 'guaA' 'sucD' 'entC' 'cirA' 'yhfA' 'glgA' 'hicB' 'ulaD' 'rpsF' 'lhgO'
 'gdhA' 'ychH' 'glpB' 'gntT' 'lsrR' 'araJ' 'srlE' 'ugpA' 'hofM' 'aldA'
 'casE' 'araH' 'chbR' 'sucC' 'entB' 'srlD' 'hofC' 'gatD' 'dctA' 'rbsC'
 'gcvP' 'hofB' 'galE' 'glpT' 'gadC' 'xylB' 'ykgR' 'btsT' 'gltA' 'nanK'
 'infB' 'glpD' 'idnR' 'hupB' 'dadX' 'mhpB' 'umpH' 'yahN' 'aspA' 'galM'
 'sgcC' 'sdhA' 'fur' 'sohB' 'glpR' 'fucO' 'fecC' 'yjhH' 'nanA' 'gabP'
 'entH' 'gadE' 'hflK' 'xylH' 'ygeA' 'gpsA' 'xylE' 'paaC' 'paaH' 'glpE'
 'puuC' 'raiA' 'preT' 'nanC' 'idnD' 'sucB']","['chbA' 'fadD' 'serA' 'rplM' 'dadA' 'sgbE' 'malK' 'sdhD' 'puuB' 'truB'
 'lacZ' 'citE' 'fumA' 'rhaA' 'dcuA' 'rbsR' 'tam' 'priB' 'yjhG' 'gatA'
 'udp' 'gcvH' 'ugpB' 'uxuR' 'fumB' 'deoD' 'rimP' 'fadH' 'glpF' 'sodA'
 'chbG' 'mhpD' 'malY' 'osmY' 'glpC' 'bhsA' 'rbsK' 'hfq' 'gatB' 'ygeW'
 'yiaK' 'ldtB' 'rpsR' 'putP' 'gntP' 'sgcB' 'ulaE' 'plaR' 'lacI' 'nanT'
 'sbmC' 'paaB' 'gcvT' 'agaA' 'mhpF' 'lacY' 'secB' 'dgoD' 'yiaN' 'lgoR'
 'aroA' 'mazE' 'arfB' 'ompA' 'nlpE' 'dpiA' 'fucU' 'entA' 'mazF' 'exuT'
 'ilvB' 'tsx' 'nagE' 'mdtE' 'citC' 'aaeB' 'uxaB' 'fecD' 'kbaZ' 'glpK'
 'caiT' 'yaeP' 'cytR' 'gltF' 'metK' 'gutM' 'gatC' 'serC' 'galK' 'cspD'
 'citG' 'exuR' 'gadA' 'fucK' 'lacA' 'rhaB' 'gcd' 'idnO' 'glgP' 'fucI'
 'uhpT' 'ugpQ' 'nanS' 'aaeR' 'pncB' 'rof' 'citF' 'rhaT' 'tdcD' 'sgbH'
 'malM' 'glpX' 'ilvN' 'aaeA' 'modC' 'pnp' 'lyxK' 'yhcH' 'deoB' 'cpdB'
 'melA' 'mhpA' 'nupG' 'gatY' 'lsrC' 'gatZ' 'sucA' 'puuE' 'nrdA' 'ybiT'
 'yeiW' 'narQ' 'csiE' 'psuG' 'yjcH' 'araB' 'mhpR' 'tnaB' 'ygcW' 'mhpC'
 'dusB' 'ascF' 'manA' 'tdcA' 'ugpC' 'grpE' 'yqeF' 'fis' 'yiaL' 'trg'
 'paaG' 'yjhI' 'fecE' 'caiA' 'mlc' 'aaeX' 'fepA' 'fucA' 'dksA' 'aldB'
 'psuK' 'agp' 'fucP' 'nrdB' 'dpiB' 'idnT' 'tdcC' 'malG' 'agaV' 'araA'
 'aegA' 'abgR' 'lsrK' 'ppdD' 'modB' 'paaK' 'guaB' 'psiE' 'pflB' 'aer'
 'chiQ' 'deoA' 'agaW' 'rpoS' 'lsrG' 'fucR' 'acs' 'ppiA' 'feaR' 'sgbU'
 'patZ' 'dcuR' 'cas2' 'galT' 'paaJ' 'yfaE' 'fumC' 'oxyR' 'lsrD' 'xseA'
 'dgoA' 'mhpE' 'yeiP' 'deoC' 'xylF' 'ynfK' 'tdcB' 'idnK' 'rmf' 'mokB'
 'treB' 'ugpE' 'galP' 'araD' 'focA' 'treC' 'modA' 'rspB' 'dgoT' 'lsrF'
 'ebgC' 'entD' 'gntU' 'lsrB' 'malT' 'grcA' 'fadL' 'araF' 'tnaA' 'rspA']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Cra and RpoN_genes,[],[],[],[],[],['hypF'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Cra and Crp_genes,[],[],[],['ptsI'],"['epd' 'csgF' 'manZ' 'manY' 'manX' 'fbaA' 'cyoE' 'mpl' 'cyoD' 'marA'
 'marB' 'cyoA' 'gapA' 'crp']","['pgk' 'cyoB' 'lpd' 'csgE' 'marR' 'aceF' 'cyoC' 'nirD' 'cysG' 'nirB'
 'aceA' 'nirC' 'aceE' 'aceK' 'acnA' 'pck' 'aceB' 'mtlD' 'mtlR' 'ptsH'
 'acnB' 'csgG' 'csgD' 'mtlA' 'crr' 'glcC' 'pdhR']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoN and Crp_genes,[],[],[],[],['ntrC' 'glnL' 'glnA' 'hyfJ' 'hyfR' 'flhD' 'rpoH' 'hyfA' 'flhC' 'hyfE'],"['hyfH' 'hyfG' 'rseA' 'relA' 'rseB' 'rseC' 'hyfF' 'hyfI' 'hyfB' 'rseD'
 'glpQ' 'hyfD' 'rpoE' 'hyfC' 'zraS' 'rhaD' 'actP' 'zraR' 'focB']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PrpR and Crp_genes,[],[],[],[],['prpR'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"Cra, RpoN, PrpR, and Crp_genes",[],[],[],[],[],[],[],[],[],[],[],[],[],['prpE'],[],[],['prpD' 'prpC'],['prpB'],[],[]
