,new_3769809_3769955_c
LBexp_1,7.1176
LBexp_2,7.2154
LBexp_3,7.2973
LBtran_1,7.3474
LBtran_2,7.1883
LBtran_3,7.3567
LBstat_1,7.168
LBstat_2,7.4499
LBstat_3,7.461
LBGexp_1,7.1376
LBGexp_2,7.0815
LBGexp_3,7.1666
LBGtran_2,7.6008
LBGtran_3,7.4724
LBGstat_1,7.2936
LBGstat_2,7.1928
LBGstat_3,7.7081
S0_1,8.7222
S0_2,8.257
S0_3,8.5166
S1_1,11.8043
S1_2,11.7417
S1_3,12.6054
S2_1,9.3658
S2_2,9.1884
S2_3,9.3852
S3_1,9.1453
S3_2,9.3203
S4_1,9.5589
S4_2,8.6496
S4_3,9.2275
S5_1,8.5046
S5_2,9.3212
S5_3,9.1506
S6_1,8.3998
S6_2,7.9752
S6_3,8.579
S6/t_1,8.6894
S6/t_2,7.8885000000000005
S6_4,7.8869
S6_5,8.2216
S6_6,8.082
S7_4,9.1009
S7_5,9.1347
S7_6,9.5474
S8_4,8.9586
S8_5,9.5214
G135_1,7.5229
G135_3,7.5576
G150_1,7.3376
G150_2,6.9725
G150_3,7.4149
G180_1,7.3759
G180_2,6.921
G180_3,7.0733
C30_1,9.1197
C30_2,9.159
C90_1,8.2189
C90_2,7.3053
BI_1,7.1261
BI_2,7.4052
BC_2,8.6825
BC/t_1,8.4292
BC/t_2,9.4921
BC_1,8.151
Sw_1,8.0495
Sw_2,8.5927
BT_1,12.4884
BT_2,12.042300000000001
B36_1,9.4574
B36_2,8.9564
B60_1,9.2012
B60_2,10.2958
M9exp_1,9.5071
M9exp_2,9.253
M9exp_3,9.0722
M9tran_1,8.9464
M9tran_2,8.5908
M9tran_3,8.9573
M9stat_1,8.6094
M9stat_2,9.153
M9stat_3,8.918800000000001
M+G_1,9.4861
M+G_2,8.6873
M+G_3,8.5075
Glu_1,9.6534
Glu_2,9.3673
Glu_3,9.5646
Fru_1,9.3814
Fru_2,9.4312
Fru_3,9.2043
Mal_1,8.0015
Mal_2,8.49
Mal_3,8.4136
G+S_2,8.9103
G+S_3,9.5864
Pyr_1,9.1566
Pyr_2,9.3933
Pyr_3,9.2956
Gly_1,8.7825
Gly_2,8.9498
Gly_3,8.461500000000001
Glucon_1,9.3825
Glucon_2,9.0355
Glucon_3,8.9631
aero_1,8.5854
aero_2,7.7328
aero_3,8.1517
nit_1,7.3542
nit_2,7.1961
nit_3,7.1989
ferm_1,7.3827
ferm_2,7.152
ferm_3,7.7143
T-5.40H_1,10.1921
T-4.40H_1,9.6747
T-3.40H_1,9.647
T-2.40H_1,9.2849
T-1.40H_1,9.3195
T-1.10H_1,9.5283
T-0.40H_1,9.5896
T0.0H_1,9.3547
T0.30H_1,9.0069
T1.0H_1,8.1586
T1.30H_1,8.4149
T2.0H_1,8.586500000000001
T2.30H_1,9.3668
T3.0H_1,9.1224
T3.30H_1,9.5019
T4.0H_1,9.5996
T5.0H_1,8.932
HPh_1,8.0641
HPh_2,7.7634
HPh_3,8.2339
LPh_1,8.15
LPh_2,7.8477
LPh_3,8.0176
LPhT_1,8.103
LPhT_2,8.1718
LPhT_3,8.0778
SMMPr_1,8.6555
SMMPr_2,8.8309
SMMPr_3,8.6044
HiTm_1,8.0915
HiTm_2,7.9946
HiTm_3,8.9378
LoTm_1,9.523
LoTm_2,10.6257
LoTm_3,9.7322
HiOs_1,9.8008
HiOs_2,9.4674
HiOs_3,9.4789
BMM_1,8.6706
BMM_2,8.6394
BMM_3,8.335
Heat_1,8.4589
Heat_2,8.5641
Heat_3,8.4457
Cold_1,8.8632
Cold_2,8.1979
Cold_3,7.9135
Etha_1,13.4811
Etha_2,12.7544
Etha_3,13.4982
SMM_1,9.2785
SMM_2,9.2045
SMM_3,9.1362
Salt_1,9.8931
Salt_2,10.1407
Salt_3,9.8567
Mt0_1,7.1227
Mt0_3,6.5669
M0t45_1,7.1863
M0t45_2,7.113
M0t45_3,7.0533
M0t90_1,7.4973
M0t90_2,7.1432
M0t90_3,7.5399
M40t45_1,7.4264
M40t45_2,7.4883
M40t45_3,7.1131
M40t90_1,7.3859
M40t90_2,7.2177
M40t90_3,7.4562
dia0_1,7.0291
dia0_2,7.1869
dia0_3,6.8488
dia5_1,7.2514
dia5_2,7.3568999999999996
dia5_3,6.9151
dia15_1,7.1198
dia15_2,7.1391
dia15_3,7.2781
Diami_1,7.4623
Diami_2,7.0371
Diami_3,7.6984
Paraq_1,7.4672
Paraq_2,7.2137
Paraq_3,7.1093
H2O2_1,7.1285
H2O2_2,7.4086
H2O2_3,7.4424
Oxctl_1,7.8235
Oxctl_2,7.67
Oxctl_3,7.3669
GM-0.1_1,10.0189
GM-0.2_1,10.1333
GM+5_1,9.6482
GM+15_1,9.2777
GM+25_1,9.3864
GM+45_1,9.9444
GM+60_1,9.4627
GM+90_1,9.8505
GM+120_1,9.056
GM+150_1,8.6258
GM-0.1_2,9.7794
GM-0.2_2,10.3776
GM+5_2,9.6576
GM+10_2,9.4647
GM+15_2,8.6889
GM+25_2,8.8145
GM+45_2,8.9617
GM+60_2,9.1266
GM+90_2,9.1222
GM+150_2,7.7848
GM-0.1_3,10.1118
GM-0.2_3,9.8087
GM+5_3,9.8405
GM+10_3,8.4603
GM+15_3,9.286200000000001
GM+25_3,8.693
GM+45_3,9.163
GM+60_3,8.5685
GM+90_3,9.1881
GM+120_3,8.7926
GM+150_3,8.9171
MG-0.1_1,9.1486
MG+5_1,9.4665
MG+10_1,9.0541
MG+15_1,8.579
MG+25_1,9.3079
MG+45_1,9.3854
MG+120_1,8.642900000000001
MG+150_1,9.1737
MG-0.1_2,8.6701
MG-0.2_2,8.7113
MG+5_2,8.9504
MG+10_2,8.7497
MG+15_2,9.6499
MG+25_2,9.497
MG+45_2,8.9441
MG+60_2,9.274000000000001
MG+90_2,8.5601
MG+120_2,10.1181
MG-0.1_3,9.2829
MG-0.2_3,9.3156
MG+5_3,8.6754
MG+10_3,9.143
MG+15_3,9.1674
MG+25_3,9.4382
MG+45_3,9.5616
MG+60_3,9.2109
MG+90_3,9.2382
MG+120_3,9.3663
MG+150_3,8.9396
