,zitB
Cr_1,-0.01840153318384431
Cr_2,-0.01901766758865607
Cr_3,-0.011206658488725357
Cr_4,-0.005452656088806378
Cr_5,0.003904631615598967
Cr_6,0.004361363044760511
Fe_1,-0.0161900096516412
Fe_2,-0.0672217564887532
Fe_3,-0.11386916535364285
Fe_4,-0.1675876660579727
Fe_5,-0.20945127985349316
Fe_6,-0.23559619592214545
Cd_1,-0.0017136215806992732
Cd_2,0.002285126909588988
Cd_3,-0.0006108006188894455
Cd_4,-0.0010845898224498595
Cd_5,-0.005800611404114471
Cd_6,-0.006087117748822206
Zn_1,-0.0065646042930785796
Zn_2,-0.008059150601312378
Zn_3,-0.011638294495483828
Zn_4,-0.011251164928656632
Zn_5,0.004875249274853775
Zn_6,-0.0083930130598172
Cu_1,0.011839067295568606
Cu_2,0.02682519221974558
Cu_3,0.046372332010373635
Cu_4,0.0641072257247539
Cu_5,0.08000306882908953
Cu_6,0.08789863283370834
Pb_1,-0.0034687219120960373
Pb_2,0.005949764010940028
Pb_3,0.033892526075580874
Pb_4,0.04757020879981559
Pb_5,0.06884105813563772
Pb_6,0.09355229103445327
