,BSU32980
M9exp_1,10.6013
M9exp_2,10.3558
M9exp_3,10.1705
M9tran_1,10.0273
M9tran_2,10.0297
M9tran_3,10.2915
M9stat_1,9.6131
M9stat_2,9.2524
M9stat_3,9.2345
MG-0.1_1,10.2616
MG-0.1_2,9.5492
MG-0.1_3,10.9583
MG-0.2_2,10.1084
MG-0.2_3,10.2602
MG+5_1,10.1391
MG+5_2,10.1736
MG+5_3,10.1469
MG+10_1,10.4838
MG+10_2,10.2978
MG+10_3,9.7156
MG+15_1,9.5644
MG+15_2,10.9342
MG+15_3,10.4758
MG+25_1,10.0566
MG+25_2,9.9392
MG+25_3,10.5322
MG+45_1,9.9415
MG+45_2,9.7551
MG+45_3,10.9991
MG+60_2,10.0622
MG+60_3,10.4421
MG+90_2,9.8138
MG+90_3,10.5003
MG+120_1,9.7506
MG+120_2,10.221
MG+120_3,10.0555
MG+150_1,10.0968
MG+150_3,10.0806
GM-0.1_1,10.0749
GM-0.1_2,10.6389
GM-0.1_3,10.3007
GM-0.2_1,10.2181
GM-0.2_2,10.6064
GM-0.2_3,10.1455
GM+5_1,9.6774
GM+5_2,10.244000000000002
GM+5_3,10.3434
GM+10_2,10.2378
GM+10_3,9.1708
GM+15_1,10.3102
GM+15_2,10.1189
GM+15_3,9.9707
GM+25_1,10.5158
GM+25_2,10.2294
GM+25_3,9.5783
GM+45_1,10.5091
GM+45_2,9.4389
GM+45_3,9.7195
GM+60_1,10.3956
GM+60_2,9.484
GM+60_3,9.567
GM+90_1,10.4124
GM+90_2,10.2472
GM+90_3,10.0368
GM+120_1,9.6117
GM+120_3,9.9318
GM+150_1,9.9153
GM+150_2,9.8806
GM+150_3,10.1696
BT_1,9.7444
BT_2,9.0682
B36_1,9.7578
B36_2,9.987
B60_1,9.4938
B60_2,9.8291
S0_1,8.9372
S0_2,8.801
S0_3,9.0638
S1_1,10.563
S1_2,10.5458
S1_3,10.6627
S2_1,10.764
S2_2,10.6903
S2_3,10.5486
S3_1,10.8953
S3_2,11.0619
S4_1,11.1324
S4_2,10.973
S4_3,10.6316
S5_1,11.2108
S5_2,11.6574
S5_3,11.6053
S6_1,10.7355
S6_2,9.6635
S6_3,11.04
S6/t_1,11.0194
S6/t_2,9.2197
S6_4,9.8821
S6_5,10.8084
S6_6,11.0423
S7_4,11.0558
S7_5,10.7198
S7_6,10.7768
S8_4,10.4709
S8_5,10.3843
G135_1,8.2642
G135_3,7.6144
G150_1,8.5536
G150_2,8.4884
G150_3,8.7395
G180_1,8.3716
G180_2,8.3428
G180_3,7.5871
T-5.40H_1,10.747
T-4.40H_1,10.4677
T-3.40H_1,10.3504
T-2.40H_1,10.1646
T-1.40H_1,10.1071
T-1.10H_1,10.0861
T-0.40H_1,10.0571
T0.0H_1,9.9621
T0.30H_1,9.6822
T1.0H_1,9.6139
T1.30H_1,9.6248
T2.0H_1,9.658
T2.30H_1,10.4259
T3.0H_1,9.8654
T3.30H_1,10.2163
T4.0H_1,10.2107
T5.0H_1,9.7414
LBexp_1,9.2142
LBexp_2,9.5705
LBexp_3,9.1345
LBtran_1,9.4687
LBtran_2,9.3808
LBtran_3,9.5029
LBstat_1,10.3323
LBstat_2,10.0908
LBstat_3,9.8757
LBGexp_1,8.748
LBGexp_2,9.1582
LBGexp_3,8.8399
LBGtran_2,9.5295
LBGtran_3,10.3668
LBGstat_1,8.4703
LBGstat_2,8.2652
LBGstat_3,8.9379
Mt0_1,9.2775
Mt0_3,9.3077
M0t45_1,9.7658
M0t45_2,9.521
M0t45_3,9.9637
M0t90_1,9.9499
M0t90_2,10.5591
M0t90_3,10.3954
M40t45_1,9.5979
M40t45_2,9.8827
M40t45_3,10.0788
M40t90_1,10.5139
M40t90_2,10.8074
M40t90_3,10.8978
dia0_1,9.0504
dia0_2,9.2912
dia0_3,9.6087
dia5_1,9.4343
dia5_2,9.4167
dia5_3,9.3703
dia15_1,9.5129
dia15_2,8.9849
dia15_3,9.3451
C30_1,9.41
C30_2,9.5125
C90_1,10.1361
C90_2,10.2353
SMM_1,10.1738
SMM_2,10.1431
SMM_3,10.185
Salt_1,8.7426
Salt_2,8.7075
Salt_3,8.8231
M+G_1,10.1794
M+G_2,9.8948
M+G_3,9.7881
Glu_1,10.5024
Glu_2,10.3355
Glu_3,10.4784
Fru_1,10.6454
Fru_2,10.4413
Fru_3,10.1008
Mal_1,9.4094
Mal_2,9.6982
Mal_3,10.1398
G+S_2,10.0179
G+S_3,10.3369
Pyr_1,9.9329
Pyr_2,9.9776
Pyr_3,10.0062
Gly_1,8.8307
Gly_2,9.5333
Gly_3,8.4626
Glucon_1,9.7816
Glucon_2,10.2598
Glucon_3,9.7432
BI_1,10.0179
BI_2,10.001
BC_2,10.3708
BC/t_1,9.8781
BC/t_2,10.5648
BC_1,9.8613
Sw_1,9.49
Sw_2,10.0025
BMM_1,10.4898
BMM_2,10.295
BMM_3,10.1696
Heat_1,10.3882
Heat_2,10.1061
Heat_3,9.9236
Cold_1,9.6906
Cold_2,9.4132
Cold_3,8.895
Etha_1,9.044
Etha_2,8.8679
Etha_3,9.1351
SMMPr_1,9.9927
SMMPr_2,9.883
SMMPr_3,9.8911
HiTm_1,9.7223
HiTm_2,10.1058
HiTm_3,10.1665
LoTm_1,10.9499
LoTm_2,10.8443
LoTm_3,10.8175
HiOs_1,10.3933
HiOs_2,10.0985
HiOs_3,10.273
Oxctl_1,8.5921
Oxctl_2,8.519
Oxctl_3,8.4979
Diami_1,8.681000000000001
Diami_2,8.9204
Diami_3,8.8807
Paraq_1,8.3928
Paraq_2,8.6181
Paraq_3,7.7956
H2O2_1,8.2242
H2O2_2,8.3765
H2O2_3,8.3879
HPh_1,9.783
HPh_2,9.4594
