,ygcU
Cr_1,-0.004507574851454382
Cr_2,-0.006763367202418916
Cr_3,0.0014928814655529425
Cr_4,0.0036195880592239217
Cr_5,0.007150652232528497
Cr_6,0.00409988819473416
Fe_1,-0.022956120696193637
Fe_2,-0.08505607010576068
Fe_3,-0.1205788005077822
Fe_4,-0.1351160653675844
Fe_5,-0.13520151235287942
Fe_6,-0.1232166043776024
Cd_1,0.0052656035461815355
Cd_2,0.015238076387774682
Cd_3,0.02157859962745897
Cd_4,0.030356008193740545
Cd_5,0.03918885761096443
Cd_6,0.04828738023754161
Zn_1,-0.0166909896682001
Zn_2,-0.06144207397921071
Zn_3,-0.03600985715684175
Zn_4,-0.02775210316976877
Zn_5,-0.045649573055452634
Zn_6,-0.06987792524988902
Cu_1,0.0088331958950826
Cu_2,0.008889428256961212
Cu_3,0.017144944932388054
Cu_4,0.026607075928278226
Cu_5,0.03550403294582364
Cu_6,0.04146603978501588
Pb_1,0.00591639219580565
Pb_2,0.003201775482732364
Pb_3,0.013488022045082777
Pb_4,0.033613126377213524
Pb_5,0.051476267771925134
Pb_6,0.07059590820045064
