,-0.07381048399240685,-0.06326612913634873,-0.05272177428029061,-0.04217741942423249,-0.03163306456817437,-0.021088709712116252,-0.010544354856058133,-1.3877787807814457e-17,0.010544354856058105,0.021088709712116224,0.03163306456817434,0.04217741942423246,0.05272177428029058,0.0632661291363487,0.07381048399240682,0.08435483884846494,0.09489919370452306,0.10544354856058118,0.1159879034166393,0.12653225827269743
thresh,-0.0790826614204359,0.0790826614204359,1,,,,,,,,,,,,,,,,,
unreg,0,3,6,6,43,280,1544,2278,894,298,117,47,23,16,5,3,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_5204' 'PP_2220' 'yjdM'],[],[],['infA'],[]
