,STM3970
SRX3136375,-0.0405476608
SRX3136376,-0.0501131802
SRX3136377,-0.0242565804
SRX3136378,0.1149174215
SRX3136379,0.0928400085
SRX3136380,0.1402067585
SRX3136381,0.057954026500000005
SRX3136382,0.10124673790000001
SRX8914620,0.0726558447
SRX8914621,0.0106992793
SRX8914622,-0.083355124
SRX8914623,-0.0328069368
SRX8914625,-0.0007823161000000001
ERX3503512,0.0670519869
ERX3503513,-0.0992346751
ERX3503514,0.0321826881
ERX3503515,-0.23755533180000002
ERX3503516,-0.1358172234
ERX3503517,-0.2478931073
ERX3503518,-0.1775654417
ERX3503519,0.0019655611000000003
ERX3503520,-0.45093233590000004
SRX2195704,-0.053931512200000004
SRX2195705,0.053931512200000004
SRX2195706,-0.0945293733
SRX2195707,-0.2233708097
SRX2195708,0.5218012421
SRX2195709,0.5553364820000001
SRX2195710,0.5667229586
SRX2195711,0.6389633667
ERX3467881,0.008193305
ERX3467883,-0.008193305
SRX3798491,-0.1263464365
SRX3798492,-0.15034093680000002
SRX3798499,-0.5957443531000001
SRX3798500,-0.1840195235
SRX3798501,-0.1210128962
SRX3798502,-0.24982443440000002
SRX3798503,-0.42465009410000004
SRX3798504,-0.6886029297
SRX3798506,-0.5219301119
SRX3798507,-0.0939473405
SRX3798508,-0.028397757500000002
SRX3798509,0.0887537751
SRX3798510,-0.2475270235
SRX3798517,-0.23685284010000002
SRX3798518,0.1587732484
SRX4341761,0.2015528536
SRX4341762,0.0826995538
SRX4341763,0.2428741506
SRX4341764,-0.4990618766
SRX4341765,-0.5826050547
SRX4341766,-0.5496994539
SRX4341767,0.036517469000000004
SRX4341768,-0.0671354257
SRX4341769,0.030617956600000003
SRX1258665,-0.3391897361
SRX1258666,-0.38046144390000003
SRX1258667,-0.5493460443
SRX1258669,0.019143160700000002
SRX1258670,-0.019143160700000002
ERX2079594,0.15233523670000002
ERX2079595,0.0721216858
ERX2079596,0.026316814
ERX2079597,0.0175183145
ERX2079598,-0.06661094990000001
ERX2079599,0.0490926354
SRX2804001,0.5605968079
SRX2804004,-0.5114705967000001
SRX2804005,-0.5654441673
SRX2804006,0.1814348376
SRX2804007,-0.45785187260000004
SRX2804008,-0.6023767316
SRX2804009,-0.44225342900000003
SRX2804010,0.3393813309
SRX2804011,0.2618391172
SRX2804012,-0.5661358280000001
SRX2804013,-0.5452996353
SRX2804014,-0.4307906634
SRX2804015,-0.3556430847
SRX2804016,-0.5560683724000001
SRX2804017,-0.7550021608
SRX2804019,-0.5113772392
SRX2804020,0.5673705756
SRX2804021,-0.2317131117
SRX2804022,0.16530652610000002
SRX2804023,-0.3999042349
SRX2804024,0.27023572560000003
SRX2804027,0.4107660616
SRX2804028,-0.4817403219
SRX2804029,0.07097426030000001
SRX2804030,-0.8646934524000001
SRX2804031,-1.0194680973
SRX2804032,-1.0299918293
SRX2804033,0.1663502308
SRX2804034,-0.5863412596
SRX2804035,-0.8918848984000001
SRX2804036,-1.0788823168
SRX2804037,-0.9911086143000001
SRX2804038,-0.6737330055
SRX2804039,0.3615446517
SRX2804040,0.0700833721
SRX2804041,-0.652926765
SRX2804042,-0.6865005251
SRX2804043,-0.407266169
SRX2804044,-1.1479694019
SRX2804045,-0.0659696301
SRX2804046,0.1086043945
SRX2804047,-1.0839778522
SRX2804048,0.2777019074
SRX2804049,-0.2972136651
SRX2804050,-0.9555293426
SRX2804051,-1.0900432482
SRX2804052,-0.7811172057
SRX2804053,-0.5879105486
SRX2804054,-0.0840337666
SRX2804055,-0.9924956008
SRX2804056,-1.0606088742
SRX2804057,-1.0611899157
SRX2804058,-0.5961910509
SRX2804059,-0.4818284612
SRX2070419,0.42143824100000005
SRX2070420,0.6531263506
SRX2070421,0.5248707059000001
SRX2070422,-0.2467125135
SRX2070423,-0.3354932009
SRX2070424,-0.2068748514
SRX2070425,0.0462051948
SRX2070426,0.011248729300000001
SRX2070427,-0.057453924100000005
SRX1470895,-0.055534548600000004
SRX1470896,0.055534548600000004
SRX2409106,-0.0179981781
SRX2409107,-0.0056172008
SRX2409108,0.0236153788
SRX2409109,0.5104082478
SRX2409110,0.44465847340000003
SRX2409111,0.28690137390000003
SRX7973255,0.0101563491
SRX7973256,-0.0794055469
SRX7973257,0.06924919780000001
SRX7973258,-0.0061293466
SRX7973259,-0.430184983
SRX7973260,0.1162825088
SRX7973261,-0.33523163980000004
SRX7973262,-0.3115770319
SRX7973264,-0.4009702925
SRX7973265,-0.31965546640000003
SRX7973266,-0.5777788616
ERX3475890,-0.2323234573
ERX3475891,0.3311799923
ERX3475892,-0.2873385222
ERX3475894,-0.32794639610000004
ERX3475895,-0.45723468370000003
ERX3475896,-0.2060992916
ERX3475897,0.24319759440000002
ERX3475899,-0.0370983028
ERX3475900,-0.2970668108
ERX3475901,-0.3183848007
SRX8524961,0.1587881033
SRX8524962,0.0716769274
SRX8524963,-0.4847811355
SRX8524964,-0.4322589772
SRX8524965,0.0308955773
SRX8524966,-0.0308955773
SRX8524967,-0.5332082218
SRX8524968,-0.7676341891
SRX8524969,0.4965139918
SRX8524970,0.531739262
SRX8524971,0.0744831062
SRX8524972,0.2608878693
SRX3266937,-0.050350378300000005
SRX3266939,0.050350378300000005
SRX4401053,0.0683721945
SRX4401054,-0.0683721945
SRX4401055,-0.1008059953
SRX4401056,-0.2145437291
SRX4401057,-0.125044167
SRX4401058,0.10498794880000001
SRX4401081,-0.3555700255
SRX4401082,-0.23631159040000002
SRX4401083,0.0171372491
SRX4401084,0.6148548197
SRX4401085,0.6531866101
SRX4401086,0.7686913823
SRX4401087,-0.2773103227
SRX4401088,-0.6001191507
SRX4401089,-0.17610271800000002
SRX4401090,0.8678019409000001
