,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,-3.333334129551613e-11,0.3734251200152772,3.0,0.0,0.3664250161,1.0,-0.380052166,2.0,0.0136271498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-11.929950435999999,5.277119555210719,3.0,3.0,-14.9012315785,4.0,-15.0515440762,5.0,-5.8370756533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-12.8892589189,0.14041586405844214,3.0,6.0,-13.0506945861,7.0,-12.8215989908,8.0,-12.7954831798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,4.229421046191072e-17,2.2042385854572637,21.0,9.0,-2.9766979477,10.0,-0.4718673229,11.0,2.357363557,12.0,-0.0322058468,13.0,-0.8713234507000001,14.0,0.6849657254,15.0,0.3062995026,16.0,3.9458056836,17.0,4.0131791964,18.0,-2.3256955551000003,19.0,-4.0140323172,20.0,1.0827532609,21.0,-0.5553269792000001,22.0,0.1640766441,23.0,-1.5407488753,24.0,-2.923643767,25.0,-1.3968880130999999,26.0,-1.2669454569,27.0,1.2473580248,28.0,2.2066115204,29.0,2.3669624167
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,-13.322974216171428,3.456954025664169,21.0,30.0,-8.7179752273,31.0,-19.0174849626,32.0,-12.9276997413,33.0,-15.4453531415,34.0,-8.6154837426,35.0,-13.024486907,36.0,-11.1800751244,37.0,-13.040204902,38.0,-9.7900762723,39.0,-15.8608432301,40.0,-12.3005863158,41.0,-15.0608160104,42.0,-12.7150280273,43.0,-13.9379488607,44.0,-17.1298837366,45.0,-8.3960616072,46.0,-22.0926986247,47.0,-9.893232384400001,48.0,-12.5186074685,49.0,-14.7264160958,50.0,-13.3914961571
5,WT_vs_Del_ccpA__THY_None_WT_exponential,0.0,1.0008860902695116,3.0,51.0,1.1217876005,52.0,-0.8016580007,53.0,-0.3201295998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-3.417447509675,1.4346637769713244,4.0,54.0,-5.2244451236,55.0,-1.7690784447999999,56.0,-3.0382682657,57.0,-3.6379982046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,0.0,0.3501091141988781,4.0,58.0,0.4629340068,59.0,-0.0860677525,60.0,0.0052154412,61.0,-0.38208169550000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.372141486525,0.47633232961909594,4.0,62.0,0.09390098320000001,63.0,-0.470120705,64.0,-0.11677199960000001,65.0,-0.9955742247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-0.13889820675,0.4351427809335054,4.0,66.0,-0.7056709957,67.0,0.3325721794,68.0,-0.1912238179,69.0,0.0087298072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,-0.12289359795,0.1919716759497402,4.0,70.0,-0.11429963900000001,71.0,-0.3713566216,72.0,0.0969985723,73.0,-0.1029167035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,9.71445146547012e-17,2.7019829532546358,6.0,74.0,-1.1320432033,75.0,-2.4803257374,76.0,-2.3012203666,86.0,4.6514101061,88.0,1.4503095045,90.0,-0.1881303033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,-11.289429087366665,8.431651257490625,6.0,77.0,-18.8218924154,78.0,-18.036043692,79.0,-19.6013982291,87.0,-2.4291374204,89.0,-2.0419849738,91.0,-6.8061177935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,3.1778161886333334,2.8348011614022197,3.0,80.0,4.0747257181,82.0,0.0030520877,84.0,5.4556707601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,-22.421107913666663,0.7390391012750507,3.0,81.0,-22.9609309897,83.0,-21.5788135683,85.0,-22.723579183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
