,ydgK
Cr_1,0.005802792076674828
Cr_2,0.007943655690332726
Cr_3,0.017113743770395342
Cr_4,0.025723079665550656
Cr_5,0.021621654747888644
Cr_6,0.015113984215571618
Fe_1,-0.00021997153086162559
Fe_2,-0.011645681289874813
Fe_3,-0.013319200169939505
Fe_4,-0.01221741163896766
Fe_5,0.01155081195216278
Fe_6,0.013733142941130372
Cd_1,0.001110908357692222
Cd_2,0.008957980426264183
Cd_3,0.009784119922334229
Cd_4,0.007248135434943278
Cd_5,0.004334829666410907
Cd_6,0.007142155400874149
Zn_1,-0.022684470506067658
Zn_2,-0.025671199573959382
Zn_3,-0.00819340725320953
Zn_4,0.013083574721899737
Zn_5,0.03784078322935981
Zn_6,0.033712171968038294
Cu_1,0.005278793304071346
Cu_2,0.004891948284775483
Cu_3,0.006736775862503368
Cu_4,0.01473130456674485
Cu_5,0.02068720694929252
Cu_6,0.033684040056763696
Pb_1,-0.002810775918721412
Pb_2,-0.0014172788387191964
Pb_3,0.007891944962635991
Pb_4,0.018100388906734783
Pb_5,0.023321836981892597
Pb_6,0.03671138056551368
