,A,ArgR
R2,,0.17444330738070468
xmin,,-3.7793584976
xmid,,-1.408797222205488
xmax,,2.4028450293
ystart,,-6.501848094490696
yend,,6.405417349078988
aat__00m_00s__1,-1.0628746433,-0.0583787237
aat__00m_30s__1,-0.0722357696,-0.0131581787
aat__01m_00s__1,0.6815112385000001,-0.0875909674
aat__02m_00s__1,3.0235698882,-0.23768591020000002
aat__05m_00s__1,7.6339577432,-0.1886116535
aat__10m_00s__1,9.2626305474,-0.0747215526
aat__00m_00s__2,0.8157557277,-0.06323962030000001
aat__00m_30s__2,1.5152137049,-0.1254944322
aat__01m_00s__2,1.8762309706,-0.1527282579
aat__02m_00s__2,5.3002987076,-0.14131584390000002
aat__05m_00s__2,1.9093394793,-0.4905410738
aat__10m_00s__2,-1.7829173808,-0.5168471425
aat__00m_00s__3,0.24711891560000002,0.121618344
aat__00m_30s__3,0.4667022236,0.2081089964
aat__01m_00s__3,1.8254271888,-0.052939910300000004
aat__02m_00s__3,3.9148963811,0.0271866251
aat__05m_00s__3,3.1267005107,-0.1351088164
aat__10m_00s__3,-1.8112197974000002,-0.5500112825
abx_mega__dmso-2__1,0.8466885908,1.5976385374
abx_mega__ery_dmso__1,1.3226663552,0.0297902829
abx_mega__nal_naoh__1,1.7444087770999999,1.1107730127
abx_mega__dmso-5__1,0.43974843750000003,0.1900290871
abx_mega__rif_dmso__1,2.6030367991,0.6687011066
abx_mega__novo_h2o__1,1.2346832097,-1.9989350623000002
abx_mega__rach_dmso__1,0.6984098454000001,0.22026550490000002
abx_mega__metro_dmso__1,1.4437640948000001,0.1051962433
abx_mega__dmso-6__1,1.2442035446,-0.034011771600000004
abx_mega__chl_h2o__1,0.2090634149,-0.36295747370000003
abx_mega__cst_h2o__1,0.14421829800000002,-0.0332195354
abx_mega__tec_h2o__1,2.8594902276000003,0.9613573160000001
abx_mega__str_h2o__1,-0.13281018790000002,1.6385813446
abx_mega__ctx_h2o__1,0.6786702913,-0.1757073973
abx_mega__nal_naoh__2,-0.6724236387,-0.4169770313
abx_mega__phos_h2o__1,-0.8019389846,-0.4513131969
abx_mega__dmso-5__2,1.4086835913,0.2276200977
abx_mega__polmyx_h2o__1,1.154227482,-0.2786004173
abx_mega__h2o-8b__1,-0.3941759173,-0.3437768536
abx_mega__h2o-6__1,-0.1610631664,-0.2480173803
abx_mega__thio_dmso__1,-0.35880103750000003,-0.3200426361
abx_mega__phos_h2o__2,-0.4841214177,-0.49734556220000004
abx_mega__ctx_h2o__2,-0.5849687157,0.0016889905
abx_mega__lzd_dmso__1,0.4580865136,-0.040309280100000004
abx_mega__naoh-9__1,0.1639040347,-0.290985849
abx_mega__dox_dmso__1,-0.6535720343,-0.34144699710000004
abx_mega__phos_ethanol__1,0.06655473070000001,0.2076746927
abx_mega__teix_dmso__1,3.1126900657,-0.008881390500000001
abx_mega__dmso-10__1,-0.22009225740000002,-0.3502541664
abx_mega__van_dmso__1,0.8874434750000001,1.1391178527
abx_mega__ramo_h2o__1,0.9754252822,-0.4612621676
abx_mega__tec_h2o__2,0.9949161233,-0.3951761429
abx_mega__h2o-7__1,-1.1542401147999999,0.5788442827
abx_mega__cro_h2o__1,-0.8343456291,0.0388485992
abx_mega__tric_ethanol__1,3.3019872989,0.2997925108
abx_mega__nor_naoh__1,-0.43092630600000004,-0.7844125351
abx_mega__teix_dmso__2,1.7293161097,0.2972308097
abx_mega__nal_naoh__3,-0.9793179135000001,-0.2652503171
abx_mega__novo_h2o__2,1.5004286631000001,-1.6198914233
abx_mega__dmso-10__2,0.56463735,-0.0501388867
abx_mega__phos_h2o__3,-0.4798989122,-0.1343893817
abx_mega__dmso-6__2,2.6589971314,0.20309435050000002
abx_mega__rfp_ethanol__1,1.3615240144,0.44559000320000003
abx_mega__dmso-5__3,0.9873064614,0.08753865470000001
abx_mega__amyc-d_dmso__1,2.0825726922,0.3187975715
abx_mega__sxt_dmso__1,-0.5160187129,0.4218407289
abx_mega__dmso-1__1,0.8413019434000001,0.15373844450000002
abx_mega__pen_h2o__1,-0.2289136212,-0.1511790997
abx_mega__dmso-10__3,0.7123412368,-0.2346477129
abx_mega__nal_naoh__4,-0.5356081863000001,-0.46631842160000003
abx_mega__cip_naoh__1,-0.8537874746,-0.3664711084
abx_mega__pen_h2o__2,0.1181919414,-0.1793531932
abx_mega__ery_dmso__2,3.1667216194,0.1489799943
abx_mega__dmso-2__2,2.7849842699,1.5501924288
abx_mega__van_dmso__2,3.3227133091,1.1825516275
abx_mega__h2o-1b__1,-0.3746499338,-0.311928184
abx_mega__ery_h2o__1,-1.3497403121,-0.5193190371
abx_mega__bacit_h2o__1,2.1585164096,-0.15828179920000002
abx_mega__chl_h2o__2,0.3504416449,-0.4101693502
abx_mega__str_h2o__2,0.1464221967,2.0288223657
abx_mega__rfp_ethanol__2,1.467592453,0.6757739267
abx_mega__polmyx_h2o__2,-0.271084266,-0.8759227256000001
abx_mega__tric_h2o__1,2.5345232371,0.7183462618
abx_mega__cip_naoh__2,0.5886264612000001,-0.5121201941
abx_mega__novo_h2o__3,1.8842137724999999,-1.6824643862
abx_mega__bacit_dmso__1,2.3231212835,0.2160795164
abx_mega__gen_h2o__1,2.9599565047,1.7140744410000002
abx_mega__bacit_dmso__2,3.2050686357,0.0065176589
abx_mega__chl_dmso__1,2.6369285968,0.1269063832
abx_mega__bacit_h2o__2,2.162418617,-0.12209469440000001
abx_mega__lvx_dmso__1,0.7089744135,0.3807995192
abx_mega__bacit_h2o__3,3.1054863883,-0.08447442470000001
abx_mega__nor_naoh__2,-0.6667789199,-0.791441825
abx_mega__amyc-d_dmso__2,3.4076448088999998,0.7167320923
abx_mega__polmyx_h2o__3,2.6633825809,1.1751549561
abx_mega__naoh-6__1,-0.2625790814,-0.0473290579
abx_mega__cst_h2o__2,2.0107425022,-0.3096924813
abx_mega__h2o-1b__2,0.1671257598,-0.5632048228000001
abx_mega__rfp_h2o__1,2.0226885539,0.2005178448
abx_mega__tet_h2o__1,-0.7416231214,-0.15178060840000002
abx_mega__flavo_dmso__1,3.3547313662000002,0.11170401190000001
abx_mega__zeocin_h2o__1,0.180195657,-0.1880702195
abx_mega__nor_naoh__3,-0.3358603774,-0.789797488
abx_mega__rach_dmso__2,1.0277454555,0.7778158108000001
abx_mega__thio_dmso__2,0.5742108429,-0.2367394311
abx_mega__amyc-d_dmso__3,2.3914797393000002,0.6341918942
abx_mega__rif_dmso__2,3.9373922764,0.1096063387
abx_mega__amyc-d_dmso__4,1.2859236032,0.1923868785
abx_mega__teix_dmso__3,0.7414563832000001,-0.1178705679
abx_mega__valin_dmso__1,4.1101916364,0.0583027355
abx_mega__teix_dmso__4,0.7466723839,0.0331448763
abx_mega__ethanol-10__1,0.0948341353,0.1606146014
abx_mega__inh_h2o__1,-0.8225380224000001,-0.2603505538
abx_mega__rif_dmso__3,0.0368753542,0.6298231310000001
abx_mega__van_dmso__3,2.2627387887,0.557409307
abx_mega__doxo_dmso__1,-1.3642164979,-0.1268373082
abx_mega__tmp_dmso__1,-1.6927379549000001,-0.543615127
abx_mega__ethanol-10__2,-0.3430074147,-0.3176808927
abx_mega__tmp_dmso__2,-1.1520342341,-0.5780173683000001
abx_mega__amyc-d_dmso__5,0.4012020133,0.6766792793
abx_mega__novo_h2o__4,2.5724038291999998,-0.6566205223
abx_mega__cro_h2o__2,0.1281102894,-0.017438494000000002
abx_mega__cro_h2o__3,-0.6597453197,-0.5652235872
abx_mega__gen_h2o__2,2.0775938441,1.9621189231
