,dkgB
Cr_1,0.005087630863662536
Cr_2,0.007371006584129943
Cr_3,0.0004188796497185217
Cr_4,-0.0069457728992226245
Cr_5,-0.004233421415626311
Cr_6,-0.0020852210294942147
Fe_1,0.08718055242490783
Fe_2,-0.19563287552428715
Fe_3,-0.13218277098810982
Fe_4,-0.16506862913081133
Fe_5,-0.22963742010375815
Fe_6,-0.2302642987524219
Cd_1,0.003508918194135788
Cd_2,0.008504514083445167
Cd_3,0.014229262057474457
Cd_4,0.02136745568461435
Cd_5,0.023215301634681274
Cd_6,0.02479192814344816
Zn_1,-0.011424280388647798
Zn_2,-0.022564804519101908
Zn_3,-0.027264726696808784
Zn_4,-0.03528145341051832
Zn_5,-0.04212190920579932
Zn_6,-0.048367977407243926
Cu_1,0.007916261805475942
Cu_2,0.018637859160337587
Cu_3,0.02786066557168366
Cu_4,0.03977044274743588
Cu_5,0.04569791319360048
Cu_6,0.055112159238608835
Pb_1,0.003849063806843988
Pb_2,0.004712385196988426
Pb_3,0.007813434303592772
Pb_4,0.008020592788474029
Pb_5,0.01532226373860901
Pb_6,0.02775497922551396
