,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A
48,rpoB__wt_031,-3.1632378652,,1.0,88.0,-3.1632378652,,,,,,,,,,
49,rpoB__wt_044,-3.0980496617,,1.0,89.0,-3.0980496617,,,,,,,,,,
50,rpoB__wt_lb,-7.5404235511,0.8928637170479048,2.0,90.0,-6.9090735621,91.0,-8.1717735401,,,,,,,,
51,rpoB__rpoBE546V_031,-3.004047099,,1.0,92.0,-3.004047099,,,,,,,,,,
52,rpoB__rpoBE546V_044,-3.0441251959,,1.0,93.0,-3.0441251959,,,,,,,,,,
53,rpoB__rpoBE546V_lb,-7.3939022226999995,0.033935317746117626,2.0,94.0,-7.417898116,95.0,-7.3699063294,,,,,,,,
54,rpoB__rpoBE546V_glc,-1.0169247552,,1.0,96.0,-1.0169247552,,,,,,,,,,
55,rpoB__rpoBE672K_glc,-7.79204916555,0.34591316609855893,2.0,97.0,-7.5474516201,98.0,-8.036646711,,,,,,,,
56,rpoB__rpoBE672K_lb,-5.25011280215,0.44098276108560724,2.0,99.0,-4.9382909014,100.0,-5.5619347029,,,,,,,,
57,crp__wt_fru,-3.7435305671,,1.0,101.0,-3.7435305671,,,,,,,,,,
58,crp__wt_glyc,-3.29736893315,0.11712707706044527,2.0,102.0,-3.3801902836,103.0,-3.2145475827,,,,,,,,
59,crp__delar1_glyc,-9.0278128081,0.04256872696014932,2.0,104.0,-8.9977121726,105.0,-9.0579134436,,,,,,,,
60,crp__delar1ar2_glyc,-7.693722830933333,1.0155350594084092,3.0,106.0,-8.0870521101,107.0,-6.5403552513,108.0,-8.4537611314,,,,,,
61,crp__delar2_glyc,-7.8854630594333335,0.7818342637557044,3.0,109.0,-7.669651232,110.0,-8.7525354617,111.0,-7.2342024846,,,,,,
62,crp__delcrp_fru,-8.4511961487,0.4963970551829772,3.0,112.0,-8.1861900158,113.0,-9.0238569693,114.0,-8.143541461,,,,,,
63,crp__delcrp_glc,-7.753288738166667,0.24607375366933976,3.0,115.0,-7.4701193948,116.0,-7.9152114156,117.0,-7.8745354041,,,,,,
64,crp__delcrp_glyc,-8.438820919933333,0.5464136090358481,3.0,118.0,-8.7272129959,119.0,-7.808630705,120.0,-8.7806190589,,,,,,
65,glu__glu_ale3,-3.7775613850000003,,1.0,121.0,-3.7775613850000003,,,,,,,,,,
66,glu__glu_ale4,-5.1423347938,,1.0,122.0,-5.1423347938,,,,,,,,,,
67,glu__glu_ale5,-3.6194935355,,1.0,123.0,-3.6194935355,,,,,,,,,,
68,glu__glu_ale6,-3.1425860357,,1.0,124.0,-3.1425860357,,,,,,,,,,
69,glu__glu_ale8,-3.6511795645,,1.0,125.0,-3.6511795645,,,,,,,,,,
70,glu__glu_ale9,-4.3585780974,,1.0,126.0,-4.3585780974,,,,,,,,,,
71,glu__glu_ale10,-2.0879999843,,1.0,127.0,-2.0879999843,,,,,,,,,,
72,42c__wt_42c,-9.1078322208,,1.0,128.0,-9.1078322208,,,,,,,,,,
73,42c__42c_ale1,-4.1273986848,,1.0,129.0,-4.1273986848,,,,,,,,,,
74,42c__42c_ale2,-2.3853566526,,1.0,130.0,-2.3853566526,,,,,,,,,,
75,42c__42c_ale3,-3.5526273239,,1.0,131.0,-3.5526273239,,,,,,,,,,
76,42c__42c_ale4,-4.7178786531,,1.0,132.0,-4.7178786531,,,,,,,,,,
77,42c__42c_ale5,-0.6635814014,,1.0,133.0,-0.6635814014,,,,,,,,,,
78,42c__42c_ale6,-3.9511704428,,1.0,134.0,-3.9511704428,,,,,,,,,,
79,42c__42c_ale8,-3.5087846343,,1.0,135.0,-3.5087846343,,,,,,,,,,
80,42c__42c_ale9,-5.341813189,,1.0,136.0,-5.341813189,,,,,,,,,,
81,42c__42c_ale10,-2.3553721218,,1.0,137.0,-2.3553721218,,,,,,,,,,
82,ssw__wt_ac,-4.6401430961,,1.0,138.0,-4.6401430961,,,,,,,,,,
83,ssw__wt_glc,-0.4504152683,,1.0,139.0,-0.4504152683,,,,,,,,,,
84,ssw__wt_glyc,-5.0689989144,,1.0,140.0,-5.0689989144,,,,,,,,,,
85,ssw__wt_xyl,-6.2304573482,,1.0,141.0,-6.2304573482,,,,,,,,,,
86,ssw__glc_ale1,-2.927026002,,1.0,142.0,-2.927026002,,,,,,,,,,
87,ssw__glc_ale2,-2.2949109447,,1.0,143.0,-2.2949109447,,,,,,,,,,
88,ssw__glc_ale3,-4.3545567804,,1.0,144.0,-4.3545567804,,,,,,,,,,
89,ssw__glyc_ale1,-3.3747200669,,1.0,145.0,-3.3747200669,,,,,,,,,,
90,ssw__glyc_ale2,-3.8221352067,,1.0,146.0,-3.8221352067,,,,,,,,,,
91,ssw__xyl_ale1,-2.0720391984,,1.0,147.0,-2.0720391984,,,,,,,,,,
92,ssw__xyl_ale2,-2.3170046985,,1.0,148.0,-2.3170046985,,,,,,,,,,
93,ssw__xyl_ale3,-1.7650416666000002,,1.0,149.0,-1.7650416666000002,,,,,,,,,,
94,ssw__glc_ac_ac2,-0.8360275134,,1.0,150.0,-0.8360275134,,,,,,,,,,
95,ssw__glc_ac_glc1,-1.7527095075,,1.0,151.0,-1.7527095075,,,,,,,,,,
96,ssw__glc_glyc_glc,-2.5876349705,,1.0,152.0,-2.5876349705,,,,,,,,,,
97,ssw__glc_glyc_glyc,-2.054723229,,1.0,153.0,-2.054723229,,,,,,,,,,
98,ssw__glc_xyl_glc,-0.6651037623,,1.0,154.0,-0.6651037623,,,,,,,,,,
99,ssw__glc_xyl_xyl,-2.3742990173000003,,1.0,155.0,-2.3742990173000003,,,,,,,,,,
100,ica__wt_glc,-6.331998365083334,0.8105997175990195,6.0,156.0,-7.2607467673,157.0,-7.0343604934,158.0,-5.7279935596,159.0,-5.3272463447,180.0,-5.7940981103,181.0,-6.8475449152
101,ica__arg_sbt,-7.55817735425,0.38131453724365694,2.0,160.0,-7.2885472592,161.0,-7.8278074493,,,,,,,,
102,ica__cytd_rib,-6.57951532025,0.2972062534845877,2.0,162.0,-6.369358763,163.0,-6.7896718775,,,,,,,,
103,ica__gth,-6.00792734845,1.1802167882616208,2.0,164.0,-6.8424666427,165.0,-5.1733880542,,,,,,,,
104,ica__leu_glcr,-6.82394337755,0.22834106099090484,2.0,166.0,-6.9854048902,167.0,-6.6624818649,,,,,,,,
105,ica__met_glc,-5.38607550675,0.04545474885146153,2.0,168.0,-5.4182168679,169.0,-5.3539341456,,,,,,,,
106,ica__no3_anaero,-7.46277211475,0.7666656704102237,2.0,170.0,-6.9206576203,171.0,-8.0048866092,,,,,,,,
107,ica__phe_acgam,-6.98300090565,0.5864829738361582,2.0,172.0,-6.5682948178,173.0,-7.3977069935,,,,,,,,
108,ica__thm_gal,-7.97256990995,0.17914800256537294,2.0,174.0,-8.0992466774,175.0,-7.8458931425,,,,,,,,
109,ica__tyr_glcn,-6.5197915252000005,0.021776575489999964,2.0,176.0,-6.5351898894,177.0,-6.504393161,,,,,,,,
110,ica__ura_pyr,-6.46526982265,0.2116803172200259,2.0,178.0,-6.3155892349,179.0,-6.6149504104,,,,,,,,
111,ica__bw_delpurR_cytd,-5.795358127649999,0.631848257628476,2.0,182.0,-5.34857394,183.0,-6.2421423153,,,,,,,,
112,ica__ade_glc,-7.643106401300001,1.0474792540627547,2.0,184.0,-6.9024267176,185.0,-8.383786085,,,,,,,,
113,ytf__wt_glc,-6.2252100843000004,0.8193709734020336,2.0,186.0,-5.6458273127,187.0,-6.8045928559,,,,,,,,
114,ytf__delyafC,-7.2703629759,0.30785152369026847,2.0,188.0,-7.4880468759,189.0,-7.0526790759,,,,,,,,
115,ytf__delyeiE,-6.646885877,0.6394281649248051,2.0,190.0,-7.0990298685,191.0,-6.1947418855,,,,,,,,
116,ytf__delyiaJ,-6.91128934695,0.2965615569378581,2.0,192.0,-7.1209900349,193.0,-6.7015886590000004,,,,,,,,
117,ytf__delyieP,-5.92486339555,0.4513887359620643,2.0,194.0,-6.2440434317,195.0,-5.6056833594,,,,,,,,
118,ytf__wt_ph5,-5.9092841035,0.4674354131427865,2.0,196.0,-6.2398108539,197.0,-5.5787573531,,,,,,,,
119,ytf__wt_ph8,-6.3263114628,1.0853150760514865,2.0,198.0,-5.5588778128000005,199.0,-7.0937451128,,,,,,,,
120,ytf__delybaO,-6.684338971000001,0.06157858368566926,2.0,200.0,-6.7278816051,201.0,-6.6407963369,,,,,,,,
121,ytf__delybaQ,-4.2548705233,0.30363364899389655,2.0,202.0,-4.4695719355,203.0,-4.0401691111,,,,,,,,
122,ytf__delybiH,-6.67994005425,0.6224296766203512,2.0,204.0,-7.1200642994,205.0,-6.2398158090999996,,,,,,,,
123,ytf__delydcI_ph5,-5.61411581455,0.5811285751785087,2.0,206.0,-6.0250357708,207.0,-5.2031958583,,,,,,,,
124,ytf__delydcI_ph8,-6.1506809604,0.6869757735668587,2.0,208.0,-6.6364461884,209.0,-5.6649157324,,,,,,,,
125,ytf__delyddM,-5.6840034695499995,0.054567878963419046,2.0,210.0,-5.7225887868,211.0,-5.6454181522999995,,,,,,,,
126,ytf__delyheO,-6.5117639693000005,0.15682233765870932,2.0,212.0,-6.4008738309,213.0,-6.6226541077,,,,,,,,
127,fps__bw_glc,-5.5984346146,0.04996390197349781,2.0,214.0,-5.5631048007,215.0,-5.6337644285,,,,,,,,
128,fps__fps_thrA_ale1,-5.5741805313,0.8014248876938659,2.0,216.0,-6.140873504,217.0,-5.0074875586,,,,,,,,
129,fps__fps_thrA_ale2,-4.91566330715,0.3542589300722804,2.0,218.0,-5.1661621989,219.0,-4.6651644154,,,,,,,,
130,fps__fps_serB_ale1,-6.455286935449999,0.19284546277604564,2.0,220.0,-6.5916492698999996,221.0,-6.318924601,,,,,,,,
131,fps__fps_serB_ale4,-6.125206517900001,0.6379060406450832,2.0,222.0,-6.576274205,223.0,-5.6741388308000005,,,,,,,,
132,fps__fps_ptsI_ale1,-6.0032880713,0.37972223735351734,2.0,224.0,-6.2717922403,225.0,-5.7347839023,,,,,,,,
133,fps__fps_ptsI_ale3,-5.434976900100001,0.3233003372084606,2.0,226.0,-5.2063690393,227.0,-5.6635847609,,,,,,,,
134,pal__lyx_ale2_f6,-3.7309783199,,1.0,228.0,-3.7309783199,,,,,,,,,,
135,pal__lyx_ale2,-2.9856485705,0.13298884468651584,2.0,229.0,-3.0796858844,230.0,-2.8916112566,,,,,,,,
136,pal__lyx_ale4,-2.5910001660999997,0.26206451222126304,2.0,231.0,-2.4056925724,232.0,-2.7763077598,,,,,,,,
137,pal__5drib_ale10_f18,-2.47321687495,0.7972438647866341,2.0,233.0,-1.9094803319,234.0,-3.036953418,,,,,,,,
138,pal__5drib_ale10,-4.2845685844,,1.0,235.0,-4.2845685844,,,,,,,,,,
139,pal__arab_ale14_f9,-2.6407276830999997,0.11058865079582628,2.0,236.0,-2.5625296982,237.0,-2.718925668,,,,,,,,
140,pal__arab_ale14,-3.2911554568,0.22970323114062943,2.0,238.0,-3.1287307444,239.0,-3.4535801692,,,,,,,,
141,pal__arab_ale16,-2.0268736156,0.3869230667550625,2.0,240.0,-1.7532776913,241.0,-2.3004695399,,,,,,,,
142,pal__tartr_ale26_f10,-3.11434744515,1.0871894927382793,2.0,242.0,-2.3455883824,243.0,-3.8831065079,,,,,,,,
143,pal__tartr_ale26,-2.94307113285,0.7144597456727251,2.0,244.0,-3.4482704639,245.0,-2.4378718018,,,,,,,,
144,pal__tartr_ale28_f10,-3.8428864146999997,0.0844484943275438,2.0,246.0,-3.9026005177,247.0,-3.7831723117,,,,,,,,
145,pal__tartr_ale28,-2.97171558245,1.476326003546832,2.0,248.0,-4.0156357108,249.0,-1.9277954541,,,,,,,,
146,efeU__delmenFentC_citr,-6.5246908638,0.28614087926080983,2.0,250.0,-6.3223587077,251.0,-6.7270230199,,,,,,,,
147,efeU__delmenFentC,-6.65251516155,0.6769356551025912,2.0,252.0,-6.1738493694,253.0,-7.1311809537,,,,,,,,
148,efeU__menFentC_ale39,-7.17283615075,0.030489974815150662,2.0,254.0,-7.1943958187,255.0,-7.1512764828,,,,,,,,
149,efeU__menFentC_ale29,-7.80380440745,0.2615775418524847,2.0,256.0,-7.9887676611,257.0,-7.6188411538,,,,,,,,
150,efeU__menFentC_ale30,-7.63625823135,0.7903782701845664,2.0,258.0,-8.1951400659,259.0,-7.0773763968,,,,,,,,
151,efeU__menFentCubiC_ale36,-7.2093325335,0.24582498361607705,2.0,260.0,-7.3831570464,261.0,-7.0355080206,,,,,,,,
152,efeU__menFentCubiC_ale37,-5.5026363556,0.016292308893812026,2.0,262.0,-5.5141567577,263.0,-5.4911159535,,,,,,,,
153,efeU__menFentCubiC_ale38,-5.3533283113,0.026180290717812083,2.0,264.0,-5.3348160502,265.0,-5.3718405724,,,,,,,,
154,misc2__salc_glc,-1.3600168389,0.9717791757659825,2.0,266.0,-0.6728651939,267.0,-2.0471684839,,,,,,,,
155,misc2__dbcn_glc,-1.06784757755,0.38268957199918324,2.0,268.0,-1.338449969,269.0,-0.7972451861000001,,,,,,,,
156,misc2__tyr_glc,-5.940603132,0.21839305591280922,2.0,270.0,-5.7861759212,271.0,-6.0950303428,,,,,,,,
157,misc2__arg_cytd,-7.24803182385,0.2628116216594069,2.0,272.0,-7.4338677037,273.0,-7.062195944,,,,,,,,
158,misc2__delyheO_pyr,-6.7362679386,0.008147097515220234,2.0,274.0,-6.7420288065000005,275.0,-6.7305070707,,,,,,,,
159,nquinone__delubiC,-7.1329509553,0.10619093395483944,2.0,276.0,-7.0578626258,277.0,-7.2080392848,,,,,,,,
160,nquinone__ubiC_ale1,-6.2015127053,0.04896463380240947,2.0,278.0,-6.1668894807,279.0,-6.2361359299,,,,,,,,
161,nquinone__ubiC_ale2,-6.78363970275,0.058708182348838206,2.0,280.0,-6.7421267489000005,281.0,-6.8251526566,,,,,,,,
162,nquinone__ubiC_ale3,-5.90199443675,0.07006450053677223,2.0,282.0,-5.9515375202000005,283.0,-5.8524513533,,,,,,,,
163,nquinone__ubiC_ale4,-6.7239113539,0.026861588808592244,2.0,284.0,-6.7429053655,285.0,-6.7049173423,,,,,,,,
164,nquinone__delpdhR,-6.1450373139500005,0.7233016617260667,2.0,286.0,-5.6335858041,287.0,-6.6564888238,,,,,,,,
165,quinone__glu_ale4,-8.823639992,1.7175395419940076,2.0,288.0,-7.6091561349,289.0,-10.0381238491,,,,,,,,
166,quinone__delmenF,-6.5402801860499995,0.10415655571342919,2.0,290.0,-6.4666303792,291.0,-6.6139299929,,,,,,,,
167,quinone__menF_ale5,-7.5615794016999995,0.58856969919258,2.0,292.0,-7.9777610272,293.0,-7.1453977762,,,,,,,,
168,quinone__menF_ale6,-7.897315341600001,0.389445793940633,2.0,294.0,-8.1726951034,295.0,-7.6219355798,,,,,,,,
169,quinone__menF_ale7,-6.88157558245,0.07874616611166432,2.0,296.0,-6.9372575305,297.0,-6.8258936344,,,,,,,,
170,quinone__menF_ale8,-6.031525402750001,0.49251097149091416,2.0,298.0,-6.3797832505,299.0,-5.6832675550000005,,,,,,,,
171,quinone__delmenFubiC,-6.36964466405,0.23469355571944128,2.0,300.0,-6.2036912593,301.0,-6.5355980688,,,,,,,,
172,quinone__menFubiC_ale1,-7.1306719077,0.6969535401329784,2.0,302.0,-7.6234924821,303.0,-6.6378513333,,,,,,,,
173,quinone__menFubiC_ale2,-8.64902148105,0.07177295904988722,2.0,304.0,-8.6997726271,305.0,-8.598270335,,,,,,,,
174,quinone__menFubiC_ale3,-6.95656471795,0.679263243585391,2.0,306.0,-7.4368763637,307.0,-6.4762530722000005,,,,,,,,
175,quinone__menFubiC_ale4,-7.2669047068,0.9638888792104354,2.0,308.0,-7.9484770696,309.0,-6.585332344,,,,,,,,
176,oxyR__wt_glc,-0.5816778351,0.36563014989923087,2.0,310.0,-0.8402173935,311.0,-0.3231382767,,,,,,,,
177,oxyR__wt_h2o2,-2.0316710977000003,0.3048482082695958,2.0,312.0,-2.247231333,313.0,-1.8161108624,,,,,,,,
178,oxyR__glu_ale4,-2.8358441066999998,0.8165386734534467,2.0,314.0,-2.2584640736,315.0,-3.4132241398,,,,,,,,
179,oxyR__glu_ale4_h2o2,-3.3869526338,0.27090342264652023,2.0,316.0,-3.1953949866,317.0,-3.578510281,,,,,,,,
180,oxyR__oxyR_ale17,-1.53582351835,0.2891099692283495,2.0,318.0,-1.3313918986,319.0,-1.7402551381,,,,,,,,
181,oxyR__oxyR_ale17_h2o2,-0.7910582500000001,0.7457645073281789,2.0,320.0,-1.3183933903,321.0,-0.2637231097,,,,,,,,
182,oxyR__oxyR_ale18,-1.7769941820500001,1.0933016144361476,2.0,322.0,-2.5500751675,323.0,-1.0039131966,,,,,,,,
183,oxyR__oxyR_ale18_h2o2,-1.57944732095,0.3234797298452942,2.0,324.0,-1.8081820315,325.0,-1.3507126104,,,,,,,,
184,oxyR__oxyR_ale19,-1.21448197345,0.4988017376359311,2.0,326.0,-0.8617758823,327.0,-1.5671880646,,,,,,,,
185,oxyR__oxyR_ale19_h2o2,-1.1158981643,0.7398388829225283,2.0,328.0,-1.6390432554,329.0,-0.5927530732,,,,,,,,
186,oxyR__oxyR_ale20,-2.034546099,0.19241401556309717,2.0,330.0,-2.1706033542,331.0,-1.8984888438,,,,,,,,
187,oxyR__oxyR_ale20_h2o2,-1.3204464337,0.11129394243390583,2.0,332.0,-1.3991431351,333.0,-1.2417497323,,,,,,,,
188,svns_pgi__BmePgi24_15,-1.97381988525,1.0928527726085135,2.0,334.0,-1.2010562788999999,335.0,-2.7465834916,,,,,,,,
189,svns_pgi__BmePgi24_26,-2.015182495,1.5344350063781313,2.0,336.0,-3.1001918933,337.0,-0.9301730967,,,,,,,,
190,svns_pgi__BmePgi24_41,-1.9043314166499998,0.6179879675552367,2.0,338.0,-2.3413148992,339.0,-1.4673479341,,,,,,,,
191,svns_pgi__BmePgi24_52,-1.31531952535,0.15680859086648707,2.0,340.0,-1.4261999432999999,341.0,-1.2044391074,,,,,,,,
192,svns_pgi__PaePgi2_34,-1.9723618759000001,0.34993423579503286,2.0,342.0,-1.7249210048,343.0,-2.219802747,,,,,,,,
193,svns_pgi__PaePgi2_63,-2.9013869619,1.0279628318374676,2.0,344.0,-2.1745074727,345.0,-3.6282664511,,,,,,,,
194,svns_pgi__PaePgi24_54,-3.99824909195,0.5690641307028319,2.0,346.0,-4.4006381977,347.0,-3.5958599862,,,,,,,,
195,svns_pgi__PaePgi24_90,-2.77125578835,1.1693042451983913,2.0,348.0,-1.9444328273,349.0,-3.5980787494,,,,,,,,
196,abx_media__m9_ctrl,-1.76506649265,0.7689421845702192,2.0,350.0,-1.2213422596,351.0,-2.3087907256999998,,,,,,,,
197,abx_media__rpmi_ctrl,-0.1300938966,0.09078326217191886,2.0,352.0,-0.0659004363,353.0,-0.1942873569,,,,,,,,
198,abx_media__camhb_ctrl,-0.7173852483000001,0.3120584158869582,2.0,354.0,-0.49672662630000003,355.0,-0.9380438703,,,,,,,,
199,abx_media__m9_mero,-1.1830182547,0.4505453160347389,2.0,356.0,-1.5016019029,357.0,-0.8644346065,,,,,,,,
200,abx_media__rpmi_mero,0.05895624615,0.1085108832095298,2.0,358.0,-0.0177725352,359.0,0.1356850275,,,,,,,,
201,abx_media__camhb_mero,-0.9140186882000001,0.035014086781142394,2.0,360.0,-0.9387773864000001,361.0,-0.88925999,,,,,,,,
202,abx_media__m9_trisulf,-3.1463768879,0.011600483715111989,2.0,362.0,-3.1381741072000002,363.0,-3.1545796686,,,,,,,,
203,abx_media__rpmi_trisulf,-1.2541105476,0.17085474827051259,2.0,364.0,-1.3749230987,365.0,-1.1332979965,,,,,,,,
204,abx_media__camhb_trisulf,-0.3305344968,0.020799202738970703,2.0,366.0,-0.3158272395,367.0,-0.3452417541,,,,,,,,
205,abx_media__m9_cef,-2.1302641143,0.15292536117182565,2.0,368.0,-2.2383986742,369.0,-2.0221295544,,,,,,,,
206,abx_media__rpmi_cef,2.72664121495,9.044482630010708e-05,2.0,370.0,2.7267051691,371.0,2.7265772608,,,,,,,,
207,abx_media__camhb_cef,0.63374054925,0.17476633733116156,2.0,372.0,0.510162087,373.0,0.7573190115,,,,,,,,
208,abx_media__m9_cipro,-2.16443484715,0.41896382630199,2.0,374.0,-2.4606870098,375.0,-1.8681826845,,,,,,,,
209,abx_media__rpmi_cipro,0.7671453559500001,0.0392111427689523,2.0,376.0,0.7948718209000001,377.0,0.739418891,,,,,,,,
210,abx_media__camhb_cipro,-1.4505152807,0.11355132270866633,2.0,378.0,-1.3702223704,379.0,-1.530808191,,,,,,,,
211,hot_tale__42c_ale3_30c,-6.7908912527,0.5026652025646874,2.0,380.0,-6.4354532793,381.0,-7.1463292261,,,,,,,,
212,hot_tale__42c_ale3_37c,-6.871121259300001,0.25950897216977603,2.0,382.0,-6.6876207053000005,383.0,-7.0546218133,,,,,,,,
213,hot_tale__42c_ale3_44c,-7.65816188375,0.19416522737854924,2.0,384.0,-7.7954574327,385.0,-7.5208663348,,,,,,,,
214,hot_tale__hot_ale3_mid_30c,-9.024268771300001,0.7854217246623761,2.0,386.0,-9.5796457989,387.0,-8.4688917437,,,,,,,,
215,hot_tale__hot_ale3_mid_37c,-7.04350081805,0.6949942751579282,2.0,388.0,-7.5349359829,389.0,-6.5520656532,,,,,,,,
